"Wavenumber (cm-1)",FT,FT,FT,UV-FT,UV-FT,UV-FT,UV,UV,UV,H,H,H,C,C,C,"Reference AF Paint","Reference AF Paint","Reference AF Paint"
940,0.056,0.025,0.075,0.08910887955937,0.04254108798232,0.05230933943051,0.055,0.045,0.054,0.216,0.089,0.085,0.057,0.324,0.047,0.127,,
942,0.059,0.027,0.089,0.10839356698480,0.04795604271938,0.08774245347318,0.095,0.035,0.064,0.260,0.095,0.088,0.068,0.259,0.059,0.123,,
944,0.048,0.033,0.102,0.10600816608619,0.05244773294762,0.07251090693981,0.112,0.049,0.072,0.286,0.113,0.115,0.053,0.282,0.080,0.148,,
946,0.048,0.031,0.092,0.10286124749319,0.06294828540189,0.08127477345455,0.118,0.060,0.073,0.288,0.141,0.102,0.083,0.313,0.078,0.154,,
948,0.052,0.040,0.101,0.12151954638929,0.07753454591728,0.09431176072193,0.096,0.072,0.082,0.309,0.149,0.110,0.075,0.353,0.087,0.165,,
950,0.056,0.045,0.101,0.13613089906248,0.07163943313551,0.10702940994237,0.127,0.093,0.098,0.290,0.164,0.123,0.077,0.350,0.072,0.183,,
952,0.056,0.048,0.113,0.14822495506141,0.06981266307810,0.12003028866957,0.135,0.076,0.086,0.278,0.172,0.128,0.084,0.328,0.081,0.176,,
954,0.061,0.044,0.107,0.14488790775820,0.07350795086707,0.13882305358780,0.126,0.082,0.090,0.276,0.167,0.110,0.086,0.317,0.101,0.188,,
956,0.060,0.052,0.113,0.15632625050089,0.07618862622451,0.13730952548780,0.127,0.088,0.091,0.284,0.168,0.117,0.100,0.343,0.106,0.189,,
958,0.061,0.060,0.118,0.16009310804190,0.07767584705615,0.13907862490342,0.118,0.082,0.093,0.283,0.177,0.120,0.087,0.360,0.108,0.191,,
960,0.064,0.053,0.111,0.15577806648271,0.08474289595213,0.13723723557799,0.121,0.086,0.098,0.296,0.180,0.132,0.096,0.371,0.111,0.195,,
962,0.066,0.053,0.106,0.16416753455983,0.09471462125345,0.14385942020309,0.132,0.092,0.094,0.302,0.193,0.150,0.122,0.392,0.121,0.182,,
964,0.067,0.059,0.118,0.18572654988520,0.10554850034577,0.14711925676296,0.139,0.106,0.108,0.290,0.192,0.140,0.124,0.383,0.125,0.189,,
966,0.067,0.059,0.125,0.19308494271998,0.10654657970071,0.14512676251210,0.157,0.110,0.121,0.284,0.205,0.158,0.126,0.400,0.136,0.207,,
968,0.071,0.064,0.128,0.19190434932452,0.10909264180102,0.14883900777770,0.150,0.112,0.125,0.296,0.233,0.169,0.137,0.441,0.136,0.207,,
970,0.079,0.073,0.132,0.19521823546498,0.11421280822100,0.14697868217525,0.162,0.118,0.130,0.309,0.241,0.182,0.138,0.476,0.146,0.203,,
972,0.084,0.078,0.130,0.20025132880310,0.12294371786768,0.15399893161008,0.181,0.119,0.137,0.309,0.243,0.191,0.142,0.512,0.157,0.210,,
974,0.084,0.080,0.135,0.20785016511861,0.12647987652729,0.15752805225963,0.170,0.121,0.149,0.304,0.252,0.199,0.147,0.538,0.163,0.240,,
976,0.087,0.083,0.135,0.21793204434197,0.12803136006379,0.16053488318158,0.167,0.125,0.157,0.300,0.249,0.201,0.145,0.549,0.165,0.238,,
978,0.093,0.083,0.135,0.23037006226948,0.13106273331980,0.16141426313680,0.170,0.131,0.167,0.301,0.251,0.204,0.147,0.556,0.170,0.231,,
980,0.095,0.082,0.139,0.24413589127635,0.13287203243461,0.16789799636410,0.175,0.138,0.178,0.311,0.266,0.215,0.153,0.577,0.178,0.228,,
982,0.100,0.085,0.140,0.24930648303005,0.13326052846523,0.17298035421009,0.186,0.145,0.181,0.315,0.277,0.215,0.152,0.609,0.180,0.232,,
984,0.103,0.085,0.138,0.25388805950346,0.12871311849984,0.17730959014551,0.198,0.148,0.188,0.309,0.276,0.220,0.151,0.625,0.184,0.244,,
986,0.107,0.082,0.139,0.26129289625944,0.12819913611488,0.18270915510091,0.215,0.156,0.196,0.307,0.275,0.225,0.146,0.633,0.182,0.247,,
988,0.113,0.087,0.141,0.27214900263046,0.13246108980511,0.18993028572879,0.224,0.165,0.204,0.309,0.278,0.231,0.150,0.643,0.182,0.256,,
990,0.117,0.090,0.146,0.27715374774259,0.13549106345934,0.19310565661876,0.234,0.173,0.215,0.309,0.283,0.235,0.155,0.654,0.191,0.259,,
992,0.121,0.093,0.153,0.28841307859750,0.13558504494810,0.20104011324713,0.249,0.179,0.223,0.311,0.296,0.239,0.158,0.648,0.194,0.265,,
994,0.127,0.096,0.156,0.30372509144432,0.13742996510672,0.21281146649655,0.264,0.192,0.235,0.314,0.302,0.249,0.162,0.641,0.195,0.272,,
996,0.130,0.100,0.159,0.31644168245603,0.14010598081330,0.22131237899927,0.279,0.210,0.254,0.318,0.309,0.261,0.165,0.625,0.208,0.280,,
998,0.133,0.103,0.161,0.32887658356279,0.14300254720277,0.22930738409128,0.287,0.222,0.273,0.324,0.315,0.269,0.165,0.652,0.217,0.281,,
1000,0.139,0.106,0.164,0.34362539638153,0.14717677172156,0.23702208067736,0.286,0.234,0.291,0.333,0.319,0.278,0.170,0.683,0.229,0.296,,
1002,0.144,0.109,0.168,0.35847670169293,0.15219521580965,0.24748646106413,0.290,0.248,0.304,0.343,0.326,0.288,0.172,0.721,0.237,0.310,,
1004,0.149,0.109,0.172,0.37266740516049,0.15726546005946,0.25443607204245,0.301,0.263,0.315,0.347,0.328,0.293,0.171,0.752,0.241,0.309,,
1006,0.157,0.115,0.173,0.39049357317076,0.16239694347798,0.26833305295152,0.322,0.280,0.333,0.347,0.326,0.299,0.169,0.768,0.244,0.315,,
1008,0.166,0.123,0.176,0.41811377588096,0.17189034067055,0.28630960509417,0.340,0.303,0.353,0.349,0.335,0.308,0.168,0.783,0.250,0.331,,
1010,0.175,0.130,0.181,0.43722959998760,0.17936273534492,0.30547535448257,0.356,0.324,0.371,0.357,0.349,0.321,0.173,0.794,0.264,0.337,,
1012,0.181,0.132,0.189,0.45313721819109,0.18966306326930,0.32392526546845,0.372,0.341,0.382,0.370,0.360,0.330,0.180,0.805,0.286,0.344,,
1014,0.186,0.138,0.198,0.47054902792009,0.20284284110357,0.34048917515122,0.389,0.350,0.396,0.381,0.366,0.336,0.188,0.826,0.301,0.349,,
1016,0.195,0.144,0.203,0.49077221686949,0.21609106954873,0.35434818953505,0.401,0.353,0.411,0.391,0.370,0.343,0.192,0.846,0.308,0.356,,
1018,0.200,0.144,0.208,0.50168056205069,0.22873863630212,0.36296428673487,0.421,0.349,0.425,0.399,0.380,0.354,0.192,0.856,0.319,0.361,,
1020,0.208,0.146,0.211,0.51252181769731,0.23868344042677,0.37514995868233,0.437,0.345,0.441,0.403,0.382,0.360,0.191,0.867,0.322,0.373,,
