X value [cm⁻¹],IR Spectrum 7/OPTIR (mV) [],IR Spectrum 8/OPTIR (mV) [],IR Spectrum 9/OPTIR (mV) [],IR Spectrum 10/OPTIR (mV) [],IR Spectrum 11/OPTIR (mV) [],IR Spectrum 5/OPTIR (mV) [],IR Spectrum 3/OPTIR (mV) [],IR Spectrum 4/OPTIR (mV) [],IR Spectrum 2/OPTIR (mV) []
940,270.609924316406,262.772552490234,47.3542594909668,-106.281921386719,-333.634002685547,241.979354858398,-233.122940063477,-322.118682861328,191.327743530273
942,226.144454956055,160.002059936523,88.3804321289063,66.4915237426758,9.03920269012451,264.229095458984,-293.106964111328,-430.019958496094,78.65625
944,397.033233642578,274.892211914063,89.3638534545898,184.433380126953,231.004760742188,291.045013427734,-336.195953369141,-351.640838623047,-108.944343566895
946,365.474304199219,369.823486328125,-169.07731628418,356.376708984375,41.0275421142578,272.505432128906,120.560531616211,-403.59619140625,446.449066162109
948,272.823577880859,360.362579345703,-133.375030517578,191.341247558594,162.785018920898,458.199096679688,-32.1245956420898,-70.7654266357422,406.706756591797
950,398.863586425781,320.903411865234,57.8880920410156,101.884979248047,431.450927734375,451.706420898438,-65.1236267089844,10.4681577682495,313.803588867188
952,434.056823730469,386.809661865234,111.92073059082,153.136199951172,432.4384765625,479.786865234375,52.0596771240234,-271.787902832031,453.633239746094
954,442.548736572266,207.565658569336,13.4130916595459,119.968444824219,332.487152099609,412.560760498047,40.6096343994141,26.791784286499,500.521820068359
956,463.367553710938,128.939743041992,-2.08418369293213,26.2989711761475,357.596313476563,508.209136962891,127.799987792969,17.7542171478271,497.072937011719
958,463.77783203125,234.756286621094,-10.0090770721436,81.3981018066406,408.809112548828,650.419860839844,149.827484130859,-81.4349136352539,459.897705078125
960,557.643676757813,309.056732177734,9.87642002105713,140.792572021484,403.137329101563,519.025329589844,111.395767211914,-74.872802734375,479.601409912109
962,585.190734863281,267.710052490234,112.027976989746,126.527702331543,344.828521728516,588.395751953125,73.187385559082,95.8664169311523,596.002685546875
964,518.895324707031,223.38102722168,100.694618225098,133.99284362793,390.806640625,676.15771484375,98.8510437011719,78.5922775268555,535.193237304688
966,528.22216796875,306.934692382813,102.788055419922,222.972579956055,451.210357666016,801.219421386719,153.168518066406,26.0137176513672,529.837524414063
968,579.74267578125,410.231323242188,228.797485351563,277.852111816406,540.166076660156,871.982360839844,259.473114013672,12.9610919952393,672.67333984375
970,603.17431640625,498.749694824219,287.213806152344,269.758392333984,579.5224609375,838.701293945313,248.966674804688,91.5935440063477,648.813415527344
972,591.32666015625,565.002197265625,230.248748779297,289.570892333984,555.686950683594,858.307189941406,245.740005493164,147.503829956055,646.622802734375
974,562.743225097656,662.79736328125,199.868072509766,357.054351806641,615.645812988281,899.34716796875,242.598983764648,204.704406738281,608.224914550781
976,490.586151123047,694.076843261719,208.285736083984,351.580200195313,679.602294921875,867.3486328125,195.540908813477,217.366989135742,568.143432617188
978,487.070587158203,726.615783691406,251.126693725586,351.687530517578,699.205932617188,836.907470703125,231.86360168457,178.800643920898,580.358459472656
980,615.061401367188,717.224182128906,237.991104125977,387.540252685547,764.340759277344,931.903076171875,251.098419189453,184.72102355957,649.623779296875
982,660.74072265625,759.969848632813,207.777236938477,392.652160644531,805.670715332031,1001.6376953125,302.547058105469,212.149063110352,686.533325195313
984,626.029724121094,817.896789550781,223.265426635742,391.993194580078,780.733581542969,953.630981445313,294.823150634766,274.694549560547,639.176330566406
986,582.747741699219,845.345336914063,279.285980224609,381.172271728516,766.179382324219,901.152221679688,280.378723144531,327.905426025391,608.934326171875
988,619.739440917969,894.517883300781,248.408966064453,374.869720458984,785.14990234375,900.532043457031,284.267730712891,380.093231201172,575.068969726563
990,672.889892578125,1007.03546142578,230.21940612793,428.433166503906,779.433959960938,935.479553222656,254.24006652832,340.405517578125,549.888061523438
992,705.619689941406,1040.09375,270.876251220703,464.083251953125,815.933898925781,1011.93853759766,301.542358398438,337.446411132813,575.949462890625
994,715.7353515625,1073.90197753906,273.924072265625,442.560119628906,835.027404785156,1054.42163085938,343.716156005859,375.618438720703,585.224487304688
996,733.11279296875,1099.408203125,281.319458007813,436.997863769531,855.474060058594,1087.79162597656,384.607360839844,374.770843505859,623.382141113281
998,747.638916015625,1140.09655761719,309.389190673828,464.416809082031,872.403259277344,1107.2529296875,389.340240478516,370.440490722656,634.649658203125
1000,735.658996582031,1135.86047363281,331.296264648438,520.169311523438,883.434448242188,1126.38879394531,360.339538574219,411.173675537109,641.508056640625
1002,742.733764648438,1126.53515625,342.059417724609,537.473266601563,920.451782226563,1152.48071289063,371.223205566406,462.749938964844,688.118774414063
1004,774.712158203125,1080.48791503906,313.969665527344,522.999572753906,951.802429199219,1148.05932617188,392.386016845703,490.877807617188,706.306030273438
1006,780.78369140625,1022.02008056641,303.815765380859,534.09521484375,976.375305175781,1155.36499023438,435.727172851563,452.768646240234,673.677368164063
1008,798.051513671875,1037.85791015625,310.903961181641,556.224853515625,1000.60180664063,1228.787109375,474.308166503906,513.048645019531,659.454956054688
1010,817.3583984375,1030.39965820313,304.232421875,559.178833007813,1040.48217773438,1359.92321777344,517.962097167969,626.407775878906,678.492736816406
1012,862.382751464844,1031.91418457031,284.271942138672,583.488708496094,1098.60302734375,1452.91076660156,526.608276367188,702.937377929688,702.505615234375
1014,878.869934082031,1038.27783203125,271.397918701172,609.165405273438,1154.8076171875,1481.5380859375,523.479431152344,741.579284667969,711.724182128906
1016,891.916564941406,1063.44055175781,265.959564208984,617.235473632813,1184.18713378906,1493.04040527344,527.201538085938,763.486450195313,708.233276367188
1018,936.10302734375,1042.470703125,304.602233886719,647.48583984375,1228.19653320313,1502.25280761719,515.559326171875,853.724426269531,734.247680664063
1020,948.022277832031,978.788391113281,338.420684814453,676.49365234375,1244.19860839844,1459.79052734375,540.628356933594,907.609191894531,739.703857421875
1022,965.470153808594,943.977172851563,362.309906005859,686.95556640625,1265.66394042969,1397.6689453125,571.671875,966.754333496094,710.32080078125
1024,964.634765625,942.806579589844,394.049011230469,683.1572265625,1293.30261230469,1426.97338867188,589.397705078125,977.296508789063,729.079040527344
1026,951.839660644531,935.946655273438,450.743896484375,707.038269042969,1319.45288085938,1461.95043945313,598.561828613281,928.992553710938,752.587280273438
1028,986.949768066406,891.352478027344,527.697509765625,702.464660644531,1342.673828125,1484.67578125,599.881286621094,959.533996582031,713.188781738281
1030,1004.42211914063,878.750854492188,608.755126953125,677.186401367188,1358.67004394531,1508.98767089844,608.964294433594,1030.08325195313,750.494812011719
