X value [cm⁻¹],IR Spectrum 21/OPTIR (mV) []
940,-1.97576653957367
942,17.2185192108154
944,48.8272933959961
946,6.50840425491333
948,4.69222450256348
950,2.99591994285583
952,-0.564732730388641
954,3.68020725250244
956,-2.0430474281311
958,9.77471733093262
960,14.3234214782715
962,14.663311958313
964,22.5854969024658
966,19.2840805053711
968,14.6280269622803
970,14.6886463165283
972,14.0700235366821
974,15.0463876724243
976,15.3803615570068
978,22.119649887085
980,30.0134048461914
982,25.0138645172119
984,17.6224899291992
986,22.3804683685303
988,23.0491600036621
990,29.09739112854
992,31.033878326416
994,31.9728546142578
996,42.4066772460938
998,38.4200019836426
1000,38.9164543151855
1002,40.9177398681641
1004,47.6219863891602
1006,44.1453742980957
1008,44.1415557861328
1010,52.3646545410156
1012,57.943229675293
1014,58.1345710754395
1016,58.6541137695313
1018,54.8981056213379
1020,55.4564323425293
1022,57.9790496826172
1024,59.4666481018066
1026,63.5122032165527
1028,64.3578948974609
1030,61.3482208251953
1032,53.8684921264648
1034,52.3161430358887
1036,51.6487197875977
1038,56.9214897155762
1040,59.613712310791
1042,63.4445724487305
1044,65.8945846557617
1046,62.2154960632324
1048,57.1286163330078
1050,49.911750793457
1052,46.5971603393555
1054,49.9381332397461
1056,51.3860893249512
1058,50.0668907165527
1060,51.0288543701172
1062,49.0293197631836
1064,47.8768043518066
1066,45.3991546630859
1068,43.3020095825195
1070,43.689136505127
1072,43.1490707397461
1074,44.8864631652832
1076,46.1950950622559
1078,42.8733329772949
1080,43.0361595153809
1082,43.3194923400879
1084,37.9240036010742
1086,36.5502471923828
1088,35.9657745361328
1090,34.0239639282227
1092,35.5407028198242
1094,37.2694091796875
1096,34.3269844055176
1098,31.9834651947021
1100,34.9785614013672
1102,37.6025352478027
1104,37.4238319396973
1106,36.9836006164551
1108,36.4566078186035
1110,38.8532638549805
1112,39.9619941711426
1114,37.8127555847168
1116,36.5791778564453
1118,36.0698204040527
1120,31.7705879211426
1122,28.4394550323486
1124,25.2600784301758
1126,26.7325992584229
1128,27.0117702484131
1130,27.4995536804199
1132,30.9012336730957
1134,32.3336410522461
1136,34.387809753418
1138,34.6086082458496
1140,30.9692630767822
1142,26.6198348999023
1144,23.8190155029297
1146,22.82568359375
1148,23.7707252502441
1150,26.0822315216064
1152,26.7963218688965
1154,29.8297119140625
1156,40.6325492858887
1158,41.8091354370117
1160,37.4381942749023
1162,36.7072143554688
1164,41.2897529602051
1166,30.9538555145264
1168,28.0191631317139
1170,34.004711151123
1172,34.9344291687012
1174,31.6821937561035
1176,22.327823638916
1178,26.2768230438232
1180,20.7576465606689
1182,17.6632556915283
1184,23.0481662750244
1186,20.272741317749
1188,13.6725044250488
1190,11.4284725189209
1192,11.7602796554565
1194,24.037467956543
1196,29.3575248718262
1198,27.3063068389893
1200,36.548885345459
1202,41.3040161132813
1204,18.9734554290771
1206,-5.66471099853516
1208,11.4206638336182
1210,10.255578994751
1212,4.02409267425537
1214,-3.10984206199646
1216,-11.3575639724731
1218,-0.613667786121368
1220,-7.10956430435181
1222,-10.9926300048828
1224,-1.69234478473663
1226,34.0219573974609
1228,23.6317138671875
1230,-8.70251178741455
1232,-18.7572860717773
1234,8.31489562988281
1236,14.2588510513306
1238,1.59225761890411
1240,14.2861251831055
1242,10.4306650161743
1244,3.58744359016418
1246,-5.97614765167236
1248,17.8204956054688
1250,8.53997421264648
1252,4.94753265380859
1254,13.1572637557983
1256,20.8882293701172
1258,25.2695121765137
1260,25.0745220184326
1262,19.1674842834473
1264,16.8880577087402
1266,18.326940536499
1268,16.1601657867432
1270,21.079288482666
1272,21.3335838317871
1274,23.7448024749756
1276,24.5537567138672
1278,26.6669445037842
1280,25.9342651367188
1282,23.2284622192383
1284,20.4378643035889
1286,21.5152854919434
1288,22.5131130218506
1290,16.8851642608643
1292,16.4179172515869
1294,21.8675765991211
1296,23.9706382751465
1298,26.8988609313965
1300,28.6485290527344
1302,30.9056854248047
1304,31.3082065582275
1306,30.1247863769531
1308,28.7910594940186
1310,27.2795639038086
1312,29.0310363769531
1314,28.5714626312256
1316,27.2280006408691
1318,25.7566223144531
1320,27.0506992340088
1322,29.3460865020752
1324,33.3171424865723
1326,31.1380004882813
1328,27.1502952575684
1330,27.9341316223145
1332,30.1487617492676
1334,32.1774978637695
1336,32.5349349975586
1338,34.9458427429199
1340,35.3422431945801
1342,34.4083404541016
1344,33.5035171508789
1346,37.6341857910156
1348,38.7947158813477
1350,37.8751792907715
1352,41.3956871032715
1354,44.3429641723633
1356,50.9194641113281
1358,59.3847312927246
1360,65.876838684082
1362,65.088623046875
1364,66.0579071044922
1366,62.3378753662109
1368,55.6859283447266
1370,55.5357856750488
1372,57.4401779174805
1374,67.5493087768555
1376,73.9753646850586
1378,72.6507339477539
1380,77.7940979003906
1382,80.9991302490234
1384,82.2027893066406
1386,76.6677398681641
1388,75.6309051513672
1390,77.2889099121094
1392,77.0847625732422
1394,78.7338562011719
1396,93.1613311767578
1398,102.172508239746
1400,119.258567810059
1402,115.69246673584
1404,111.820678710938
1406,109.678146362305
1408,100.318855285645
1410,85.0651550292969
1412,78.8668975830078
1414,68.4250183105469
1416,61.5553169250488
1418,61.1320838928223
1420,66.0372314453125
