X value [cm⁻¹],IR Spectrum 18/O-PTIR (mV) [],IR Spectrum 17/O-PTIR (mV) [],IR Spectrum 16/O-PTIR (mV) [],IR Spectrum 15/O-PTIR (mV) [],IR Spectrum 14/O-PTIR (mV) [],IR Spectrum 13/O-PTIR (mV) [],IR Spectrum 12/O-PTIR (mV) [],IR Spectrum 11/O-PTIR (mV) [],IR Spectrum 10/O-PTIR (mV) []
935,19.4888305664063,18.2502384185791,32.4229736328125,93.1960830688477,16.2927303314209,34.8261108398438,108.601600646973,32.8744926452637,34.0848960876465
937,21.8577175140381,17.3192863464355,44.0839004516602,91.7457885742188,40.8051147460938,28.4969501495361,90.8615264892578,48.3152351379395,27.5930519104004
939,23.5546226501465,25.7212982177734,56.382438659668,96.5306396484375,39.775318145752,33.6534385681152,81.3096694946289,37.3996467590332,29.999490737915
941,26.8823070526123,34.228271484375,54.6828498840332,107.463523864746,32.4310531616211,34.9722938537598,99.4231109619141,36.9824638366699,26.1521263122559
943,32.6553344726563,44.3982543945313,62.903263092041,113.826225280762,36.1656799316406,37.389533996582,113.773452758789,46.7063026428223,20.3194618225098
945,30.0505657196045,43.3480033874512,68.4464263916016,114.334274291992,46.6077995300293,35.9852981567383,113.118789672852,49.8128547668457,23.7000007629395
947,35.0297088623047,45.9979591369629,69.9893569946289,112.567909240723,46.2313117980957,40.1311988830566,117.491798400879,50.047420501709,33.7813301086426
949,39.2274513244629,49.8635597229004,67.9048767089844,108.996231079102,47.4621849060059,45.7035636901855,125.35489654541,48.2671394348145,38.0406951904297
951,40.2182197570801,52.7220916748047,71.8924560546875,109.116111755371,51.8718376159668,48.2661361694336,131.218109130859,45.3146629333496,37.6613845825195
953,37.8567314147949,58.5351867675781,72.5595245361328,111.152198791504,56.5550842285156,49.3156509399414,132.481353759766,42.5963172912598,34.7086524963379
955,36.2922515869141,55.1606864929199,77.9933471679688,107.150192260742,57.7439727783203,48.7494888305664,136.019348144531,46.9682312011719,32.9204368591309
957,33.9812660217285,54.6141510009766,79.5155334472656,109.078842163086,56.458869934082,48.3823051452637,138.319305419922,45.7689323425293,35.493968963623
959,35.7797317504883,59.8949127197266,83.4683074951172,112.339164733887,59.6990089416504,50.3766632080078,135.749298095703,46.4145164489746,36.7163467407227
961,37.0353775024414,60.9021606445313,89.429573059082,117.068458557129,61.5129699707031,55.3972396850586,148.28239440918,51.3687515258789,35.5271492004395
963,38.0295600891113,65.5063095092773,92.5428009033203,118.474090576172,61.6929397583008,58.7513122558594,146.136215209961,49.9803047180176,36.2733840942383
965,40.0932350158691,70.2798309326172,98.0535507202148,123.231170654297,70.06982421875,61.9297218322754,149.094833374023,50.9630470275879,38.2400817871094
967,41.1772308349609,78.9207992553711,102.928131103516,128.688766479492,75.6889190673828,65.7121505737305,158.721649169922,54.0334739685059,40.7325592041016
969,40.8893737792969,82.537971496582,105.885932922363,132.007553100586,78.7288131713867,71.4133605957031,153.98908996582,54.0260810852051,42.0060844421387
971,41.1114540100098,78.733154296875,112.971199035645,134.361114501953,84.5905838012695,74.4819869995117,162.097625732422,53.2207641601563,41.3937873840332
973,41.268383026123,85.2380676269531,115.588310241699,140.233734130859,92.3618621826172,78.272346496582,162.599914550781,51.0202560424805,42.7292366027832
975,43.8851928710938,89.3767166137695,119.846641540527,148.712463378906,99.8191986083984,82.9916915893555,165.223236083984,50.9272766113281,42.4052314758301
977,46.6176452636719,93.1030502319336,121.997741699219,152.337524414063,105.526397705078,85.7570495605469,171.567245483398,51.4988021850586,45.1981010437012
979,48.1670913696289,93.9906234741211,122.211265563965,151.039306640625,109.247314453125,90.1287994384766,164.836761474609,50.5174446105957,43.9797821044922
981,49.7267723083496,90.8726959228516,121.809059143066,162.769119262695,114.490257263184,92.822998046875,171.231369018555,50.3956146240234,42.6837959289551
983,51.2665328979492,98.6688613891602,116.055374145508,166.620712280273,120.857765197754,94.2943344116211,173.205535888672,49.3995513916016,43.7292404174805
985,51.5782699584961,98.4368133544922,115.670372009277,165.11051940918,128.144409179688,95.5203018188477,167.961944580078,49.5014190673828,42.3105239868164
