X value [cm⁻¹],IR Spectrum 2/O-PTIR (mV) [],IR Spectrum 3/O-PTIR (mV) [],IR Spectrum 4/O-PTIR (mV) [],IR Spectrum 5/O-PTIR (mV) [],IR Spectrum 6/O-PTIR (mV) [],IR Spectrum 7/O-PTIR (mV) [],IR Spectrum 8/O-PTIR (mV) [],IR Spectrum 9/O-PTIR (mV) [],IR Spectrum 10/O-PTIR (mV) []
935,44.814079284668,21.393274307251,44.0457649230957,22.5173263549805,48.5092430114746,20.6336250305176,82.8317642211914,39.1039390563965,8.61374855041504
937,68.4036712646484,20.540657043457,29.1302680969238,16.300479888916,47.190731048584,19.6441135406494,79.4774017333984,34.9266967773438,18.3631153106689
939,50.1114234924316,31.9186477661133,35.1086082458496,12.5587329864502,47.346923828125,20.5074195861816,85.6378631591797,41.6953620910645,7.35182857513428
941,62.6208419799805,36.4809684753418,36.9648590087891,9.37413883209229,54.4136543273926,23.7802219390869,90.0585784912109,56.7357711791992,5.69317960739136
943,82.5830230712891,42.3722953796387,42.8598823547363,22.0067520141602,55.8365783691406,26.7039356231689,94.1768417358398,53.914623260498,7.35599184036255
945,90.7056655883789,46.0791816711426,49.6084594726563,31.3597278594971,53.7386169433594,34.8392868041992,92.4834899902344,54.7606620788574,8.32406234741211
947,88.9111022949219,48.7195205688477,45.2138862609863,35.9747276306152,54.6793441772461,36.1476135253906,94.3208084106445,61.1942710876465,8.08356094360352
949,93.5888977050781,47.519359588623,48.745433807373,47.8984375,60.1980514526367,34.2954025268555,99.2742233276367,62.2350959777832,10.6521253585815
951,93.8165969848633,52.1967582702637,51.7612342834473,47.9155769348145,58.8328628540039,32.0613708496094,101.985992431641,61.3122024536133,10.3843955993652
953,94.8226776123047,53.3578147888184,55.4869575500488,46.7533302307129,58.8357734680176,33.8276863098145,105.208053588867,62.8905258178711,11.7141046524048
955,96.5089416503906,50.2898445129395,58.3465766906738,46.5413246154785,59.9578590393066,35.254825592041,108.436477661133,62.0909690856934,9.68833351135254
957,96.5245208740234,49.7964363098145,54.9347724914551,47.3737030029297,59.0180473327637,35.6076545715332,108.796997070313,60.6161804199219,10.105936050415
959,105.140617370605,47.0507278442383,56.3360481262207,49.9355087280273,63.3247718811035,37.535831451416,112.354080200195,62.2447738647461,10.1718587875366
961,108.863914489746,46.6345672607422,59.1781959533691,51.5343360900879,65.9639739990234,40.6449508666992,114.259124755859,61.9984893798828,10.6555500030518
963,112.853698730469,46.8130645751953,64.2691345214844,54.4236450195313,69.0536041259766,41.4391021728516,116.087959289551,66.3439559936523,12.3786153793335
965,117.999984741211,45.0974082946777,66.6487045288086,58.1529731750488,70.8747177124023,41.1191711425781,121.379280090332,67.0411834716797,14.9169301986694
967,124.533134460449,46.2891960144043,71.8590774536133,61.7939682006836,73.3186798095703,42.4531402587891,126.485717773438,67.0058441162109,15.872670173645
969,131.113128662109,44.0326766967773,73.8129577636719,63.8342514038086,75.7363204956055,42.4288749694824,131.494155883789,66.7514038085938,17.6390399932861
971,135.497314453125,43.1014862060547,74.6931610107422,67.2262420654297,77.3065338134766,43.1293754577637,136.158935546875,66.2197265625,17.743185043335
973,138.915924072266,45.1867752075195,79.1005554199219,70.2418212890625,78.8480072021484,43.7946624755859,141.935882568359,70.1895751953125,18.334415435791
975,142.041076660156,43.6697044372559,81.0532913208008,70.9537506103516,81.6903839111328,44.992748260498,148.0478515625,72.7737121582031,19.6841621398926
977,146.604263305664,45.406909942627,81.0359115600586,73.3032455444336,86.5416107177734,48.4455490112305,153.337539672852,77.3043899536133,19.4896850585938
979,153.357971191406,49.2910079956055,81.3345718383789,74.6819915771484,88.391471862793,49.9906044006348,158.352462768555,80.8119049072266,20.1545257568359
981,154.263290405273,46.8610305786133,83.2959442138672,76.0791320800781,88.7088623046875,48.7331123352051,164.659896850586,82.4005813598633,21.0854511260986
983,152.640594482422,48.5069580078125,83.3900604248047,78.1863708496094,88.6986694335938,51.6026496887207,169.964645385742,85.6273956298828,22.8366584777832
985,157.53059387207,51.7895431518555,83.1479263305664,78.0979080200195,89.1314163208008,50.584831237793,172.735473632813,91.5858917236328,23.8955478668213
987,160.831970214844,52.0450248718262,85.6541061401367,77.2816619873047,90.1336669921875,49.6711921691895,173.124954223633,98.5655364990234,25.3213958740234
989,164.884399414063,55.9681015014648,88.4103164672852,81.536865234375,91.9990234375,53.2124938964844,180.87614440918,104.339637756348,26.6924343109131
991,171.846313476563,55.6610794067383,91.8955383300781,86.6005630493164,93.9365768432617,56.0031700134277,188.822326660156,110.503051757813,28.3560047149658
993,177.419311523438,57.4646453857422,94.3735122680664,92.2242279052734,96.5073928833008,57.9180946350098,194.742813110352,118.144393920898,35.0735549926758
995,185.341217041016,62.0231170654297,98.265495300293,96.7590637207031,98.0090866088867,61.8647727966309,203.618896484375,124.180305480957,36.4323043823242
997,191.407684326172,61.3785285949707,103.342636108398,102.463958740234,100.809562683105,63.9769287109375,211.425155639648,131.415969848633,36.8053398132324
999,197.744171142578,65.3065719604492,107.256790161133,106.577651977539,103.822776794434,67.3076477050781,217.018356323242,139.350555419922,41.5954780578613
1001,203.271301269531,67.819709777832,112.60791015625,111.577651977539,107.642974853516,68.1183090209961,220.30207824707,145.615585327148,45.245433807373
1003,207.315414428711,70.3530426025391,117.425392150879,118.078155517578,111.366569519043,69.4610824584961,226.730621337891,151.1845703125,46.9289932250977
1005,212.679611206055,75.9971542358398,121.963668823242,121.657493591309,114.179969787598,73.1374435424805,234.762939453125,157.904388427734,50.1440315246582
1007,219.131713867188,74.9604034423828,128.259231567383,126.414489746094,115.700370788574,76.4790267944336,237.941131591797,164.971557617188,53.9480628967285
1009,226.366973876953,80.2299957275391,132.450531005859,131.400772094727,118.002044677734,80.3751983642578,243.86572265625,167.341552734375,57.3063926696777
1011,234.254165649414,84.5748443603516,141.015579223633,134.585830688477,118.825248718262,84.1445007324219,235.106994628906,169.513885498047,60.9855155944824
1013,243.646667480469,87.7765350341797,148.95556640625,141.15119934082,119.5859375,90.5222625732422,234.023895263672,170.350219726563,68.5535430908203
1015,253.391403198242,95.5954208374023,155.497894287109,146.641311645508,117.714096069336,93.3044662475586,234.399658203125,173.350784301758,73.369026184082
1017,261.052520751953,104.067398071289,163.883087158203,152.232986450195,117.046936035156,94.0969772338867,224.258712768555,175.454147338867,79.9647445678711
1019,268.132446289063,111.965522766113,171.724075317383,161.881820678711,115.767807006836,95.5597534179688,216.591461181641,166.869522094727,86.1621017456055
1021,273.731781005859,124.344619750977,181.964691162109,169.308700561523,112.210624694824,97.6339797973633,220.307174682617,167.055465698242,89.0519332885742
1023,281.945587158203,136.153106689453,188.878372192383,177.628280639648,108.640235900879,99.1919097900391,223.846160888672,165.161636352539,94.8058319091797
1025,286.444519042969,135.909896850586,198.046401977539,183.137741088867,107.925979614258,99.5381546020508,244.879547119141,157.543685913086,95.6140823364258
1027,288.706390380859,140.79150390625,204.607147216797,191.140747070313,104.794021606445,100.97492980957,273.182342529297,154.841506958008,98.7595520019531
1029,292.403717041016,145.328659057617,212.029602050781,201.982666015625,98.0710372924805,104.084060668945,274.135345458984,146.039840698242,103.217384338379
1031,296.147155761719,142.750289916992,218.129150390625,210.879760742188,93.2732849121094,102.381546020508,260.845977783203,137.323348999023,103.723419189453
1033,299.497802734375,139.99609375,222.962524414063,218.579452514648,87.7535858154297,103.30525970459,252.634063720703,130.383926391602,105.757965087891
1035,298.286285400391,135.903045654297,232.571838378906,223.943054199219,86.2803344726563,104.771362304688,237.430130004883,117.740425109863,108.488075256348
1037,297.439971923828,138.774002075195,231.18913269043,232.424194335938,85.5890426635742,107.068214416504,212.1962890625,108.183197021484,111.155014038086
1039,296.496704101563,140.629791259766,235.281616210938,239.068588256836,83.599853515625,106.525703430176,202.82177734375,100.894981384277,112.022621154785
1041,293.032287597656,150.228240966797,237.484237670898,242.374420166016,83.1738510131836,107.130317687988,198.405242919922,88.681999206543,111.593162536621
1043,290.990661621094,155.205902099609,235.746963500977,244.793533325195,83.2801818847656,106.249168395996,196.037582397461,82.9545211791992,111.516052246094
1045,287.103302001953,158.074279785156,235.319366455078,246.887893676758,82.0055236816406,100.622657775879,190.808624267578,80.6389236450195,107.496231079102
1047,284.268188476563,161.921051025391,230.181945800781,251.882369995117,77.7748718261719,98.4109039306641,191.336486816406,77.4362106323242,104.909721374512
1049,278.439331054688,160.407836914063,227.224975585938,247.447052001953,75.6863479614258,95.2423553466797,196.696548461914,75.76025390625,100.052635192871
1051,270.383575439453,155.731307983398,220.003112792969,248.080932617188,73.8548889160156,89.7360153198242,190.427764892578,77.2699661254883,96.4363708496094
1053,265.427642822266,148.317947387695,209.765899658203,244.963104248047,70.1340179443359,84.6005172729492,182.990905761719,78.8588409423828,91.3385848999023
1055,259.537048339844,141.326873779297,203.507705688477,244.792907714844,63.6777687072754,80.2843399047852,175.574157714844,76.9483947753906,84.2640075683594
1057,253.716125488281,136.073486328125,197.487365722656,249.550552368164,61.8931198120117,78.0851211547852,168.471115112305,74.7774658203125,82.493034362793
1059,250.658004760742,130.108291625977,195.115081787109,251.786849975586,60.2057609558105,76.218635559082,158.986465454102,75.3857269287109,77.3071975708008
1061,250.088928222656,126.180488586426,192.225036621094,262.350372314453,59.1088638305664,74.0473403930664,154.523391723633,74.8986053466797,76.981819152832
1063,251.315887451172,126.103271484375,193.651245117188,282.268310546875,58.8737983703613,71.9365844726563,149.695098876953,75.7791900634766,77.0818481445313
1065,253.375839233398,124.140632629395,199.845565795898,308.555633544922,62.9049606323242,71.4800491333008,144.109558105469,77.0102844238281,76.1870498657227
1067,258.949951171875,127.049423217773,206.155151367188,346.57763671875,63.6283721923828,71.6720352172852,142.756378173828,77.7780303955078,81.7714614868164
1069,261.835906982422,128.779418945313,214.889572143555,383.378021240234,62.3376884460449,69.1838836669922,149.479064941406,81.2244415283203,82.7785263061523
1071,261.315093994141,128.926177978516,218.708908081055,406.587188720703,60.5467376708984,70.4767456054688,166.33576965332,82.3019485473633,85.4516525268555
1073,262.618011474609,133.215881347656,225.769378662109,428.063537597656,62.3894538879395,70.7715301513672,182.329040527344,84.1756896972656,87.4557495117188
1075,265.058563232422,132.80451965332,231.463409423828,417.657806396484,64.0543060302734,69.1100463867188,215.373550415039,83.3647689819336,87.3179702758789
1077,266.509338378906,134.718078613281,232.075469970703,365.119476318359,64.4454956054688,69.6186676025391,248.850860595703,81.2343063354492,89.5729522705078
1079,265.37109375,134.00276184082,230.946762084961,263.234497070313,65.4345779418945,68.1303787231445,272.347259521484,82.1567153930664,82.3558807373047
1081,263.461303710938,128.625640869141,227.077590942383,320.320343017578,65.3652648925781,65.5277328491211,288.840240478516,76.4291458129883,82.1222381591797
1083,262.195068359375,129.595855712891,224.84211730957,378.560272216797,64.0358734130859,64.3917236328125,301.825378417969,71.5257339477539,80.9865493774414
1085,261.703186035156,123.083396911621,217.260360717773,313.256652832031,61.6737327575684,63.7949562072754,325.649841308594,70.4491958618164,76.2690811157227
