X value [cm⁻¹],IR Spectrum 17/O-PTIR (mV) [],IR Spectrum 16/O-PTIR (mV) [],IR Spectrum 15/O-PTIR (mV) [],IR Spectrum 3/O-PTIR (mV) [],IR Spectrum 8/O-PTIR (mV) [],IR Spectrum 10/O-PTIR (mV) [],IR Spectrum 11/O-PTIR (mV) [],IR Spectrum 6/O-PTIR (mV) [],IR Spectrum 4/O-PTIR (mV) []
935,18.2502384185791,32.4229736328125,93.1960830688477,48.7924842834473,46.2961959838867,34.0848960876465,32.8744926452637,103.051902770996,12.6875734329224
937,17.3192863464355,44.0839004516602,91.7457885742188,45.1267585754395,62.1232376098633,27.5930519104004,48.3152351379395,96.8465194702148,21.6897850036621
939,25.7212982177734,56.382438659668,96.5306396484375,53.3552055358887,62.3652648925781,29.999490737915,37.3996467590332,101.106269836426,29.0325660705566
941,34.228271484375,54.6828498840332,107.463523864746,60.2573776245117,60.5822601318359,26.1521263122559,36.9824638366699,112.063461303711,34.2465744018555
943,44.3982543945313,62.903263092041,113.826225280762,62.7936630249023,67.5750274658203,20.3194618225098,46.7063026428223,115.026733398438,36.7144050598145
945,43.3480033874512,68.4464263916016,114.334274291992,65.3596954345703,73.5846405029297,23.7000007629395,49.8128547668457,112.920372009277,34.5606842041016
947,45.9979591369629,69.9893569946289,112.567909240723,67.8559112548828,80.6786041259766,33.7813301086426,50.047420501709,114.688446044922,37.0370063781738
949,49.8635597229004,67.9048767089844,108.996231079102,67.5585784912109,84.4625625610352,38.0406951904297,48.2671394348145,119.205169677734,41.2651329040527
951,52.7220916748047,71.8924560546875,109.116111755371,71.0582122802734,89.1408233642578,37.6613845825195,45.3146629333496,118.338356018066,43.7749519348145
953,58.5351867675781,72.5595245361328,111.152198791504,68.7464141845703,97.5543212890625,34.7086524963379,42.5963172912598,124.56184387207,44.6010437011719
955,55.1606864929199,77.9933471679688,107.150192260742,67.7999649047852,105.065933227539,32.9204368591309,46.9682312011719,126.872421264648,42.975700378418
957,54.6141510009766,79.5155334472656,109.078842163086,73.5918502807617,108.873275756836,35.493968963623,45.7689323425293,123.907989501953,46.4551239013672
959,59.8949127197266,83.4683074951172,112.339164733887,72.2661743164063,114.376312255859,36.7163467407227,46.4145164489746,133.580184936523,48.6350402832031
961,60.9021606445313,89.429573059082,117.068458557129,75.8696670532227,119.739555358887,35.5271492004395,51.3687515258789,140.839477539063,50.6270866394043
963,65.5063095092773,92.5428009033203,118.474090576172,79.1998519897461,127.987045288086,36.2733840942383,49.9803047180176,143.787841796875,51.1562576293945
965,70.2798309326172,98.0535507202148,123.231170654297,78.8060302734375,131.097579956055,38.2400817871094,50.9630470275879,150.731887817383,50.195125579834
967,78.9207992553711,102.928131103516,128.688766479492,84.0860137939453,137.030166625977,40.7325592041016,54.0334739685059,163.250564575195,53.2683181762695
969,82.537971496582,105.885932922363,132.007553100586,88.4371643066406,142.194747924805,42.0060844421387,54.0260810852051,172.083953857422,58.0891647338867
971,78.733154296875,112.971199035645,134.361114501953,91.3780059814453,147.301040649414,41.3937873840332,53.2207641601563,177.006164550781,58.9581451416016
973,85.2380676269531,115.588310241699,140.233734130859,95.4305114746094,155.196105957031,42.7292366027832,51.0202560424805,189.319686889648,61.7355690002441
975,89.3767166137695,119.846641540527,148.712463378906,95.2317962646484,159.082077026367,42.4052314758301,50.9272766113281,195.988357543945,63.2424087524414
