X value [cm⁻¹],IR Spectrum 1/O-PTIR (mV) [],IR Spectrum 2/O-PTIR (mV) [],IR Spectrum 3/O-PTIR (mV) [],IR Spectrum 4/O-PTIR (mV) [],IR Spectrum 5/O-PTIR (mV) [],IR Spectrum 6/O-PTIR (mV) [],IR Spectrum 7/O-PTIR (mV) [],IR Spectrum 8/O-PTIR (mV) [],IR Spectrum 9/O-PTIR (mV) []
935,16.723352432251,24.7683944702148,144.693649291992,65.9903869628906,1.17385530471802,3.59193921089172,33.7907981872559,11.6765394210815,103.823951721191
937,15.4847888946533,27.6238956451416,152.71369934082,64.0500564575195,9.63086891174316,-7.75332355499268,56.1642265319824,22.9232769012451,130.035018920898
939,15.2055006027222,41.8452682495117,147.859832763672,61.2853889465332,10.6822757720947,1.32488358020782,81.4375686645508,27.4346961975098,124.351516723633
941,17.3968677520752,51.7223968505859,138.003997802734,67.5762634277344,11.9039325714111,10.0983438491821,88.0842742919922,31.80517578125,114.881416320801
943,22.3467426300049,55.24951171875,149.789093017578,72.6666870117188,12.817985534668,9.73224830627441,98.7908325195313,35.1391143798828,116.221412658691
945,22.0838184356689,57.2678642272949,148.768508911133,76.5436477661133,17.8202362060547,8.36422538757324,100.771774291992,33.871150970459,117.22534942627
947,24.6628379821777,58.3040428161621,149.434356689453,86.8125762939453,20.9833850860596,11.3337879180908,100.978485107422,33.2675094604492,129.915054321289
949,25.5743656158447,57.6037368774414,150.633148193359,91.5558242797852,24.4548358917236,15.4864797592163,110.080688476563,34.321605682373,139.621429443359
951,23.3016700744629,56.2494773864746,149.613800048828,95.6548004150391,35.7674407958984,18.6638488769531,112.287727355957,35.904167175293,132.359283447266
953,20.6023349761963,54.906982421875,142.25,100.262840270996,41.8603096008301,15.8708353042603,114.173942565918,37.9546813964844,134.054336547852
955,20.5383777618408,59.1904296875,141.856353759766,107.874382019043,39.4692611694336,12.378438949585,112.785400390625,40.7040519714355,140.030853271484
957,22.2041110992432,59.8375663757324,134.18896484375,116.806221008301,41.2094116210938,12.5684719085693,113.283866882324,40.0654983520508,145.347442626953
959,21.8160095214844,60.422679901123,134.075073242188,124.177261352539,44.818244934082,14.1040830612183,111.727478027344,40.1691513061523,149.262634277344
961,20.6205596923828,64.2692031860352,133.387161254883,137.743621826172,47.7370796203613,13.5562810897827,114.30517578125,40.5384140014648,148.045532226563
963,20.7826633453369,63.5602874755859,126.458724975586,149.759246826172,49.9430046081543,12.5355634689331,114.786392211914,43.4438667297363,149.376113891602
965,20.7587585449219,62.2783851623535,123.547416687012,167.27961730957,52.8841361999512,10.9656610488892,114.334091186523,44.4984550476074,153.612075805664
967,21.3801002502441,62.1859703063965,118.394638061523,184.707260131836,57.4766387939453,11.1229095458984,116.018081665039,44.7027397155762,159.606887817383
969,22.2697296142578,61.4218063354492,115.419624328613,205.785110473633,61.5871810913086,9.58408641815186,117.248329162598,48.7566795349121,163.621841430664
971,22.9133071899414,61.1061973571777,113.59782409668,227.976409912109,68.0585403442383,8.48034381866455,118.485412597656,51.801212310791,167.91960144043
973,22.8138732910156,59.8138961791992,112.574424743652,250.298355102539,73.3171005249023,10.8476066589355,119.809288024902,51.911262512207,176.053848266602
975,23.5378665924072,58.8463287353516,111.943618774414,276.960540771484,80.6263732910156,13.267876625061,122.261306762695,54.4564895629883,183.917861938477
977,24.1112937927246,57.2974243164063,108.183258056641,298.819793701172,84.2587432861328,15.1260471343994,125.232391357422,57.6860847473145,191.184371948242
979,24.0974922180176,56.1021308898926,107.362007141113,321.872741699219,90.2129592895508,18.5218658447266,125.669471740723,59.3274307250977,198.066024780273
981,26.3431186676025,58.4981422424316,105.466186523438,340.389770507813,96.4035720825195,20.982982635498,127.109580993652,60.506965637207,204.374221801758
983,27.7860164642334,59.0874176025391,106.510711669922,355.933227539063,100.717910766602,23.4928531646729,128.731307983398,61.4914703369141,212.657638549805
985,27.7159004211426,58.9445533752441,111.627212524414,374.366485595703,105.652046203613,24.3886680603027,131.039459228516,64.0384216308594,220.261337280273
987,28.3512668609619,63.8120346069336,113.332458496094,388.526428222656,110.461990356445,26.8335742950439,136.374008178711,67.2084655761719,225.711959838867
989,29.380859375,66.1313781738281,120.321769714355,400.008361816406,115.142013549805,28.3180904388428,140.14289855957,70.7203903198242,232.856658935547
991,30.3418350219727,69.7898788452148,128.955307006836,409.657531738281,122.388938903809,29.3795032501221,146.084884643555,75.1412963867188,239.156967163086
993,31.1860446929932,74.2378997802734,132.746429443359,415.788513183594,127.770858764648,30.5203075408936,152.492202758789,78.9229736328125,246.003814697266
995,33.203239440918,80.6995620727539,144.512710571289,419.514251708984,135.516510009766,32.682975769043,161.790725708008,83.2053756713867,252.214065551758
997,36.1295394897461,90.7011260986328,157.226333618164,424.994323730469,145.992828369141,34.9039268493652,175.135055541992,87.8308944702148,259.345092773438
999,37.8997688293457,109.144027709961,172.2158203125,433.096710205078,155.162658691406,36.1605758666992,188.377243041992,93.8095932006836,267.783569335938
1001,39.7694549560547,134.851654052734,190.38835144043,431.908752441406,165.260772705078,36.1778984069824,204.530563354492,101.05265045166,273.382019042969
1003,42.7344512939453,161.691436767578,213.073303222656,436.347015380859,176.476119995117,37.6105270385742,223.39924621582,109.370536804199,283.740264892578
1005,45.2122955322266,166.334411621094,237.590087890625,445.062042236328,187.039916992188,42.5732383728027,242.14616394043,117.627021789551,295.025817871094
1007,47.6459426879883,174.197555541992,265.587097167969,450.026123046875,199.955154418945,48.7494239807129,257.743133544922,126.456909179688,304.364990234375
