H,H,H
" Sample 1"," Sample 2"," Sample 3"
0.030000,0.020000,0.040000
0.020000,0.030000,0.010000
0.020000,0.150000,0.020000
0.020000,0.850000,0.050000
0.030000,0.830000,0.050000
0.010000,0.340000,0.020000
0.030000,0.070000,0.020000
0.030000,0.020000,0.010000
0.010000,1.140000,0.010000
0.009839,0.100000,0.020000
0.020000,0.820000,0.020000
0.010000,0.060000,0.009839
0.020000,0.020000,0.030000
0.100000,0.080000,0.020000
0.010000,0.020000,0.007379
0.040000,0.100000,0.020000
0.010000,0.050000,0.070000
0.020000,0.007379,0.009839
0.020000,0.090000,0.020000
0.080000,0.030000,0.020000
0.009839,0.010000,0.009839
0.020000,0.020000,0.010000
0.008609,0.020000,0.050000
0.010000,0.010000,0.010000
0.020000,0.030000,0.030000
0.020000,0.040000,0.030000
0.010000,0.080000,0.060000
0.020000,1.870000,0.110000
0.020000,0.020000,0.030000
0.009839,0.200000,0.010000
0.040000,0.010000,0.110000
0.060000,0.090000,0.040000
0.020000,0.060000,0.060000
0.010000,0.020000,0.020000
0.020000,0.030000,0.010000
0.010000,0.080000,0.007379
0.030000,0.060000,0.010000
0.010000,0.030000,0.010000
0.050000,0.020000,0.009839
0.010000,0.020000,0.008609
0.009839,0.100000,0.040000
0.010000,0.020000,0.008609
0.050000,0.130000,0.020000
0.020000,0.020000,0.080000
0.020000,0.010000,0.010000
0.020000,0.010000,0.010000
0.030000,0.008105,0.050000
0.010000,0.030000,0.030000
0.040000,0.010000,0.010000
0.010000,0.008728,0.010000
0.020000,0.008728,0.040000
0.060000,0.040000,0.140000
0.010000,0.020000,0.020000
0.020000,0.070000,0.010000
0.020000,1.780000,0.020000
0.009839,0.020000,0.060000
0.050000,0.180000,0.010000
0.020000,0.010000,0.020000
0.020000,0.070000,0.008609
0.040000,0.050000,0.030000
0.030000,0.010000,0.010000
0.020000,0.040000,0.040000
0.020000,0.008728,0.020000
0.020000,0.020000,0.010000
0.020000,0.070000,0.020000
0.030000,0.050000,0.009839
0.020000,0.010000,0.010000
0.060000,0.008105,0.150000
0.020000,0.030000,0.030000
0.060000,0.010000,0.010000
0.010000,0.010000,0.020000
0.020000,0.009975,0.020000
0.030000,0.010000,0.020000
0.040000,0.030000,0.010000
0.050000,0.030000,0.020000
0.020000,0.110000,0.110000
0.020000,0.020000,0.008609
0.160000,0.030000,0.010000
0.010000,1.110000,0.030000
0.010000,0.020000,0.009839
0.030000,0.020000,0.030000
0.030000,0.020000,0.030000
0.090000,0.010000,0.009839
0.020000,0.030000,0.010000
0.020000,0.040000,0.009839
0.010000,0.020000,0.070000
0.020000,0.020000,0.010000
0.410000,0.020000,0.020000
0.040000,0.020000,0.060000
0.010000,0.010000,0.010000
0.010000,0.010000,0.020000
0.010000,0.020000,0.010000
0.010000,0.070000,0.040000
0.010000,0.020000,0.030000
0.010000,0.070000,0.020000
0.020000,0.020000,0.010000
0.010000,0.060000,0.040000
0.008609,0.070000,0.008609
0.020000,0.009352,0.020000
0.020000,0.010000,0.010000
0.009839,0.010000,0.040000
0.080000,0.020000,0.009839
0.010000,0.008728,0.040000
0.170000,0.010000,0.009839
0.030000,0.030000,0.020000
0.040000,0.010000,0.030000
0.010000,0.030000,0.020000
0.020000,0.008105,0.050000
0.020000,0.010000,0.140000
0.030000,0.008728,0.010000
0.020000,0.010000,0.020000
0.020000,0.020000,0.040000
0.060000,0.010000,0.050000
0.030000,0.010000,0.010000
0.040000,0.010000,0.030000
0.040000,0.008728,0.020000
0.030000,0.020000,0.010000
0.030000,0.020000,0.040000
0.020000,0.020000,0.010000
0.020000,0.020000,0.020000
0.040000,0.010000,0.030000
0.020000,0.010000,0.040000
0.020000,0.020000,0.010000
0.030000,0.010000,0.050000
0.110000,0.320000,0.020000
0.030000,0.030000,0.010000
0.010000,0.008728,0.020000
0.030000,0.010000,0.030000
0.020000,0.010000,0.020000
0.009839,0.020000,0.008728
0.010000,0.020000,0.050000
0.110000,0.020000,0.150000
0.010000,0.040000,0.020000
0.010000,0.120000,0.020000
0.040000,0.020000,0.040000
0.030000,1.100000,0.050000
0.010000,0.080000,0.020000
0.060000,0.010000,0.007481
0.040000,0.060000,0.020000
0.020000,0.008105,0.020000
0.010000,0.780000,0.050000
0.070000,0.050000,0.010000
0.020000,0.010000,0.030000
0.009839,0.010000,0.020000
0.030000,0.010000,0.020000
0.020000,0.030000,0.030000
0.010000,0.330000,0.030000
0.010000,0.040000,0.020000
0.020000,0.080000,0.100000
0.040000,0.020000,0.040000
0.010000,0.008105,0.030000
0.010000,0.020000,0.020000
0.030000,0.810000,0.030000
0.020000,0.300000,0.010000
0.020000,0.810000,0.040000
0.020000,0.010000,0.100000
0.010000,0.010000,0.030000
0.007379,0.030000,0.030000
0.020000,0.030000,0.020000
0.060000,0.008105,0.020000
0.020000,0.190000,0.040000
0.008609,0.010000,0.020000
0.050000,0.080000,0.030000
0.010000,0.020000,0.040000
0.030000,0.020000,0.030000
0.030000,1.650000,0.030000
0.030000,0.020000,0.050000
0.040000,0.080000,0.130000
0.030000,0.009352,0.030000
0.020000,0.060000,0.050000
0.010000,0.040000,0.030000
0.030000,0.020000,0.020000
0.010000,0.009352,0.040000
0.030000,0.010000,0.030000
0.010000,0.080000,0.020000
0.010000,0.050000,0.010000
0.010000,0.010000,0.010000
0.010000,0.030000,0.010000
0.040000,0.007481,0.010000
0.009975,0.010000,0.040000
0.030000,0.010000,0.008609
0.060000,0.010000,0.009839
0.010000,0.030000,0.010000
0.010000,0.010000,0.010000
0.020000,0.030000,0.010000
0.020000,0.020000,0.020000
0.010000,0.110000,0.020000
0.020000,0.050000,0.080000
0.050000,0.040000,0.010000
0.010000,0.010000,0.007379
0.040000,0.010000,0.050000
0.040000,0.040000,0.020000
0.020000,0.030000,0.010000
0.010000,0.030000,0.010000
0.020000,0.150000,0.020000
0.010000,0.020000,0.010000
0.020000,0.010000,0.050000
0.020000,0.050000,0.020000
0.020000,0.020000,0.009839
0.020000,0.070000,0.020000
0.070000,0.020000,0.008609
0.010000,0.210000,0.020000
0.010000,0.020000,0.008623
0.060000,0.020000,0.090000
0.020000,0.030000,0.020000
0.010000,0.010000,0.010000
0.030000,0.030000,0.010000
0.030000,0.010000,0.130000
0.050000,0.030000,0.010000
0.160000,0.430000,0.010000
0.010000,0.030000,0.010000
0.009352,0.020000,0.030000
0.010000,0.030000,0.009975
0.008728,0.310000,0.020000
0.010000,0.009839,0.060000
0.020000,0.080000,0.040000
0.030000,0.010000,0.040000
0.007481,0.010000,0.020000
0.008728,0.030000,0.010000
0.030000,0.010000,0.010000
0.009975,0.030000,0.010000
0.030000,0.010000,0.050000
0.020000,0.060000,0.020000
0.090000,0.010000,0.010000
0.020000,0.010000,0.010000
0.020000,0.020000,0.030000
0.020000,0.020000,0.010000
0.410000,0.010000,0.010000
0.008728,0.010000,0.030000
0.009975,0.009839,0.009839
0.040000,0.010000,0.010000
0.020000,0.020000,0.020000
0.020000,0.060000,0.030000
0.020000,0.020000,0.008609
0.008728,0.070000,0.070000
0.020000,0.020000,0.030000
0.020000,0.200000,0.020000
0.020000,0.020000,0.020000
0.010000,0.020000,0.040000
0.020000,0.020000,0.020000
0.020000,0.010000,0.020000
0.010000,0.030000,0.020000
0.010000,0.010000,0.010000
0.010000,0.020000,0.020000
0.020000,0.020000,0.010000
0.020000,0.060000,0.050000
0.020000,0.290000,0.020000
0.008105,0.060000,0.009839
0.080000,0.020000,0.010000
0.020000,0.020000,0.050000
0.009352,0.009352,0.050000
0.170000,0.010000,0.020000
0.010000,0.009975,0.120000
0.030000,0.030000,0.030000
0.040000,0.009352,0.030000
0.020000,0.010000,0.030000
0.008728,0.010000,0.060000
0.010000,0.010000,0.020000
0.020000,0.009975,0.030000
0.010000,0.010000,0.020000
0.009975,0.040000,0.008609
0.010000,0.020000,0.040000
0.010000,0.010000,0.020000
0.020000,0.010000,0.010000
0.010000,0.009975,0.040000
0.010000,0.020000,0.020000
0.030000,0.030000,0.040000
0.020000,0.320000,0.020000
0.010000,0.009261,0.030000
0.030000,0.009581,0.020000
0.030000,0.007984,0.020000
0.010000,0.070000,0.010000
0.020000,0.009900,0.040000
0.050000,0.020000,0.030000
0.040000,0.008623,0.020000
0.020000,0.010000,0.030000
0.030000,0.010000,0.009839
0.020000,0.020000,0.009839
0.020000,0.009261,0.020000
0.050000,0.020000,0.030000
0.020000,0.020000,0.060000
0.020000,0.010000,0.060000
0.010000,0.030000,0.020000
0.030000,0.007984,0.020000
0.030000,0.008623,0.030000
0.110000,0.040000,0.010000
0.030000,0.020000,0.020000
0.010000,0.010000,0.030000
0.010000,0.007665,0.010000
0.020000,0.007026,0.030000
0.010000,0.009581,0.040000
0.008728,0.020000,0.030000
0.009975,0.060000,0.020000
0.040000,0.020000,0.070000
0.020000,0.020000,0.010000
0.030000,0.010000,0.030000
0.030000,0.007984,0.030000
0.010000,0.020000,0.020000
0.110000,0.020000,0.210000
0.020000,0.010000,0.040000
0.010000,0.020000,0.040000
0.020000,0.020000,0.020000
0.020000,0.008942,0.030000
0.010000,0.020000,0.060000
0.040000,0.010000,0.010000
0.010000,0.020000,0.090000
0.009352,0.020000,0.010000
0.020000,0.030000,0.020000
0.010000,0.009261,0.090000
0.060000,0.020000,0.140000
0.030000,0.030000,0.040000
0.010000,0.010000,0.020000
0.010000,0.010000,0.210000
0.010000,0.007345,0.040000
0.030000,0.020000,0.040000
0.050000,0.110000,0.020000
0.080000,0.210000,0.020000
0.250000,0.020000,0.030000
0.020000,0.510000,0.010000
0.020000,0.020000,0.080000
0.030000,0.020000,0.050000
0.020000,0.030000,0.020000
0.020000,0.010000,0.060000
0.020000,0.008609,0.020000
0.010000,0.520000,0.030000
0.050000,0.610000,0.009839
0.040000,0.150000,0.110000
0.010000,0.010000,0.020000
0.020000,0.370000,0.020000
0.040000,0.280000,0.010000
0.020000,0.340000,0.020000
0.150000,0.280000,0.190000
0.050000,0.060000,0.010000
0.030000,0.010000,0.008609
0.040000,0.030000,0.120000
0.030000,0.007665,0.030000
0.630000,0.010000,0.170000
0.010000,0.030000,0.020000
0.020000,0.020000,0.020000
0.008483,0.030000,0.010000
0.020000,0.030000,0.020000
0.060000,0.010000,0.170000
0.030000,0.140000,0.040000
0.010000,0.040000,0.020000
0.030000,0.060000,0.020000
0.030000,0.009839,0.020000
0.007984,0.060000,0.040000
0.020000,0.020000,0.010000
0.020000,0.010000,0.020000
0.010000,0.210000,0.030000
0.008982,0.020000,0.040000
0.030000,0.020000,0.050000
0.010000,0.030000,0.010000
0.030000,0.020000,0.020000
0.010000,0.020000,0.020000
0.009980,0.390000,0.020000
0.020000,0.070000,0.010000
0.009481,0.050000,0.450000
0.030000,0.270000,0.020000
0.030000,0.010000,0.020000
0.020000,0.009839,0.070000
0.010000,0.020000,0.020000
0.020000,0.020000,0.020000
0.010000,0.008609,0.410000
0.020000,0.030000,0.020000
0.030000,0.008609,0.060000
0.010000,0.020000,0.010000
0.020000,0.010000,0.030000
0.010000,0.030000,0.030000
0.020000,0.040000,0.020000
0.040000,0.190000,0.260000
0.030000,0.020000,0.030000
0.030000,0.210000,0.010000
0.100000,0.220000,0.030000
0.210000,0.040000,0.050000
0.010000,0.340000,0.120000
0.010000,0.030000,0.050000
0.020000,0.030000,0.020000
0.050000,0.050000,0.040000
0.070000,0.010000,0.010000
0.040000,0.009839,0.080000
0.020000,0.020000,0.030000
0.010000,0.060000,0.020000
0.040000,0.030000,0.080000
0.050000,0.040000,0.010000
0.080000,0.020000,0.090000
0.050000,0.010000,0.020000
0.030000,0.050000,0.020000
0.020000,0.010000,0.030000
0.060000,0.009839,0.040000
0.060000,0.008609,0.030000
0.010000,0.050000,0.010000
0.020000,0.010000,0.080000
0.020000,0.008609,0.030000
0.010000,0.010000,0.040000
0.030000,0.010000,0.020000
0.070000,0.030000,0.080000
