"Procedural blank","Procedural blank","Procedural blank"
0.100000,0.010000,0.03
0.020000,0.020000,0.01
0.010000,0.010000,0.03
0.040000,0.008942,0.02
0.020000,0.020000,0.01
0.009352,0.020000,0.04
0.009352,0.009975,0.02
0.010000,0.020000,0.06
0.007481,0.020000,0.06
0.010000,0.010000,0.06
0.010000,0.020000,0.07
0.020000,0.010000,0.03
0.010000,0.010000,0.02
0.020000,0.010000,
0.009975,0.010000,
0.020000,0.030000,
0.020000,0.020000,
0.008303,0.070000,
0.007345,0.010000,
0.009900,0.010000,
0.020000,0.010000,
0.010000,0.020000,
0.020000,0.020000,
0.008942,0.020000,
0.020000,0.020000,
0.009581,0.050000,
0.020000,0.020000,
0.020000,0.010000,
0.020000,0.030000,
0.040000,0.010000,
0.040000,0.020000,
0.020000,0.020000,
0.010000,0.020000,
0.060000,0.010000,
0.050000,0.010000,
0.020000,0.010000,
0.010000,0.010000,
0.020000,0.020000,
0.010000,0.020000,
0.010000,0.020000,
0.010000,0.020000,
0.070000,0.020000,
0.010000,0.020000,
0.010000,0.009352,
0.020000,0.010000,
0.030000,0.020000,
0.020000,0.020000,
0.060000,0.020000,
0.010000,0.020000,
0.020000,0.010000,
0.020000,0.020000,
0.020000,0.020000,
0.010000,0.009352,
0.007481,0.020000,
0.010000,0.010000,
0.050000,0.010000,
0.010000,0.030000,
0.010000,0.020000,
0.008728,0.020000,
0.010000,0.020000,
0.007481,0.020000,
0.009975,0.010000,
0.008728,0.010000,
0.009352,0.020000,
0.008728,0.020000,
0.008728,0.020000,
0.020000,0.010000,
0.008728,0.030000,
0.010000,0.040000,
0.008728,0.009352,
0.010000,0.020000,
0.009352,0.010000,
0.009352,0.060000,
0.010000,0.020000,
0.009352,0.007481,
0.020000,0.010000,
0.010000,0.020000,
0.020000,0.010000,
0.010000,0.030000,
0.010000,0.010000,
0.008942,0.030000,
0.008942,0.010000,
0.009900,0.010000,
0.008942,0.010000,
0.009581,0.009352,
0.010000,0.010000,
0.009900,0.010000,
0.010000,0.030000,
0.060000,0.010000,
0.040000,0.007481,
0.030000,0.009352,
0.010000,0.010000,
0.020000,0.008728,
0.050000,0.010000,
0.040000,0.008105,
0.070000,0.008728,
0.010000,0.010000,
0.010000,0.020000,
0.030000,0.030000,
,0.020000,
,0.010000,
,0.009352,
,0.020000,
,0.020000,
,0.020000,
,0.010000,
,0.030000,
,0.030000,
,0.010000,
,0.020000,
,0.020000,
,0.010000,
,0.010000,
,0.030000,
,0.060000,
