UV-FT,UV-FT,UV-FT
" Sample 1"," Sample 2"," Sample 3"
0.080000,2.180000,0.270000
0.008609,0.170000,0.190000
0.050000,0.060000,0.200000
0.100000,0.050000,0.730000
0.070000,0.020000,0.050000
0.020000,0.060000,0.020000
0.010000,0.009839,0.150000
0.010000,0.020000,0.060000
0.008609,0.010000,0.130000
0.010000,0.009839,0.100000
0.010000,0.030000,0.009839
0.010000,0.010000,0.360000
0.040000,0.010000,0.030000
0.020000,0.030000,0.190000
0.030000,0.010000,0.690000
0.050000,0.020000,0.200000
0.020000,0.020000,0.100000
0.007379,0.008609,0.610000
0.040000,0.010000,0.140000
0.010000,0.050000,0.040000
0.140000,0.030000,0.110000
0.010000,0.040000,0.420000
0.020000,0.010000,0.930000
0.020000,0.020000,0.340000
0.080000,0.009839,0.040000
0.020000,0.008609,0.120000
0.008609,0.020000,0.100000
0.010000,0.020000,0.060000
0.010000,0.010000,0.100000
0.020000,0.020000,0.160000
0.030000,0.040000,0.120000
0.020000,0.010000,0.020000
0.020000,0.020000,0.110000
0.009839,0.010000,0.070000
0.100000,0.020000,0.030000
0.010000,0.010000,0.570000
0.020000,0.050000,0.250000
0.070000,0.020000,0.050000
0.010000,0.009839,0.070000
0.050000,0.010000,0.030000
0.010000,0.020000,0.070000
0.080000,0.020000,0.190000
0.020000,0.020000,0.300000
0.020000,0.040000,0.340000
0.007379,0.120000,0.120000
0.030000,0.050000,0.030000
0.008609,0.030000,0.060000
0.007379,0.070000,0.240000
0.060000,0.009839,1.240000
0.009839,0.070000,0.350000
0.050000,0.040000,0.480000
0.040000,0.010000,0.020000
0.100000,0.020000,0.340000
0.170000,0.020000,0.740000
0.010000,0.010000,0.430000
0.010000,0.020000,0.100000
0.050000,0.030000,0.070000
0.010000,0.008609,0.500000
0.150000,0.020000,0.260000
0.080000,0.020000,0.020000
0.010000,0.010000,0.070000
0.020000,0.020000,0.120000
0.020000,0.009839,0.080000
0.240000,0.020000,0.070000
0.020000,0.010000,0.030000
0.030000,0.020000,0.200000
0.140000,0.030000,0.310000
0.010000,0.060000,0.350000
0.030000,0.010000,0.130000
0.040000,0.010000,0.050000
0.070000,0.050000,0.070000
0.010000,0.020000,0.350000
0.010000,0.100000,3.310000
0.120000,0.010000,0.250000
0.020000,0.030000,0.480000
0.040000,0.040000,0.090000
0.020000,0.020000,0.340000
0.030000,0.040000,0.120000
0.020000,0.020000,0.090000
0.030000,0.010000,0.330000
0.040000,0.020000,0.100000
0.050000,0.020000,0.020000
0.030000,0.030000,0.080000
0.090000,0.020000,0.500000
0.040000,0.009839,0.030000
0.020000,0.060000,0.300000
0.010000,0.020000,1.490000
0.080000,0.010000,0.020000
0.020000,0.010000,0.030000
0.080000,0.020000,0.630000
0.370000,0.030000,0.410000
0.010000,0.020000,0.020000
0.030000,0.020000,0.150000
0.030000,0.010000,0.280000
0.070000,0.070000,0.060000
0.008609,0.060000,0.230000
0.030000,0.030000,0.720000
0.060000,0.020000,0.030000
0.020000,0.020000,0.060000
0.060000,0.020000,0.030000
0.010000,0.080000,0.030000
0.010000,0.008609,0.290000
0.060000,0.040000,0.230000
0.030000,0.008609,0.100000
0.020000,0.080000,0.150000
0.080000,0.010000,0.470000
0.020000,0.090000,0.100000
0.010000,0.020000,0.070000
0.008609,0.230000,0.220000
0.010000,0.020000,0.010000
0.020000,0.030000,0.020000
0.006149,0.030000,1.070000
0.020000,0.009839,0.150000
0.030000,0.020000,0.050000
0.060000,0.010000,0.420000
0.040000,0.010000,0.070000
0.008609,0.040000,0.200000
0.020000,0.030000,0.020000
0.020000,0.010000,0.320000
0.010000,0.060000,0.050000
0.020000,0.070000,0.200000
0.070000,0.010000,0.190000
0.010000,0.020000,0.110000
0.030000,0.009839,0.420000
0.020000,0.030000,0.660000
0.020000,0.010000,0.190000
0.120000,0.010000,0.040000
0.008609,0.060000,0.060000
0.020000,0.010000,0.240000
0.007379,0.010000,0.070000
0.020000,0.140000,0.040000
0.050000,0.020000,0.010000
0.030000,0.010000,0.070000
0.020000,0.020000,0.040000
0.040000,0.100000,0.510000
0.100000,0.020000,0.110000
0.020000,0.010000,0.070000
0.010000,0.010000,0.150000
0.060000,0.020000,0.140000
0.020000,0.020000,0.090000
0.020000,0.010000,0.190000
0.020000,0.009839,0.420000
0.040000,0.030000,0.060000
0.040000,0.040000,0.010000
0.030000,0.020000,0.380000
0.020000,0.040000,0.170000
0.008609,0.080000,0.620000
0.020000,0.020000,0.350000
0.030000,0.030000,0.460000
0.010000,0.010000,0.740000
0.020000,0.020000,0.280000
0.110000,0.010000,0.090000
0.480000,0.070000,0.200000
0.020000,0.020000,0.020000
0.040000,0.010000,0.090000
0.110000,0.008609,0.090000
0.100000,0.010000,0.140000
0.350000,0.008609,0.150000
0.030000,0.010000,0.060000
0.030000,0.020000,0.380000
0.010000,0.020000,0.190000
0.050000,0.010000,0.150000
0.020000,0.009839,0.030000
0.060000,0.020000,0.180000
0.150000,0.010000,0.300000
0.020000,0.030000,0.190000
0.020000,0.030000,4.190000
0.090000,0.180000,0.100000
0.270000,0.040000,0.100000
0.060000,0.020000,0.040000
0.050000,0.010000,0.300000
0.040000,0.050000,0.420000
0.009839,0.040000,0.180000
0.190000,0.060000,0.060000
0.080000,0.009839,0.030000
0.050000,0.008609,0.230000
0.160000,0.040000,0.007379
0.110000,0.010000,0.020000
0.080000,0.080000,0.060000
0.020000,0.060000,0.110000
0.020000,0.007379,0.750000
0.030000,0.020000,0.140000
0.010000,0.120000,0.100000
0.100000,0.009839,0.230000
0.340000,0.030000,0.060000
0.020000,0.030000,0.140000
0.020000,0.009839,0.230000
