,Sample,Sample abbrev.,Sample Id (orig),"Cu 63/63
Oxygen DRC
(ug/L)",Dilution,Cu calculated,,Digest dilution,Cu calculated (final)
,blank 1,blank_1,Fblank1,0.301,1,0.301,,11.5,3.467
,blank 2,blank_2,Fblank2,0.931,1,0.931,,11.5,10.708
,blank 3,blank_3,Fblank3,0.356,1,0.356,,11.5,4.097
,,0-1,F0-1,0.349,1,0.349,,22.679607798995,7.907
,,0-2,F0-2,0.254,1,0.254,,22.8692970249972,5.810
,,0-3,F0-3,0.260,1,0.260,,22.8025402409639,5.923
,,0-4,F0-4,3.896,2,7.792,,22.7076131778814,176.936
,,0-5,F0-5,0.401,1,0.401,,22.5637436210713,9.052
,,0-6,F0-6,0.395,1,0.395,,22.5404279797535,8.895
,,0-7,F0-7,0.690,1,0.690,,22.798891175423,15.735
,,0-8,F0-8,0.421,1,0.421,,22.6809571378014,9.544
,,0-9,F0-9,0.406,1,0.406,,22.9085545066488,9.310
,,0-10,F0-10,0.417,1,0.417,,23.1187876328284,9.643
,,0-11,F0-11,0.452,1,0.452,,22.7577163923137,10.282
,,0-12,F0-12,0.633,1,0.633,,22.7363225763465,14.396
,,0-13,F0-13,0.454,1,0.454,,22.9504133273462,10.411
,,0-14,F0-14,0.407,1,0.407,,23.3100902379597,9.492
,,0-15,F0-15,0.321,1,0.321,,23.1913564146038,7.453
,,0-16,F0-16,0.313,1,0.313,,22.9272205550582,7.183
,,0-17,F0-17,0.465,1,0.465,,23.1541706875071,10.770
,,0-18,F0-18,0.702,1,0.702,,23.0282895482708,16.168
,,0-19,F0-19,0.532,1,0.532,,23.4754140059756,12.488
,,0-20,F0-20,1.349,1,1.349,,22.8169023296214,30.791
,,0-21,F0-21,0.559,1,0.559,,22.6737146024735,12.666
,,0-22,F0-22,0.599,1,0.599,,23.4685930185652,14.059
,,0-23,F0-23,0.527,1,0.527,,22.7369703395642,11.986
,,0-24,F0-24,0.666,1,0.666,,23.755250249243,15.824
,,0-25,F0-25,0.475,1,0.475,,21.0663177448677,10.001
,,0-26,F0-26,0.661,1,0.661,,26.9488538073518,17.800
,,0-27,F0-27,0.536,1,0.536,,20.7682457931312,11.128
,,0-28,F0-28,2.792,1,2.792,,23.6241130129991,65.960
,,0-29,F0-29,5.986,1,5.986,,23.7635040689816,142.237
,,0-30,F0-30,0.510,1,0.510,,21.9491413529349,11.194
,,0-31,F0-31,0.547,1,0.547,,24.8568531528895,13.587
,,0-32,F0-32,4.053,1,4.053,,23.5203445705099,95.327
,,0-33,F0-33,0.526,1,0.526,,21.7398310099093,11.437
,,0-34,F0-34,0.650,1,0.650,,24.9091997738168,16.199
,,0-35,F0-35,0.585,1,0.585,,22.1726821620455,12.969
,,0-36,F0-36,0.538,1,0.538,,23.5153292162937,12.660
,,0-37,F0-37,0.541,1,0.541,,22.0061876464278,11.912
,,0-38,F0-38,0.823,1,0.823,,26.2856154010695,21.634
,,0-39,F0-39,0.689,1,0.689,,20.0087478780842,13.794
,,0-40,F0-40,3.697,1,3.697,,24.7260604771809,91.414
,,0-41,F0-41,2.840,1,2.840,,22.7218557822222,64.524
,,0-42,F0-42,2.901,1,2.901,,23.598828752623,68.463
,,0-43,F0-43,2.203,1,2.203,,23.0251683429476,50.713
,,0-44,F0-44,2.324,1,2.324,,22.7762108010278,52.933
,,0-45,F0-45,1.977,1,1.977,,22.8383549899351,45.141
,,2-1,F2-1,8.388,1,8.388,,25.3660434819389,212.773
,,2-2,F2-2,8.284,1,8.284,,25.3660434819389,210.137
,,2-3,F2-3,9.214,1,9.214,,25.3660434819389,233.732
,,2-4,F2-4,0.399,2,0.798,,25.3660434819389,20.251
,,2-5,F2-5,0.490,1,0.490,,25.3660434819389,12.433
,,2-6,F2-6,0.453,1,0.453,,25.3660434819389,11.481
,,2-7,F2-7,0.873,1,0.873,,25.3660434819389,22.147
,,2-8,F2-8,0.486,1,0.486,,25.3660434819389,12.327
,,2-9,F2-9,0.817,1,0.817,,25.3660434819389,20.721
,,2-10,F2-10,3.568,1,3.568,,25.3660434819389,90.518
,,2-11,F2-11,1.665,1,1.665,,25.3660434819389,42.238
,,2-12,F2-12,5.095,1,5.095,,25.3660434819389,129.242
,,2-13,F2-13,0.551,1,0.551,,25.3660434819389,13.977
,,2-14,F2-14,1.525,1,1.525,,25.3660434819389,38.689
,,2-15,F2-15,0.353,1,0.353,,25.3660434819389,8.964
,,2-16,F2-16,0.758,1,0.758,,25.3660434819389,19.238
,,2-17,F2-17,0.442,1,0.442,,25.3660434819389,11.209
,,2-18,F2-18,0.491,1,0.491,,25.3660434819389,12.449
,,2-19,F2-19,0.234,100,23.410,,25.3660434819389,593.821
,,2-20,F2-20,0.171,100,17.085,,25.3660434819389,433.372
,,2-21,F2-21,0.313,100,31.264,,25.3660434819389,793.037
,,2-22,F2-22,0.324,1,0.324,,25.3660434819389,8.207
,,2-23,F2-23,0.295,1,0.295,,25.3660434819389,7.495
,,2-24,F2-24,0.192,1,0.192,,25.3660434819389,4.872
,,2-25,F2-25,0.165,1,0.165,,25.3660434819389,4.178
,,2-26,F2-26,0.0119,1,0.0119,,25.3660434819389,0.3017
,,2-27,F2-27,0.152,1,0.152,,25.3660434819389,3.848
,,2-28,F2-28,1.238,1,1.238,,25.3660434819389,31.391
,,2-29,F2-29,1.504,1,1.504,,25.3660434819389,38.140
,,2-30,F2-30,0.834,1,0.834,,25.3660434819389,21.145
,,2-31,F2-31,0.133,1,0.133,,25.3660434819389,3.361
,,2-32,F2-32,0.090,1,0.090,,25.3660434819389,2.292
,,2-33,F2-33,0.099,1,0.099,,25.3660434819389,2.511
,,2-34,F2-34,0.081,1,0.081,,25.3660434819389,2.059
,,2-35,F2-35,0.356,1,0.356,,25.3660434819389,9.027
,,2-36,F2-36,0.114,1,0.114,,25.3660434819389,2.881
,,2-37,F2-37,1.713,1,1.713,,25.3660434819389,43.455
,,2-38,F2-38,1.421,1,1.421,,25.3660434819389,36.050
,,2-39,F2-39,1.378,1,1.378,,25.3660434819389,34.952
,,2-40,F2-40,0.082,1,0.082,,25.3660434819389,2.089
,,2-41,F2-41,0.108,1,0.108,,25.3660434819389,2.748
,,2-42,F2-42,0.154,1,0.154,,25.3660434819389,3.899
,,2-43,F2-43,0.111,1,0.111,,25.3660434819389,2.808
,,2-44,F2-44,0.092,1,0.092,,25.3660434819389,2.330
,,2-45,F2-45,0.558,1,0.558,,25.3660434819389,14.164
,,4-1,F4-1,2.737,1,2.737,,25.3660434819389,69.421
,,4-2,F4-2,0.770,1,0.770,,25.3660434819389,19.540
,,4-3,F4-3,1.139,1,1.139,,25.3660434819389,28.883
,,4-4,F4-4,1.046,1,1.046,,25.3660434819389,26.539
,,4-5,F4-5,0.397,1,0.397,,25.3660434819389,10.059
,,4-6,F4-6,0.887,1,0.887,,25.3660434819389,22.511
,,4-7,F4-7,0.681,1,0.681,,25.3660434819389,17.266
,,4-8,F4-8,0.284,1,0.284,,25.3660434819389,7.200
,,4-9,F4-9,0.965,1,0.965,,25.3660434819389,24.480
,,4-10,F4-10,1.438,10,14.380,,25.3660434819389,364.753
,,4-11,F4-11,1.312,10,13.117,,25.3660434819389,332.721
,,4-12,F4-12,30.457,1,30.457,,25.3660434819389,772.569
,,4-13,F4-13,0.178,2,0.355,,25.3660434819389,9.009
,,4-14,F4-14,1.637,1,1.637,,25.3660434819389,41.533
,,4-15,F4-15,0.516,1,0.516,,25.3660434819389,13.092
,,4-16,F4-16,0.321,2,0.642,,25.3660434819389,16.295
,,4-17,F4-17,0.599,1,0.599,,25.3660434819389,15.207
,,4-18,F4-18,0.509,1,0.509,,25.3660434819389,12.904
,,4-19,F4-19,1.186,1000,1185.638,,25.3660434819389,30074.949
,,4-20,F4-20,0.303,1000,302.602,,25.3660434819389,7675.827
,,4-21,F4-21,1.029,1000,1029.100,,25.3660434819389,26104.196
,,4-22,F4-22,0.673,2,1.345,,25.3660434819389,34.119
,,4-23,F4-23,1.088,1,1.088,,25.3660434819389,27.590
,,4-24,F4-24,0.616,1,0.616,,25.3660434819389,15.614
,,4-25,F4-25,0.033,2,0.065,,25.3660434819389,1.653
,,4-26,F4-26,0.305,1,0.305,,25.3660434819389,7.748
,,4-27,F4-27,0.240,1,0.240,,25.3660434819389,6.076
,,4-28,F4-28,1.786,1,1.786,,25.3660434819389,45.305
,,4-29,F4-29,1.571,1,1.571,,25.3660434819389,39.861
,,4-30,F4-30,1.554,1,1.554,,25.3660434819389,39.409
,,4-31,F4-31,0.112,2,0.223,,25.3660434819389,5.658
,,4-32,F4-32,0.141,1,0.141,,25.3660434819389,3.570
,,4-33,F4-33,0.202,1,0.202,,25.3660434819389,5.126
,,4-34,F4-34,0.116,2,0.231,,25.3660434819389,5.870
,,4-35,F4-35,0.174,1,0.174,,25.3660434819389,4.414
,,4-36,F4-36,0.246,1,0.246,,25.3660434819389,6.235
,,4-37,F4-37,3.218,1,3.218,,25.3660434819389,81.625
,,4-38,F4-38,2.717,1,2.717,,25.3660434819389,68.922
,,4-39,F4-39,3.499,1,3.499,,25.3660434819389,88.750
,,4-40,F4-40,0.137,1,0.137,,25.3660434819389,3.483
,,4-41,F4-41,0.165,1,0.165,,25.3660434819389,4.175
,,4-42,F4-42,0.153,1,0.153,,25.3660434819389,3.887
,,4-43,F4-43,0.135,1,0.135,,25.3660434819389,3.426
,,4-44,F4-44,0.127,1,0.127,,25.3660434819389,3.216
,,4-45,F4-45,0.186,1,0.186,,25.3660434819389,4.714
,,6-1,F6-1,3.806,1,3.806,,25.3660434819389,96.552
,,6-2,F6-2,2.143,1,2.143,,25.3660434819389,54.354
,,6-3,F6-3,2.466,1,2.466,,25.3660434819389,62.545
