,Sample,Sample abbrev.,Sample Id (orig),"Cu 63/63
Oxygen DRC
(ug/L)",Dilution,,Cu calculated,,Original dilution,Cu calculated (final)
,,H1-1,0-1,0.455,10,,4.549,,1,4.549
,,H1-2,0-2,0.040,10,,0.399,,1,0.399
,,H1-3,0-3,0.143,10,,1.432,,1,1.432
,,H2-1,0-4,0.218,10,,2.180,,1,2.180
,,H2-2,0-5,-0.155,100,,-15.534,,1,-15.534
,,H2-3,0-6,0.014,10,,0.143,,1,0.143
,,H3-1,0-7,0.257,10,,2.569,,1,2.569
,,H3-2,0-8,0.559,10,,5.589,,1,5.589
,,H3-3,0-9,-0.199,100,,-19.926,,1,-19.926
,,FT1-1,0-10,-0.160,100,,-15.958,,1,-15.958
,,FT1-2,0-11,-0.166,100,,-16.586,,1,-16.586
,,FT1-3,0-12,-0.059,100,,-5.938,,1,-5.938
,,FT2-1,0-13,-0.254,100,,-25.379,,1,-25.379
,,FT2-2,0-14,-0.051,10,,-0.509,,1,-0.509
,,FT2-3,0-15,0.118,10,,1.182,,1,1.182
,,FT3-1,0-16,0.003,10,,0.025,,1,0.025
,,FT3-2,0-17,0.044,10,,0.437,,1,0.437
,,FT3-3,0-18,-0.222,100,,-22.160,,1,-22.160
,,UVFT1-1,0-19,-0.147,100,,-14.706,,1,-14.706
,,UVFT1-2,0-20,-0.150,100,,-14.955,,1,-14.955
,,UVFT1-3,0-21,-0.213,100,,-21.261,,1,-21.261
,,UVFT2-1,0-22,-0.220,100,,-21.960,,1,-21.960
,,UVFT2-2,0-23,-0.003,100,,-0.331,,1,-0.331
,,UVFT2-3,0-24,0.538,10,,5.377,,1,5.377
,,UVFT3-1,0-25,-0.068,10,,-0.680,,1,-0.680
,,UVFT3-2,0-26,-0.081,10,,-0.812,,1,-0.812
,,UVFT3-3,0-27,0.060,10,,0.599,,1,0.599
,,C1-1,0-28,-0.012,10,,-0.119,,1,-0.119
,,C1-2,0-29,-0.146,10,,-1.456,,1,-1.456
,,C1-3,0-30,0.007,10,,0.066,,1,0.066
,,C2-1,0-31,-0.189,10,,-1.887,,1,-1.887
,,C2-2,0-32,-0.219,10,,-2.186,,1,-2.186
,,C2-3,0-33,-0.210,10,,-2.099,,1,-2.099
,,C3-1,0-34,-0.199,10,,-1.990,,1,-1.990
,,C3-2,0-35,-0.168,10,,-1.681,,1,-1.681
,,C3-3,0-36,-0.206,10,,-2.063,,1,-2.063
,,UV1-1,0-37,-0.214,100,,-21.389,,1,-21.389
,,UV1-2,0-38,-0.241,100,,-24.097,,1,-24.097
,,UV1-3,0-39,-0.222,100,,-22.250,,1,-22.250
,,UV2-1,0-40,-0.189,10,,-1.888,,1,-1.888
,,UV2-2,0-41,-0.199,10,,-1.993,,1,-1.993
,,UV2-3,0-42,-0.200,10,,-1.995,,1,-1.995
,,UV3-1,0-43,-0.248,100,,-24.810,,1,-24.810
,,UV3-2,0-44,-0.248,100,,-24.793,,1,-24.793
,,UV3-3,0-45,0.052,100,,5.241,,1,5.241
,,H1-1,2-1,1.004,10,,10.038,,10.0731956655081,101.112
,,H1-2,2-2,1.391,10,,13.913,,9.65486898709425,134.327
,,H1-3,2-3,2.226,10,,22.264,,9.63785365853658,214.579
,,H2-1,2-4,0.219,10,,2.192,,9.70965853658537,21.283
,,H2-2,2-5,0.305,10,,3.049,,9.6773119122257,29.503
,,H2-3,2-6,1.320,10,,13.201,,4.84571708272149,63.967
,,H3-1,2-7,1.143,10,,11.430,,4.90291453328082,56.043
,,H3-2,2-8,1.570,10,,15.698,,1,15.698
,,H3-3,2-9,3.135,9.87808301584118,.,30.965,,2,61.930
,,FT1-1,2-10,0.705,10,,7.048,,9.6388187293569,67.938
,,FT1-2,2-11,1.728,10,,17.281,,9.73296681720008,168.195
,,FT1-3,2-12,0.710,10,,7.097,,9.70836621941596,68.902
,,FT2-1,2-13,2.481,4.92419708757231,.,12.216,,2,24.432
