,Sample,Sample abbrev.,Sample Id (orig),"Zn 66/66
Oxygen DRC
(ug/L)",Dilution,Zn calculated,,Digest dilution,Zn calculated (final)
,blank 1,blank_1,Fblank1,0.193,1,0.193,,11.5,2.219
,blank 2,blank_2,Fblank2,1.358,1,1.358,,11.5,15.620
,blank 3,blank_3,Fblank3,1.736,1,1.736,,11.5,19.965
,,0-1,F0-1,0.532,1,0.532,,22.679607798995,12.077
,,0-2,F0-2,0.898,1,0.898,,22.8692970249972,20.538
,,0-3,F0-3,0.700,1,0.700,,22.8025402409639,15.963
,,0-4,F0-4,0.839,1,0.839,,22.7076131778814,19.050
,,0-5,F0-5,3.977,1,3.977,,22.5637436210713,89.733
,,0-6,F0-6,0.253,1,0.253,,22.5404279797535,5.712
,,0-7,F0-7,0.433,1,0.433,,22.798891175423,9.875
,,0-8,F0-8,2.557,1,2.557,,22.6809571378014,58.001
,,0-9,F0-9,0.186,1,0.186,,22.9085545066488,4.269
,,0-10,F0-10,0.301,1,0.301,,23.1187876328284,6.964
,,0-11,F0-11,0.555,1,0.555,,22.7577163923137,12.637
,,0-12,F0-12,0.353,1,0.353,,22.7363225763465,8.015
,,0-13,F0-13,0.779,1,0.779,,22.9504133273462,17.890
,,0-14,F0-14,0.576,1,0.576,,23.3100902379597,13.420
,,0-15,F0-15,0.207,1,0.207,,23.1913564146038,4.803
,,0-16,F0-16,0.477,1,0.477,,22.9272205550582,10.927
,,0-17,F0-17,0.366,1,0.366,,23.1541706875071,8.468
,,0-18,F0-18,4.540,1,4.540,,23.0282895482708,104.551
,,0-19,F0-19,0.439,1,0.439,,23.4754140059756,10.306
,,0-20,F0-20,0.679,1,0.679,,22.8169023296214,15.502
,,0-21,F0-21,0.340,1,0.340,,22.6737146024735,7.698
,,0-22,F0-22,0.249,1,0.249,,23.4685930185652,5.854
,,0-23,F0-23,1.124,1,1.124,,22.7369703395642,25.554
,,0-24,F0-24,1.005,1,1.005,,23.755250249243,23.880
,,0-25,F0-25,0.381,1,0.381,,21.0663177448677,8.029
,,0-26,F0-26,0.812,1,0.812,,26.9488538073518,21.894
,,0-27,F0-27,0.418,1,0.418,,20.7682457931312,8.675
,,0-28,F0-28,1.298,1,1.298,,23.6241130129991,30.664
,,0-29,F0-29,0.983,1,0.983,,23.7635040689816,23.359
,,0-30,F0-30,0.563,1,0.563,,21.9491413529349,12.366
,,0-31,F0-31,0.390,1,0.390,,24.8568531528895,9.683
,,0-32,F0-32,2.852,1,2.852,,23.5203445705099,67.081
,,0-33,F0-33,0.298,1,0.298,,21.7398310099093,6.477
,,0-34,F0-34,0.390,1,0.390,,24.9091997738168,9.702
,,0-35,F0-35,0.275,1,0.275,,22.1726821620455,6.108
,,0-36,F0-36,0.445,1,0.445,,23.5153292162937,10.473
,,0-37,F0-37,0.625,1,0.625,,22.0061876464278,13.750
,,0-38,F0-38,0.735,1,0.735,,26.2856154010695,19.323
,,0-39,F0-39,0.846,1,0.846,,20.0087478780842,16.934
,,0-40,F0-40,0.372,1,0.372,,24.7260604771809,9.192
,,0-41,F0-41,0.411,1,0.411,,22.7218557822222,9.331
,,0-42,F0-42,0.529,1,0.529,,23.598828752623,12.492
,,0-43,F0-43,0.656,1,0.656,,23.0251683429476,15.099
,,0-44,F0-44,0.746,1,0.746,,22.7762108010278,16.981
,,0-45,F0-45,0.448,1,0.448,,22.8383549899351,10.229
,,2-1,F2-1,10.431,1,10.431,,25.3660434819389,264.596
,,2-2,F2-2,10.733,1,10.733,,25.3660434819389,272.249
,,2-3,F2-3,13.268,1,13.268,,25.3660434819389,336.555
,,2-4,F2-4,0.233,2,0.465,,25.3660434819389,11.797
,,2-5,F2-5,0.583,1,0.583,,25.3660434819389,14.792
,,2-6,F2-6,0.268,1,0.268,,25.3660434819389,6.791
,,2-7,F2-7,0.812,1,0.812,,25.3660434819389,20.586
,,2-8,F2-8,0.713,1,0.713,,25.3660434819389,18.098
,,2-9,F2-9,0.855,1,0.855,,25.3660434819389,21.682
,,2-10,F2-10,3.201,1,3.201,,25.3660434819389,81.192
,,2-11,F2-11,2.184,1,2.184,,25.3660434819389,55.390
,,2-12,F2-12,3.451,1,3.451,,25.3660434819389,87.539
,,2-13,F2-13,0.641,1,0.641,,25.3660434819389,16.250
,,2-14,F2-14,0.442,1,0.442,,25.3660434819389,11.203
,,2-15,F2-15,0.451,1,0.451,,25.3660434819389,11.439
,,2-16,F2-16,1.835,1,1.835,,25.3660434819389,46.550
,,2-17,F2-17,0.300,1,0.300,,25.3660434819389,7.621
,,2-18,F2-18,0.481,1,0.481,,25.3660434819389,12.209
,,2-19,F2-19,0.420,100,41.992,,25.3660434819389,1065.172
,,2-20,F2-20,0.453,100,45.266,,25.3660434819389,1148.213
,,2-21,F2-21,0.341,100,34.075,,25.3660434819389,864.350
,,2-22,F2-22,0.332,1,0.332,,25.3660434819389,8.432
,,2-23,F2-23,0.556,1,0.556,,25.3660434819389,14.101
,,2-24,F2-24,0.290,1,0.290,,25.3660434819389,7.345
,,2-25,F2-25,0.250,1,0.250,,25.3660434819389,6.342
,,2-26,F2-26,0.168,1,0.168,,25.3660434819389,4.253
,,2-27,F2-27,0.340,1,0.340,,25.3660434819389,8.622
,,2-28,F2-28,2.542,1,2.542,,25.3660434819389,64.485
,,2-29,F2-29,2.437,1,2.437,,25.3660434819389,61.806
,,2-30,F2-30,2.165,1,2.165,,25.3660434819389,54.911
,,2-31,F2-31,0.510,1,0.510,,25.3660434819389,12.937
,,2-32,F2-32,0.664,1,0.664,,25.3660434819389,16.849
,,2-33,F2-33,0.482,1,0.482,,25.3660434819389,12.229
,,2-34,F2-34,0.542,1,0.542,,25.3660434819389,13.757
,,2-35,F2-35,0.536,1,0.536,,25.3660434819389,13.591
,,2-36,F2-36,0.439,1,0.439,,25.3660434819389,11.135
,,2-37,F2-37,27.826,1,27.826,,25.3660434819389,705.834
,,2-38,F2-38,25.529,1,25.529,,25.3660434819389,647.570
,,2-39,F2-39,27.279,1,27.279,,25.3660434819389,691.972
,,2-40,F2-40,0.151,1,0.151,,25.3660434819389,3.843
,,2-41,F2-41,0.366,1,0.366,,25.3660434819389,9.282
,,2-42,F2-42,0.286,1,0.286,,25.3660434819389,7.255
,,2-43,F2-43,0.528,1,0.528,,25.3660434819389,13.391
,,2-44,F2-44,0.357,1,0.357,,25.3660434819389,9.044
,,2-45,F2-45,0.502,1,0.502,,25.3660434819389,12.739
,,4-1,F4-1,25.094,1,25.094,,25.3660434819389,636.546
,,4-2,F4-2,13.830,1,13.830,,25.3660434819389,350.815
,,4-3,F4-3,22.900,1,22.900,,25.3660434819389,580.874
,,4-4,F4-4,0.361,1,0.361,,25.3660434819389,9.169
,,4-5,F4-5,0.478,1,0.478,,25.3660434819389,12.128
,,4-6,F4-6,0.679,1,0.679,,25.3660434819389,17.220
,,4-7,F4-7,0.872,1,0.872,,25.3660434819389,22.122
,,4-8,F4-8,0.653,1,0.653,,25.3660434819389,16.570
,,4-9,F4-9,12.319,1,12.319,,25.3660434819389,312.481
,,4-10,F4-10,2.978,2,5.956,,25.3660434819389,151.093
,,4-11,F4-11,6.589,1,6.589,,25.3660434819389,167.139
