,Sample,Sample abbrev.,Sample Id (orig),"Zn 66/66
Oxygen DRC
(ug/L)",Dilution,,Zn calculated,,Original dilution,Zn calculated (final)
,,H1-1,0-1,1.344,10,,13.435,,1,13.435
,,H1-2,0-2,1.535,10,,15.353,,1,15.353
,,H1-3,0-3,1.138,10,,11.376,,1,11.376
,,H2-1,0-4,0.870,10,,8.699,,1,8.699
,,H2-2,0-5,1.988,100,,198.850,,1,198.850
,,H2-3,0-6,0.377,10,,3.768,,1,3.768
,,H3-1,0-7,0.633,10,,6.328,,1,6.328
,,H3-2,0-8,1.137,10,,11.370,,1,11.370
,,H3-3,0-9,1.069,100,,106.876,,1,106.876
,,FT1-1,0-10,23.430,100,,2343.027,,1,2343.027
,,FT1-2,0-11,2.346,100,,234.562,,1,234.562
,,FT1-3,0-12,12.201,100,,1220.110,,1,1220.110
,,FT2-1,0-13,-0.057,100,,-5.727,,1,-5.727
,,FT2-2,0-14,0.451,10,,4.509,,1,4.509
,,FT2-3,0-15,2.040,1000,,2039.664,,1,2039.664
,,FT3-1,0-16,0.427,1000,,427.261,,1,427.261
,,FT3-2,0-17,38.647,10,,386.474,,1,386.474
,,FT3-3,0-18,-0.142,100,,-14.220,,1,-14.220
,,UVFT1-1,0-19,0.108,100,,10.821,,1,10.821
,,UVFT1-2,0-20,0.249,100,,24.897,,1,24.897
,,UVFT1-3,0-21,2.034,100,,203.420,,1,203.420
,,UVFT2-1,0-22,0.913,100,,91.289,,1,91.289
,,UVFT2-2,0-23,-0.136,100,,-13.569,,1,-13.569
,,UVFT2-3,0-24,0.613,10,,6.131,,1,6.131
,,UVFT3-1,0-25,7.871,1,,7.871,,1,7.871
,,UVFT3-2,0-26,0.581,10,,5.806,,1,5.806
,,UVFT3-3,0-27,0.365,10,,3.654,,1,3.654
,,C1-1,0-28,3.050,10,,30.502,,1,30.502
,,C1-2,0-29,2.678,10,,26.783,,1,26.783
,,C1-3,0-30,3.547,10,,35.469,,1,35.469
,,C2-1,0-31,0.654,10,,6.536,,1,6.536
,,C2-2,0-32,0.563,10,,5.627,,1,5.627
,,C2-3,0-33,0.359,10,,3.589,,1,3.589
,,C3-1,0-34,4.030,10,,40.301,,1,40.301
,,C3-2,0-35,0.464,10,,4.640,,1,4.640
,,C3-3,0-36,0.229,10,,2.289,,1,2.289
,,UV1-1,0-37,0.260,100,,26.010,,1,26.010
,,UV1-2,0-38,0.164,100,,16.390,,1,16.390
,,UV1-3,0-39,0.166,100,,16.608,,1,16.608
,,UV2-1,0-40,0.351,10,,3.512,,1,3.512
,,UV2-2,0-41,0.638,10,,6.375,,1,6.375
,,UV2-3,0-42,5.187,1,.,5.187,,1,5.187
,,UV3-1,0-43,5.202,1,.,5.202,,1,5.202
,,UV3-2,0-44,5.617,1,.,5.617,,1,5.617
,,UV3-3,0-45,6.478,1,.,6.478,,1,6.478
,,H1-1,2-1,5.967,100,,596.704,,10.0731956655081,6010.719
,,H1-2,2-2,7.864,100,,786.436,,9.65486898709425,7592.935
,,H1-3,2-3,8.328,100,,832.785,,9.63785365853658,8026.261
,,H2-1,2-4,0.189,10,,1.886,,9.70965853658537,18.315
,,H2-2,2-5,0.843,10,,8.426,,9.6773119122257,81.539
,,H2-3,2-6,0.038,10,,0.379,,4.84571708272149,1.834
,,H3-1,2-7,0.028,10,,0.283,,4.90291453328082,1.387
,,H3-2,2-8,0.782,10,,7.824,,1,7.824
,,H3-3,2-9,0.956,9.87808301584118,.,9.440,,2,18.880
,,FT1-1,2-10,10.313,10,,103.131,,9.6388187293569,994.061
,,FT1-2,2-11,16.711,10,,167.109,,9.73296681720008,1626.465
,,FT1-3,2-12,12.347,10,,123.471,,9.70836621941596,1198.706
,,FT2-1,2-13,2.753,4.92419708757231,.,13.556,,2,27.112
,,FT2-2,2-14,6.377,4.87838899803536,.,31.107,,2,62.214
,,FT2-3,2-15,1.930,4.90532311923001,.,9.466,,2,18.931
,,FT3-1,2-16,0.189,10,,1.889,,4.89694881889764,9.249
,,FT3-2,2-17,0.592,10,,5.916,,1,5.916
,,FT3-3,2-18,11.027,1,.,11.027,,1,11.027
,,UVFT1-1,2-19,12.767,100,,1276.686,,15.2314116928091,19445.724
,,UVFT1-2,2-20,15.758,100,,1575.768,,14.6998630405009,23163.580
,,UVFT1-3,2-21,14.997,100,,1499.674,,15.0204901566894,22525.846
,,UVFT2-1,2-22,0.841,10,,8.407,,1,8.407
,,UVFT2-2,2-23,1.407,10,,14.075,,1,14.075
,,UVFT2-3,2-24,0.739,10,,7.389,,1,7.389
,,UVFT3-1,2-25,4.360,1,,4.360,,1,4.360
,,UVFT3-2,2-26,6.047,1,,6.047,,1,6.047
,,UVFT3-3,2-27,5.650,1,,5.650,,1,5.650
,,C1-1,2-28,1.440,100,,143.957,,4.84716629014832,697.782
,,C1-2,2-29,2.186,100,,218.552,,4.90401499457433,1071.784
,,C1-3,2-30,2.358,100,,235.797,,4.86248028391167,1146.557
,,C2-1,2-31,0.758,10,,7.577,,1,7.577
,,C2-2,2-32,0.852,10,,8.523,,1,8.523
,,C2-3,2-33,0.924,10,,9.244,,1,9.244
,,C3-1,2-34,6.763,1,,6.763,,1,6.763
,,C3-2,2-35,7.973,1,,7.973,,1,7.973
,,C3-3,2-36,8.925,1,,8.925,,1,8.925
,,UV1-1,2-37,0.381,1000,,380.627,,48.2225519287835,18354.817
,,UV1-2,2-38,0.438,1000,,438.020,,49.1181727904668,21514.759
,,UV1-3,2-39,0.363,1000,,362.759,,49.1530815109344,17830.738
,,UV2-1,2-40,0.516,10,,5.159,,1,5.159
,,UV2-2,2-41,0.376,10,,3.763,,1,3.763
,,UV2-3,2-42,0.692,10,,6.923,,1,6.923
,,UV3-1,2-43,9.360,1,.,9.360,,1,9.360
,,UV3-2,2-44,8.025,1,.,8.025,,1,8.025
,,UV3-3,2-45,5.555,1,.,5.555,,1,5.555
,,H1-1,4-1,21.063,100,,2106.311,,7.84729743034361,16528.851
,,H1-2,4-2,20.688,100,,2068.779,,7.94175627240144,16429.742
,,H1-3,4-3,22.407,100,,2240.693,,7.9300754866905,17768.864
,,H2-1,4-4,1.819,10,,18.195,,1,18.195
,,H2-2,4-5,0.165,100,,16.518,,1,16.518
,,H2-3,4-6,0.152,100,,15.246,,1,15.246
,,H3-1,4-7,0.327,10,,3.266,,4.94361426579,16.146
,,H3-2,4-8,0.629,10,,6.288,,4.97533834586466,31.286
,,H3-3,4-9,0.270,10,,2.702,,4.92992744260014,13.323
,,FT1-1,4-10,13.330,10,,133.297,,14.9966067864271,1999.010
,,FT1-2,4-11,14.146,10,,141.456,,14.9134672767058,2109.603
,,FT1-3,4-12,15.883,10,,158.832,,14.9103309929789,2368.239
,,FT2-1,4-13,0.273,10,,2.728,,4.89016264942191,13.339
,,FT2-2,4-14,24.134,10,,241.338,,4.95924075924076,1196.855
,,FT2-3,4-15,0.251,10,,2.507,,4.90652833512773,12.303
,,FT3-1,4-16,9.189,1,.,9.189,,1,9.189
,,FT3-2,4-17,7.820,1,.,7.820,,1,7.820
,,FT3-3,4-18,10.258,1,.,10.258,,1,10.258
,,UVFT1-1,4-19,24.336,100,,2433.580,,14.618036618621,35574.168
,,UVFT1-2,4-20,23.401,100,,2340.149,,15.2171079429735,35610.307
