,2.10,2.11,2.12
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,1,0
18,0,0,0
19,0,0,2
20,0,2,0
21,0,2,2
22,9,14,3
23,37,41,10
24,67,63,30
25,197,79,69
26,260,98,97
27,387,139,151
28,427,124,175
29,439,89,170
30,425,97,180
31,384,67,142
32,340,68,133
33,280,36,110
34,185,36,106
35,139,17,74
36,133,22,66
37,92,11,58
38,47,12,45
39,52,8,41
40,31,6,32
41,16,5,20
42,16,5,14
43,13,1,14
44,8,3,7
45,3,3,18
46,8,0,8
47,3,3,10
48,1,1,8
49,0,0,2
50,5,0,5
51,1,0,1
52,1,0,2
53,0,0,1
54,1,0,0
55,1,0,1
56,0,0,1
57,1,1,0
58,0,0,2
59,0,1,1
60,0,1,2
61,0,0,0
62,0,0,0
63,0,0,2
64,0,0,1
65,0,0,0
66,0,0,0
67,0,0,1
68,0,0,0
69,0,1,1
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,1,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,0,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,1
144,0,0,0
145,0,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,0,0,0
