# SPCal Export 1.2.7
# Date,Mon Jul 15 18:28:00 2024
# File,C:\Users\p1196157\Documents\Guadalupe\SP-ICP-MS\Raw data\2024-05-28_Cu_AF_paint\2-12_1.csv
# Acquisition events,499999
#
# Options and inputs,Cu,
# Density,6,g/cm3
# Dwelltime,0.1,ms
# Efficiency,0.0041521992,
# Mass fraction,0.8881,
# Molar mass,143.09,g/mol
# Response,2.412,counts/(μg/L)
# Time,49.9999,s
# Uptake,0.212,ml/min
#
# Limit method,Poisson (alpha=0.001)
#
# Detection results,Cu,
# Particle number,1697
# Number error,41.19466
# Number concentration,2.3133956e+09,#/L
# Mass concentration,0.28826473,μg/L
#
# Background,6.4109187,counts
#,11.180589,nm
# Background error,3.0917087,counts
# Ionic background,2.6579265,μg/L
#
# Mean,Cu,
#,181.93572,counts
#,1.2460676e-10,μg
#,31.183808,nm
#,7.4764054e-16,m³
# Median,Cu,
#,111.28532,counts
#,7.6218691e-11,μg
#,28.949242,nm
#,4.5731214e-16,m³
# Limits of detection,Cu,
#,17.952347,counts
#,1.2295462e-11,μg
#,15.759109,nm
#,7.3772771e-17,m³
#
# Raw detection data
Time,Cu,,Cu,,Cu,,Cu,
s,counts,μg,nm,m³
0.02565,276.28583,1.8922662e-10,39.199222,1.1353597e-15
0.04425,72.571213,4.9703618e-11,25.10418,2.9822171e-16
0.068,142.52365,9.7613651e-11,31.437902,5.8568191e-16
0.08135,211.57146,1.4490411e-10,35.862752,8.6942464e-16
0.12475,95.66655,6.5521485e-11,27.526096,3.9312891e-16
0.133,70.618851,4.8366456e-11,24.877007,2.9019874e-16
0.2114,93.714211,6.4184339e-11,27.337559,3.8510603e-16
0.2363,85.618889,5.8639898e-11,26.526571,3.5183939e-16
0.24,152.33302,1.0433204e-10,32.143212,6.2599221e-16
0.2437,111.42828,7.6316608e-11,28.961634,4.5789965e-16
0.29025,618.28723,4.2346147e-10,51.272915,2.5407688e-15
0.35,146.71431,1.0048381e-10,31.743056,6.0290286e-16
0.35165,67.571198,4.6279135e-11,24.513865,2.7767481e-16
0.3528,90.618889,6.206437e-11,27.033202,3.7238622e-16
0.4152,106.61891,7.3022696e-11,28.538819,4.3813618e-16
0.44015,127.57129,8.7372862e-11,30.297647,5.2423717e-16
0.45435,103.28532,7.0739541e-11,28.238229,4.2443724e-16
0.45805,146.66666,1.0045117e-10,31.739619,6.0270704e-16
0.5138,95.618896,6.5488847e-11,27.521525,3.9293308e-16
0.53125,6034.0283,4.1326722e-09,109.57051,2.4796033e-14
0.5338,147.42838,1.0097287e-10,31.794471,6.0583722e-16
0.55315,138.28537,9.4710876e-11,31.123134,5.6826526e-16
0.5738,125.4283,8.590514e-11,30.127037,5.1543084e-16
0.59435,110.66658,7.5794922e-11,28.895491,4.5476953e-16
0.6422,475.52521,3.2568455e-10,46.976692,1.9541073e-15
0.65095,79.666527,5.4563159e-11,25.897025,3.2737895e-16
0.6918,44.809441,3.0689735e-11,21.377049,1.8413841e-16
0.7395,116.52361,7.9806366e-11,29.396518,4.7883819e-16
0.7935,82.523575,5.6519935e-11,26.202974,3.3911961e-16
0.81225,108.57127,7.4359853e-11,28.711963,4.4615912e-16
0.83065,43.761787,2.9972203e-11,21.209134,1.7983322e-16
0.83395,60.666496,4.1550144e-11,23.648715,2.4930086e-16
0.8519,73.618866,5.042115e-11,25.224407,3.025269e-16
0.85495,315.47647,2.1606807e-10,40.971347,1.2964084e-15
0.85735,244.09491,1.6717924e-10,37.613535,1.0030754e-15
0.9821,279.61948,1.9150982e-10,39.356251,1.1490589e-15
0.98495,65.666504,4.4974621e-11,24.281334,2.6984773e-16
0.9864,372.52457,2.5513999e-10,43.305483,1.53084e-15
0.996,81.618881,5.5900315e-11,26.106869,3.3540189e-16
1.04375,346.09518,2.3703866e-10,42.256135,1.4222319e-15
1.0596,37.809433,2.5895469e-11,20.200307,1.5537281e-16
1.0891,115.52361,7.9121471e-11,29.312183,4.7472883e-16
1.0936,120.23768,8.2350113e-11,29.705585,4.9410068e-16
1.10345,95.666557,6.552149e-11,27.526097,3.9312894e-16
1.14765,67.666504,4.634441e-11,24.525385,2.7806646e-16
1.15195,101.66656,6.9630856e-11,28.089928,4.1778514e-16
1.173,135.52367,9.2819401e-11,30.914552,5.5691641e-16
1.17675,69.761826,4.7779484e-11,24.775962,2.866769e-16
1.1877,85.52356,5.8574608e-11,26.516722,3.5144765e-16
1.21755,134.38069,9.2036584e-11,30.827398,5.522195e-16
1.2197,118.71426,8.130673e-11,29.579594,4.8784038e-16
1.2291,111.61893,7.6447179e-11,28.978142,4.5868307e-16
1.24395,116.66661,7.9904309e-11,29.408539,4.7942585e-16
1.2928,64.618851,4.4257089e-11,24.151512,2.6554254e-16
1.30275,112.57126,7.7099425e-11,29.060322,4.6259655e-16
1.32605,85.666534,5.867253e-11,26.53149,3.5203518e-16
1.3424,44.809444,3.0689738e-11,21.37705,1.8413843e-16
1.3509,160.61906,1.100071e-10,32.715755,6.6004259e-16
1.3599,62.714146,4.2952568e-11,23.911845,2.5771541e-16
1.36115,96.666557,6.6206384e-11,27.621674,3.9723831e-16
1.4212,67.618858,4.6311778e-11,24.519627,2.7787067e-16
1.4241,44.809441,3.0689735e-11,21.377049,1.8413841e-16
1.4382,87.714188,6.0074956e-11,26.741219,3.6044974e-16
1.45015,71.571198,4.9018713e-11,24.988336,2.9411228e-16
1.4968,126.61896,8.6720616e-11,30.222067,5.2032369e-16
1.5043,273.4288,1.8726986e-10,39.063636,1.1236191e-15
1.5127,525.52551,3.5992948e-10,48.56863,2.1595769e-15
1.5148,2989.2341,2.0473097e-09,86.698429,1.2283858e-14
1.5204,129.61894,8.8775289e-11,30.45889,5.3265173e-16
