# SPCal Export 1.2.7
# Date,Mon Jul 15 18:28:00 2024
# File,C:\Users\p1196157\Documents\Guadalupe\SP-ICP-MS\Raw data\2024-05-28_Cu_AF_paint\2-12.csv
# Acquisition events,499999
#
# Options and inputs,Cu,
# Density,6,g/cm3
# Dwelltime,0.1,ms
# Efficiency,0.0041521992,
# Mass fraction,0.8881,
# Molar mass,143.09,g/mol
# Response,2.412,counts/(μg/L)
# Time,49.9999,s
# Uptake,0.212,ml/min
#
# Limit method,Poisson (alpha=0.001)
#
# Detection results,Cu,
# Particle number,1819
# Number error,42.649736
# Number concentration,2.4797093e+09,#/L
# Mass concentration,0.38642103,μg/L
#
# Background,9.6790562,counts
#,12.826325,nm
# Background error,4.0808239,counts
# Ionic background,4.0128757,μg/L
#
# Mean,Cu,
#,227.52879,counts
#,1.558332e-10,μg
#,33.042385,nm
#,9.3499919e-16,m³
# Median,Cu,
#,133.00493,counts
#,9.1094332e-11,μg
#,30.721836,nm
#,5.4656599e-16,m³
# Limits of detection,Cu,
#,20.461901,counts
#,1.4014241e-11,μg
#,16.461645,nm
#,8.4085448e-17,m³
#
# Raw detection data
Time,Cu,,Cu,,Cu,,Cu,
s,counts,μg,nm,m³
0.01225,248.77658,1.7038569e-10,37.852487,1.0223141e-15
0.0135,37.847664,2.5921653e-11,20.207113,1.5552992e-16
0.047,660.0874,4.5209017e-10,52.403271,2.712541e-15
0.09395,149.08116,1.0210485e-10,31.912844,6.1262912e-16
0.139,27.847654,1.9072703e-11,18.24263,1.1443622e-16
0.1415,873.86005,5.9850186e-10,57.540268,3.5910111e-15
0.1896,133.46683,9.1410684e-11,30.757358,5.484641e-16
0.21415,113.15731,7.7500809e-11,29.110665,4.6500485e-16
0.22675,76.233437,5.2211854e-11,25.519554,3.1327113e-16
0.2313,130.61925,8.9460392e-11,30.537043,5.3676235e-16
0.23355,68.157234,4.6680508e-11,24.58453,2.8008305e-16
0.23615,201.2338,1.378239e-10,35.268871,8.269434e-16
0.2875,411.69653,2.8196865e-10,44.773081,1.6918119e-15
0.3284,131.61923,9.0145276e-11,30.614772,5.4087166e-16
0.337,132.54301,9.0777969e-11,30.68623,5.4466782e-16
0.36785,133.00493,9.1094332e-11,30.721836,5.4656599e-16
0.3858,84.771545,5.8059557e-11,26.438772,3.4835734e-16
0.4195,90.466766,6.1960182e-11,27.018067,3.7176109e-16
0.4254,735.35522,5.0364068e-10,54.323821,3.0218441e-15
0.4754,99.619171,6.8228613e-11,27.900087,4.0937168e-16
0.4947,161.61934,1.1069218e-10,32.783528,6.6415309e-16
0.4963,135.54306,9.2832684e-11,30.916027,5.569961e-16
0.5208,85.771545,5.8744452e-11,26.542327,3.5246671e-16
0.55855,77.233429,5.2896743e-11,25.630654,3.1738046e-16
0.6034,339.31488,2.3239486e-10,41.978368,1.3943692e-15
0.6128,57.771503,3.956738e-11,23.266397,2.3740428e-16
0.6424,318.46753,2.1811663e-10,41.100424,1.3086998e-15
0.64515,197.15753,1.3503209e-10,35.029105,8.1019254e-16
0.6597,196.23837,1.3440256e-10,34.974584,8.0641538e-16
0.67065,55.309586,3.7881226e-11,22.931091,2.2728735e-16
0.67855,133.00494,9.1094342e-11,30.721837,5.4656605e-16
0.6826,980.54578,6.7157032e-10,59.792568,4.0294219e-15
0.6894,110.54301,7.5710292e-11,28.884733,4.5426175e-16
0.71915,103.08108,7.0599653e-11,28.219603,4.2359792e-16
0.8035,533.70624,3.6553242e-10,48.819352,2.1931945e-15
0.8327,381.54401,2.6131736e-10,43.652199,1.5679041e-15
0.85285,117.00491,8.0136011e-11,29.436937,4.8081606e-16
0.85595,78.157242,5.3529458e-11,25.732441,3.2117675e-16
0.85725,202.92889,1.3898486e-10,35.367623,8.3390919e-16
0.8588,607.69843,4.1620925e-10,50.978527,2.4972555e-15
0.8647,327.54376,2.2433289e-10,41.487222,1.3459973e-15
0.8675,206.23842,1.4125154e-10,35.558855,8.4750924e-16
0.8716,164.31447,1.1253806e-10,32.964755,6.7522836e-16
0.8881,363.39133,2.4888469e-10,42.948642,1.4933081e-15
0.93025,1228.9607,8.417083e-10,64.466968,5.0502498e-15
0.93735,253.70035,1.7375795e-10,38.100581,1.0425477e-15
0.95095,70.233421,4.8102477e-11,24.831666,2.8861486e-16
0.9939,118.69543,8.1293834e-11,29.57803,4.87763e-16
1.0092,78.695343,5.3898e-11,25.791361,3.23388e-16
1.01335,514.8537,3.5262042e-10,48.237619,2.1157225e-15
1.0282,60.7715,4.162206e-11,23.662351,2.4973236e-16
1.03975,87.157257,5.9693518e-11,26.684502,3.5816111e-16
1.0665,114.54298,7.8449849e-11,29.229008,4.7069909e-16
1.07395,77.157234,5.2844558e-11,25.622223,3.1706735e-16
1.0787,100.69536,6.8965688e-11,28.000196,4.1379413e-16
1.10585,131.23358,8.9881146e-11,30.584842,5.3928688e-16
1.1153,184.69563,1.2649701e-10,34.274947,7.5898204e-16
1.13135,246.00534,1.6848768e-10,37.711409,1.0109261e-15
1.1407,77.695351,5.3213111e-11,25.68165,3.1927867e-16
1.15225,86.92868,5.9536967e-11,26.661154,3.572218e-16
1.16,192.54317,1.3187174e-10,34.753666,7.9123043e-16
1.1961,198.69566,1.3608555e-10,35.119963,8.1651329e-16
1.20685,121.1573,8.2979959e-11,29.781126,4.9787975e-16
1.21505,80.309631,5.5003617e-11,25.966523,3.300217e-16
1.2226,89.619156,6.1379659e-11,26.933422,3.6827795e-16
1.2389,71.771515,4.9155909e-11,25.011628,2.9493545e-16
1.2862,96.771561,6.6278301e-11,27.631672,3.976698e-16
1.3295,72.69532,4.9788618e-11,25.118483,2.9873171e-16
1.33945,273.7005,1.8745594e-10,39.076571,1.1247357e-15
1.34415,161.08119,1.1032361e-10,32.747101,6.6194164e-16
1.35415,116.92871,8.008382e-11,29.430545,4.8050292e-16
1.35955,71.309616,4.8839557e-11,24.957856,2.9303734e-16
1.38055,76.309624,5.2264034e-11,25.528053,3.1358421e-16
1.38635,259.47174,1.7771074e-10,38.387333,1.0662645e-15
1.39055,20.461935,1.4014265e-11,16.461655,8.4085589e-17
1.39985,58.309593,3.9935914e-11,23.338409,2.3961549e-16
1.42555,193.92891,1.3282083e-10,34.836841,7.9692495e-16
1.46735,158.08118,1.0826891e-10,32.542529,6.4961348e-16
1.4859,216.54329,1.4830929e-10,36.141499,8.8985573e-16
1.48805,124.0049,8.4930261e-11,30.01264,5.0958157e-16
1.5034,105.54299,7.2285805e-11,28.442497,4.3371483e-16
1.506,91.542953,6.2697257e-11,27.12478,3.7618354e-16
1.51525,77.157234,5.2844558e-11,25.622223,3.1706735e-16
1.5307,73.695328,5.0473518e-11,25.233136,3.0284111e-16
1.5764,191.23834,1.3097807e-10,34.674982,7.8586843e-16
1.5796,119.61923,8.1926543e-11,29.654567,4.9155926e-16
1.5897,227.54327,1.5584312e-10,36.743392,9.3505869e-16
1.62965,106.23348,7.2758718e-11,28.504388,4.3655231e-16
1.6417,149.31445,1.0226463e-10,31.929481,6.135878e-16
1.6438,231.69582,1.5868717e-10,36.965562,9.5212301e-16
1.6513,811.42242,5.5573868e-10,56.135843,3.3344321e-15
1.6883,77.695328,5.3213095e-11,25.681648,3.1927857e-16
1.7262,127.61923,8.7405698e-11,30.301442,5.2443419e-16
1.73855,121.08113,8.2927789e-11,29.774884,4.9756674e-16
1.74175,135.92873,9.3096824e-11,30.945321,5.5858095e-16
1.75505,157.92877,1.0816453e-10,32.532068,6.489872e-16
1.7866,77.695343,5.3213106e-11,25.681649,3.1927864e-16
1.8058,86.695358,5.9377166e-11,26.637279,3.56263e-16
1.8741,564.46906,3.866017e-10,49.739868,2.3196102e-15
1.92205,96.233467,6.5909763e-11,27.580362,3.9545858e-16
1.92345,217.08131,1.4867778e-10,36.171406,8.9206667e-16
1.94,412.62039,2.826014e-10,44.806547,1.6956084e-15
1.9507,127.61922,8.7405688e-11,30.30144,5.2443413e-16
1.96325,83.233437,5.7006115e-11,26.277892,3.4203669e-16
2.00235,250.54793,1.7159887e-10,37.942114,1.0295932e-15
2.05495,139.92877,9.5836433e-11,31.24594,5.750186e-16
2.0569,134.39064,9.2043398e-11,30.828159,5.5226039e-16
2.0877,523.46844,3.5852061e-10,48.505176,2.1511237e-15
2.097,210.08601,1.4388674e-10,35.778624,8.6332041e-16
2.11095,142.15739,9.7362804e-11,31.41095,5.8417683e-16
2.21375,401.08231,2.7469903e-10,44.384952,1.6481942e-15
2.2279,53.619102,3.6723423e-11,22.695047,2.2034054e-16
2.23135,250.08139,1.7127935e-10,37.918549,1.0276761e-15
2.2614,110.6954,7.5814663e-11,28.897999,4.5488798e-16
2.3254,98.542984,6.7491539e-11,27.799255,4.0494923e-16
2.32975,177.08122,1.2128194e-10,33.797306,7.2769163e-16
2.3442,84.771545,5.8059557e-11,26.438772,3.4835734e-16
2.3525,59.7715,4.0937166e-11,23.531844,2.4562299e-16
2.3632,140.39066,9.6152775e-11,31.280281,5.7691665e-16
2.3846,92.771561,6.3538723e-11,27.245589,3.8123234e-16
2.3926,111.61921,7.6447372e-11,28.978166,4.5868423e-16
2.40205,168.15749,1.1517012e-10,33.219772,6.9102073e-16
2.4345,142.54305,9.7626934e-11,31.439328,5.8576161e-16
2.4502,129.69545,8.8827688e-11,30.464882,5.3296613e-16
2.4655,392.62033,2.6890347e-10,44.070588,1.6134208e-15
2.468,78.695343,5.3898e-11,25.791361,3.23388e-16
2.51205,82.157234,5.626903e-11,26.164143,3.3761418e-16
2.53155,92.157265,6.3117995e-11,27.185319,3.7870797e-16
2.5357,254.08617,1.7402219e-10,38.119886,1.0441332e-15
2.54275,133.30977,9.1303115e-11,30.745289,5.4781869e-16
2.55905,111.1573,7.613101e-11,28.938137,4.5678606e-16
2.5664,156.54312,1.0721551e-10,32.436644,6.4329305e-16
2.5677,43.771477,2.997884e-11,21.210699,1.7987304e-16
2.5806,89.619171,6.1379669e-11,26.933423,3.6827801e-16
2.59665,1311.3215,8.9811678e-10,65.876065,5.3887007e-15
2.60195,45.309578,3.1032276e-11,21.456288,1.8619366e-16
2.61975,204.00516,1.3972199e-10,35.430039,8.3833195e-16
2.6248,98.619179,6.7543724e-11,27.806418,4.0526234e-16
2.63715,116.1573,7.9555482e-11,29.365681,4.7733289e-16
2.6382,149.61926,1.024734e-10,31.951194,6.1484038e-16
2.6698,104.77158,7.1757472e-11,28.373032,4.3054483e-16
2.68015,133.08115,9.1146533e-11,30.727703,5.468792e-16
2.70065,175.92886,1.2049269e-10,33.723834,7.2295617e-16
2.709,215.31462,1.4746778e-10,36.073013,8.8480668e-16
2.7137,141.31445,9.6785478e-11,31.348741,5.8071287e-16
2.7256,50.771492,3.4773111e-11,22.285954,2.0863867e-16
2.7315,169.69559,1.1622356e-10,33.32075,6.9734135e-16
2.7393,194.39078,1.3313716e-10,34.864475,7.9882294e-16
2.74805,112.0811,7.6763719e-11,29.018082,4.6058231e-16
2.76805,71.157242,4.8735197e-11,24.940067,2.9241118e-16
2.78115,143.92876,9.8576e-11,31.540878,5.91456e-16
2.83155,170.92879,1.1706817e-10,33.40127,7.0240902e-16
2.8957,176.6194,1.2096564e-10,33.7679,7.2579383e-16
2.90055,543.00714,3.7190255e-10,49.101312,2.2314153e-15
2.93315,145.00494,9.9313075e-11,31.619295,5.9587845e-16
2.9358,189.54312,1.2981702e-10,34.572219,7.7890214e-16
2.9726,157.54308,1.0790037e-10,32.505563,6.4740223e-16
2.9777,260.23849,1.7823589e-10,38.425108,1.0694153e-15
2.98075,150.23357,1.0289413e-10,31.994862,6.1736478e-16
2.9925,158.4669,1.085331e-10,32.568976,6.5119858e-16
3.01885,519.08301,3.5551705e-10,48.369343,2.1331023e-15
3.02605,439.85342,3.0125315e-10,45.77137,1.8075189e-15
3.07655,138.15736,9.4623206e-11,31.113528,5.6773923e-16
3.09365,436.47241,2.9893751e-10,45.653791,1.7936251e-15
3.1023,83.695343,5.7322472e-11,26.326412,3.4393483e-16
3.1162,167.4669,1.1469715e-10,33.174235,6.8818287e-16
3.13115,130.30975,8.9248421e-11,30.512905,5.3549053e-16
3.14375,115.1573,7.8870593e-11,29.281169,4.7322356e-16
3.16715,156.92882,1.0747967e-10,32.463261,6.4487802e-16
3.1799,115.54302,7.913477e-11,29.313825,4.7480862e-16
3.18235,94.081062,6.4435593e-11,27.373184,3.8661356e-16
3.21495,124.15734,8.5034668e-11,30.024933,5.1020801e-16
3.23255,148.08118,1.0141997e-10,31.84133,6.0851982e-16
3.2584,173.31447,1.1870211e-10,33.555949,7.1221266e-16
3.28925,92.157265,6.3117995e-11,27.185319,3.7870797e-16
3.30305,140.70013,9.6364735e-11,31.303249,5.7818841e-16
3.3247,211.61942,1.4493695e-10,35.865461,8.6962172e-16
3.36045,194.08131,1.3292521e-10,34.845965,7.9755124e-16
3.39375,79.233437,5.4266538e-11,25.850012,3.2559923e-16
3.4375,121.39062,8.3139755e-11,29.80023,4.9883853e-16
3.4542,92.619164,6.3434347e-11,27.230662,3.8060608e-16
3.46775,159.23364,1.0905823e-10,32.62142,6.5434939e-16
3.5164,413.62027,2.8328621e-10,44.84271,1.6997173e-15
3.53165,210.15761,1.4393577e-10,35.782687,8.6361462e-16
3.5616,196.46693,1.345591e-10,34.988157,8.0735463e-16
3.5674,155.31447,1.0637401e-10,32.351559,6.3824406e-16
3.5794,211.77191,1.450414e-10,35.874074,8.7024839e-16
3.58035,438.15875,3.0009248e-10,45.712511,1.8005549e-15
3.59235,140.15739,9.5993015e-11,31.262947,5.7595809e-16
3.60565,82.233444,5.6321226e-11,26.172231,3.3792736e-16
3.61985,1185.9509,8.1225116e-10,63.705973,4.8735069e-15
3.6426,89.619164,6.1379664e-11,26.933423,3.6827798e-16
3.654,86.771553,5.9429351e-11,26.645081,3.5657611e-16
3.6943,101.54298,6.9546217e-11,28.078542,4.172773e-16
3.71245,138.08116,9.4571015e-11,31.107807,5.6742609e-16
3.75945,58.309589,3.9935912e-11,23.338409,2.3961547e-16
3.77,67.771515,4.6416331e-11,24.538065,2.7849799e-16
3.78735,124.92875,8.5563001e-11,30.086988,5.1337801e-16
3.7894,224.39084,1.5368403e-10,36.572919,9.2210418e-16
3.79895,135.15736,9.2568523e-11,30.886675,5.5541114e-16
3.81095,904.7804,6.1967903e-10,58.211078,3.7180742e-15
3.83795,261.08154,1.7881329e-10,38.466556,1.0728797e-15
3.8431,214.16217,1.4667847e-10,36.008539,8.8007084e-16
3.8611,55.695301,3.81454e-11,22.984273,2.288724e-16
3.88205,101.15727,6.928205e-11,28.042945,4.156923e-16
3.90785,78.081039,5.3477267e-11,25.724076,3.208636e-16
3.919,735.31665,5.0361426e-10,54.322871,3.0216856e-15
3.9606,842.24121,5.7684629e-10,56.837733,3.4610778e-15
3.9996,125.77165,8.6140301e-11,30.154503,5.1684181e-16
4.03105,218.00516,1.4931051e-10,36.222646,8.9586308e-16
4.05415,131.00493,8.9724543e-11,30.567069,5.3834726e-16
4.0574,147.6955,1.0115582e-10,31.813662,6.0693491e-16
4.0609,73.77153,5.0525708e-11,25.24183,3.0315425e-16
4.1023,96.695358,6.622611e-11,27.624417,3.9735666e-16
4.1095,325.3912,2.2285862e-10,41.39614,1.3371517e-15
4.1216,150.39069,1.0300174e-10,32.006012,6.1801044e-16
4.1582,111.31441,7.6238615e-11,28.951765,4.5743169e-16
4.16415,92.233467,6.3170186e-11,27.19281,3.7902111e-16
4.16605,68.081032,4.6628318e-11,24.575364,2.7976991e-16
4.185,123.4668,8.4561724e-11,29.969166,5.0737034e-16
4.21935,76.233429,5.2211849e-11,25.519553,3.1327109e-16
4.2343,79.619148,5.4530709e-11,25.89189,3.2718426e-16
4.2796,90.695358,6.2116744e-11,27.040804,3.7270046e-16
4.3113,138.69545,9.4991738e-11,31.153869,5.6995043e-16
4.34005,114.08109,7.8133502e-11,29.189667,4.6880101e-16
4.34185,442.92978,3.0336013e-10,45.877831,1.8201608e-15
4.3477,315.39145,2.1600984e-10,40.967666,1.296059e-15
4.37535,93.233482,6.3855091e-11,27.290734,3.8313054e-16
4.38565,51.233398,3.5089468e-11,22.353334,2.1053681e-16
4.3922,143.39062,9.8207437e-11,31.501519,5.8924462e-16
4.3948,214.46701,1.4688726e-10,36.025616,8.8132354e-16
4.43395,106.15728,7.2706527e-11,28.497571,4.3623916e-16
4.4706,101.61919,6.9598412e-11,28.085564,4.1759047e-16
4.4722,213.61948,1.4630678e-10,35.978098,8.7784071e-16
4.50825,142.08115,9.7310582e-11,31.405333,5.8386349e-16
4.5251,142.61926,9.7679135e-11,31.444931,5.8607481e-16
4.5292,64.771507,4.4361643e-11,24.170516,2.6616986e-16
4.54785,126.15732,8.6404442e-11,30.185293,5.1842665e-16
4.615,529.54504,3.6268244e-10,48.692143,2.1760946e-15
4.6179,177.31451,1.2144172e-10,33.812141,7.2865031e-16
4.622,372.54395,2.5515326e-10,43.306234,1.5309196e-15
4.6369,255.54338,1.7502023e-10,38.192621,1.0501214e-15
4.6665,165.46689,1.1332735e-10,33.041642,6.7996408e-16
4.6786,90.695343,6.2116733e-11,27.040803,3.727004e-16
4.6895,412.62042,2.8260142e-10,44.806548,1.6956085e-15
4.69665,253.54794,1.7365357e-10,38.092951,1.0419214e-15
4.7123,210.69566,1.4430428e-10,35.813199,8.6582569e-16
