# SPCal Export 1.2.7
# Date,Mon Jul 15 18:28:01 2024
# File,C:\Users\p1196157\Documents\Guadalupe\SP-ICP-MS\Raw data\2024-05-28_Cu_AF_paint\4-10_1.csv
# Acquisition events,499999
#
# Options and inputs,Cu,
# Density,6,g/cm3
# Dwelltime,0.1,ms
# Efficiency,0.0041521992,
# Mass fraction,0.8881,
# Molar mass,143.09,g/mol
# Response,2.412,counts/(μg/L)
# Time,49.9999,s
# Uptake,0.212,ml/min
#
# Limit method,Gaussian (alpha=2.867e-07)
#
# Detection results,Cu,
# Particle number,389
# Number error,19.723083
# Number concentration,5.3029517e+08,#/L
# Mass concentration,0.13857022,μg/L
#
# Background,12.579896,counts
#,13.997493,nm
# Background error,5.6714544,counts
# Ionic background,5.2155456,μg/L
#
# Mean,Cu,
#,381.52992,counts
#,2.6130771e-10,μg
#,41.496968,nm
#,1.5678462e-15,m³
# Median,Cu,
#,290.08591,counts
#,1.9867822e-10,μg
#,39.841296,nm
#,1.1920693e-15,m³
# Limits of detection,Cu,
#,45.131265,counts
#,3.0910151e-11,μg
#,21.428104,nm
#,1.8546091e-16,m³
#
# Raw detection data
Time,Cu,,Cu,,Cu,,Cu,
s,counts,μg,nm,m³
0.00325,218.84445,1.4988534e-10,36.269071,8.9931205e-16
0.02795,524.32819,3.5910944e-10,48.531716,2.1546567e-15
0.23095,192.84436,1.3207802e-10,34.771778,7.9246814e-16
0.25175,228.08556,1.5621452e-10,36.772558,9.3728713e-16
0.334,192.9649,1.3216058e-10,34.779021,7.929635e-16
0.33835,363.29156,2.4881636e-10,42.944711,1.4928982e-15
0.4257,313.44769,2.1467857e-10,40.883331,1.2880714e-15
0.46795,542.81036,3.7176778e-10,49.09538,2.2306067e-15
0.5476,271.20636,1.8574772e-10,38.957511,1.1144863e-15
0.5517,157.96484,1.0818924e-10,32.534544,6.4913543e-16
0.701,431.41241,2.9547195e-10,45.476685,1.7728317e-15
0.8917,354.85873,2.4304076e-10,42.609825,1.4582446e-15
0.8982,263.68848,1.8059876e-10,38.594164,1.0835926e-15
0.94785,312.77356,2.1421686e-10,40.854001,1.2853012e-15
1.0393,260.96524,1.7873363e-10,38.460843,1.0724018e-15
1.0583,235.44725,1.612565e-10,37.164,9.6753903e-16
1.0817,1461.9427,1.0012764e-09,68.307444,6.0076585e-15
1.16555,248.08565,1.6991247e-10,37.817411,1.0194748e-15
1.17215,345.08609,2.3634753e-10,42.215027,1.4180852e-15
1.1905,277.68854,1.9018733e-10,39.265449,1.141124e-15
1.2289,314.20654,2.151983e-10,40.916297,1.2911898e-15
1.24455,331.56824,2.2708923e-10,41.656447,1.3625354e-15
1.40825,337.56836,2.3119868e-10,41.90622,1.3871921e-15
1.58135,192.32657,1.3172339e-10,34.740629,7.9034035e-16
1.66785,627.57037,4.2981944e-10,51.52825,2.5789166e-15
1.6857,383.9299,2.6295144e-10,43.743,1.5777087e-15
1.7061,220.44724,1.5098308e-10,36.357399,9.0589847e-16
1.79065,465.05099,3.1851083e-10,46.629215,1.911065e-15
1.8027,288.17068,1.9736649e-10,39.753422,1.1841989e-15
1.8328,703.6911,4.819541e-10,53.532633,2.8917246e-15
2.03345,522.08728,3.5757466e-10,48.462478,2.1454479e-15
2.04755,463.32791,3.1733069e-10,46.571555,1.9039842e-15
2.1066,151.96478,1.0407983e-10,32.117291,6.2447898e-16
2.1854,204.96498,1.4037937e-10,35.485517,8.4227621e-16
2.3466,186.96489,1.2805121e-10,34.414749,7.6830724e-16
2.4359,1143.0083,7.8283999e-10,62.927582,4.69704e-15
2.56425,1065.0376,7.2943829e-10,61.462878,4.3766298e-15
2.9396,234.44727,1.6057162e-10,37.111312,9.6342973e-16
3.1787,218.2061,1.4944814e-10,36.233772,8.9668883e-16
3.3532,803.16321,5.5008199e-10,55.94473,3.3004919e-15
3.47295,954.65259,6.5383622e-10,59.261554,3.9230173e-15
3.53155,207.80881,1.4232709e-10,35.648881,8.5396254e-16
3.5972,333.92978,2.2870664e-10,41.75511,1.3722398e-15
3.6358,282.17068,1.9325712e-10,39.475582,1.1595427e-15
3.75285,187.08546,1.2813379e-10,34.422145,7.6880273e-16
3.82535,370.25592,2.5358621e-10,43.217395,1.5215173e-15
3.86235,206.04993,1.4112244e-10,35.548019,8.4673465e-16
3.94455,496.32809,3.3993234e-10,47.651971,2.039594e-15
4.04565,558.56995,3.8256143e-10,49.565988,2.2953686e-15
4.2029,309.89417,2.1224478e-10,40.728247,1.2734687e-15
4.3425,594.41339,4.0711041e-10,50.604303,2.4426624e-15
4.4742,497.68976,3.4086493e-10,47.695509,2.0451896e-15
4.7745,196.20605,1.3438043e-10,34.972664,8.0628258e-16
4.8562,240.17064,1.6449153e-10,37.410877,9.8694916e-16
4.92175,407.77414,2.7928223e-10,44.630437,1.6756934e-15
4.9344,792.41461,5.4272034e-10,55.694042,3.256322e-15
4.94145,198.80882,1.3616305e-10,35.126628,8.169783e-16
4.99865,229.04996,1.5687503e-10,36.824313,9.4125021e-16
5.45675,543.08752,3.7195761e-10,49.103735,2.2317456e-15
5.51375,213.80885,1.4643649e-10,35.988726,8.7861893e-16
5.58795,176.08543,1.2059993e-10,33.733836,7.2359957e-16
5.6559,449.9303,3.0815474e-10,46.118269,1.8489285e-15
5.7851,220.44719,1.5098305e-10,36.357396,9.0589828e-16
5.88885,423.32776,2.8993481e-10,45.190814,1.7396089e-15
6.0086,495.20752,3.3916486e-10,47.616082,2.0349892e-15
6.1092,195.9649,1.3421527e-10,34.95833,8.052916e-16
6.16455,220.08556,1.5073537e-10,36.337504,9.044122e-16
6.603,314.17084,2.1517385e-10,40.914747,1.2910431e-15
6.6684,200.96492,1.3763975e-10,35.253156,8.258385e-16
6.8847,410.13544,2.8089947e-10,44.716419,1.6853968e-15
7.0454,416.68948,2.853883e-10,44.953354,1.7123298e-15
7.05875,325.05032,2.2262515e-10,41.38168,1.3357509e-15
7.1489,207.96497,1.4243404e-10,35.657808,8.5460425e-16
7.1643,396.37653,2.7147607e-10,44.210683,1.6288564e-15
7.2922,354.17096,2.4256971e-10,42.582279,1.4554183e-15
7.4044,600.44928,4.1124435e-10,50.775011,2.4674661e-15
7.4472,452.17145,3.096897e-10,46.194715,1.8581382e-15
7.48925,507.22079,3.4739269e-10,47.998051,2.0843561e-15
7.6072,210.96498,1.4448874e-10,35.828452,8.6693241e-16
7.74825,243.29117,1.6662876e-10,37.572206,9.9977256e-16
7.83725,304.84494,2.0878659e-10,40.505834,1.2527196e-15
7.8831,183.20596,1.2547674e-10,34.182549,7.5286044e-16
8.0199,298.65314,2.0454586e-10,40.229714,1.2272752e-15
8.0299,185.72379,1.2720118e-10,34.338429,7.6320709e-16
8.09695,648.53375,4.4417714e-10,52.095728,2.6650628e-15
8.12605,323.53244,2.2158556e-10,41.317166,1.3295134e-15
8.2878,229.96509,1.575018e-10,36.87329,9.4501081e-16
8.46225,189.32658,1.2966872e-10,34.559049,7.7801231e-16
8.5772,300.20642,2.056097e-10,40.299338,1.2336582e-15
8.68015,624.81073,4.2792937e-10,51.45261,2.5675762e-15
8.73665,342.32715,2.3445795e-10,42.102223,1.4067477e-15
8.9422,325.2066,2.2273218e-10,41.388311,1.3363931e-15
9.0291,265.68857,1.8196861e-10,38.691497,1.0918117e-15
9.15,267.9295,1.8350342e-10,38.799974,1.1010205e-15
9.16215,414.08673,2.8360569e-10,44.859561,1.7016341e-15
9.1777,186.20599,1.2753144e-10,34.368122,7.6518866e-16
9.4148,241.44727,1.6536588e-10,37.477046,9.9219529e-16
9.6349,174.72377,1.1966733e-10,33.646656,7.18004e-16
9.67715,446.81003,3.0601769e-10,46.011411,1.8361061e-15
10.4768,307.44766,2.1056918e-10,40.620785,1.2634151e-15
10.5253,163.68817,1.1210911e-10,32.922819,6.7265468e-16
11.2202,185.4471,1.2701168e-10,34.321368,7.6207008e-16
11.2975,217.44717,1.4892835e-10,36.191716,8.9357012e-16
11.4544,236.44722,1.6194138e-10,37.216539,9.7164827e-16
11.6183,379.96588,2.6023651e-10,43.591932,1.561419e-15
11.64095,202.08553,1.3840725e-10,35.31856,8.3044348e-16
11.71715,650.21057,4.4532558e-10,52.140588,2.6719535e-15
11.7208,384.93011,2.6363648e-10,43.780953,1.5818189e-15
11.7599,526.41284,3.6053721e-10,48.59595,2.1632233e-15
11.791,441.68896,3.025103e-10,45.83495,1.8150618e-15
11.811,232.68837,1.5936696e-10,37.018272,9.5620178e-16
11.81405,592.77466,4.0598805e-10,50.557756,2.4359283e-15
11.88065,237.32671,1.6254373e-10,37.262626,9.752624e-16
11.9705,169.96484,1.1640797e-10,33.338364,6.9844782e-16
11.97715,455.80978,3.1218157e-10,46.318284,1.8730894e-15
11.99975,144.60313,9.9037878e-11,31.590062,5.9422727e-16
12.01375,331.53262,2.2706484e-10,41.654955,1.362389e-15
12.05505,174.84431,1.1974989e-10,33.654392,7.1849936e-16
12.2239,187.20607,1.2821639e-10,34.42954,7.6929834e-16
12.267,263.44742,1.8043366e-10,38.582399,1.082602e-15
12.36725,354.01477,2.4246274e-10,42.576018,1.4547764e-15
12.54365,460.84589,3.1563077e-10,46.488245,1.8937846e-15
12.54935,335.08603,2.2949855e-10,41.803248,1.3769913e-15
12.56195,151.80872,1.0397294e-10,32.106292,6.2383764e-16
12.7527,203.20604,1.3917468e-10,35.383717,8.3504808e-16
12.7848,425.44785,2.9138685e-10,45.266129,1.7483211e-15
12.8119,203.20604,1.3917468e-10,35.383717,8.3504808e-16
12.81355,492.32806,3.3719274e-10,47.523613,2.0231564e-15
13.11535,649.57062,4.4488728e-10,52.123476,2.6693237e-15
13.32375,504.3284,3.454117e-10,47.906641,2.0724702e-15
13.355,280.44754,1.9207695e-10,39.395063,1.1524617e-15
13.59045,163.0854,1.1169628e-10,32.882357,6.7017768e-16
13.82635,360.5683,2.4695121e-10,42.837136,1.4817073e-15
13.8418,812.94257,5.5677982e-10,56.170877,3.3406789e-15
13.89895,233.32671,1.5980416e-10,37.052092,9.5882493e-16
13.92585,629.01562,4.3080928e-10,51.567775,2.5848557e-15
14.1047,728.20978,4.987468e-10,54.147293,2.9924808e-15
14.12535,275.0502,1.8838034e-10,39.140698,1.1302821e-15
14.1661,319.2066,2.1862282e-10,41.132194,1.3117369e-15
14.63825,362.77374,2.4846171e-10,42.924298,1.4907702e-15
14.9295,651.40808,4.4614575e-10,52.172578,2.6768745e-15
14.95435,198.08551,1.3566766e-10,35.083977,8.1400595e-16
15.1491,186.9649,1.2805122e-10,34.41475,7.683073e-16
15.3574,339.44772,2.3248585e-10,41.983846,1.3949151e-15
15.59215,210.84444,1.4440618e-10,35.821626,8.6643705e-16
15.6798,683.44958,4.680908e-10,53.014346,2.8085448e-15
15.69545,195.08551,1.3361297e-10,34.90596,8.0167785e-16
15.72095,218.08556,1.4936558e-10,36.227098,8.9619346e-16
15.81485,738.32983,5.0567797e-10,54.396971,3.0340678e-15
15.8469,434.68918,2.9771619e-10,45.591533,1.7862971e-15
16.1031,605.13593,4.1445421e-10,50.906772,2.4867253e-15
16.1249,233.96506,1.6024136e-10,37.085851,9.6144815e-16
16.28985,189.08546,1.2950358e-10,34.544372,7.7702146e-16
16.39265,189.84436,1.3002334e-10,34.590525,7.8014004e-16
16.412,176.7238,1.2103714e-10,33.774552,7.2622286e-16
16.52405,284.56802,1.9489905e-10,39.587063,1.1693943e-15
16.53695,207.56772,1.4216197e-10,35.635089,8.5297182e-16
16.567,352.68887,2.4155464e-10,42.522798,1.4493278e-15
16.59695,433.56873,2.9694879e-10,45.552327,1.7816928e-15
17.0198,174.44708,1.1947783e-10,33.628886,7.1686699e-16
17.3235,776.20941,5.3162148e-10,55.311769,3.1897289e-15
17.49735,5298.3516,3.6288113e-09,104.92319,2.1772868e-14
17.5294,224.44717,1.5372261e-10,36.575979,9.2233568e-16
17.69605,454.56863,3.1133151e-10,46.276205,1.8679891e-15
17.83355,455.05093,3.1166184e-10,46.292566,1.869971e-15
17.8842,167.72375,1.1487306e-10,33.191186,6.8923837e-16
18.0588,235.96504,1.6161114e-10,37.191224,9.6966682e-16
18.3143,196.96495,1.3490019e-10,35.017696,8.0940116e-16
18.44365,226.08559,1.5484475e-10,36.664762,9.2906852e-16
18.5713,201.68826,1.3813516e-10,35.295401,8.2881098e-16
18.66745,178.84435,1.2248949e-10,33.909104,7.3493695e-16
18.75655,240.0856,1.6443329e-10,37.406461,9.8659971e-16
18.7629,193.44716,1.3249088e-10,34.80797,7.9494526e-16
18.7645,453.17145,3.1037459e-10,46.228744,1.8622475e-15
18.78725,341.05032,2.3358346e-10,42.049813,1.4015008e-15
18.80695,438.05066,3.0001845e-10,45.708752,1.8001107e-15
18.8365,207.68828,1.4224454e-10,35.641987,8.5346724e-16
18.86185,319.80908,2.1903545e-10,41.158055,1.3142127e-15
18.9482,390.72498,2.6760535e-10,43.999557,1.6056321e-15
19.0715,1158.7899,7.9364873e-10,63.215875,4.7618924e-15
19.1035,345.96573,2.3694999e-10,42.250865,1.4217e-15
19.5499,394.68918,2.7032041e-10,44.14786,1.6219225e-15
19.74105,321.08597,2.1990998e-10,41.212759,1.3194599e-15
19.8894,394.20703,2.6999019e-10,44.129876,1.6199411e-15
19.8959,564.69031,3.8675323e-10,49.746366,2.3205194e-15
20.3085,334.41199,2.290369e-10,41.775199,1.3742214e-15
20.49805,193.32655,1.3240828e-10,34.800735,7.9444965e-16
20.7402,190.96495,1.3079083e-10,34.65845,7.8474496e-16
20.8809,506.68936,3.4702871e-10,47.981282,2.0821723e-15
20.94035,145.84425,9.9887913e-11,31.680184,5.9932748e-16
20.9715,244.68835,1.6758569e-10,37.643993,1.0055141e-15
20.9792,646.3772,4.4270013e-10,52.037919,2.6562008e-15
20.98195,192.08546,1.3155826e-10,34.726106,7.8934956e-16
21.0814,335.93002,2.3007659e-10,41.838315,1.3804596e-15
21.1562,290.2063,1.9876067e-10,39.846807,1.192564e-15
21.26895,208.08556,1.4251663e-10,35.664699,8.550998e-16
21.3954,360.20673,2.4670357e-10,42.822813,1.4802214e-15
21.40245,356.84518,2.4440127e-10,42.689185,1.4664076e-15
21.4591,500.44879,3.4275458e-10,47.783482,2.0565275e-15
21.72535,326.84512,2.238544e-10,41.457705,1.3431264e-15
21.7858,843.41492,5.7765016e-10,56.864122,3.465901e-15
22.2157,676.44971,4.6329662e-10,52.832734,2.7797797e-15
22.3103,304.68857,2.086795e-10,40.498907,1.252077e-15
22.36145,480.08713,3.2880899e-10,47.126437,1.9728539e-15
22.3693,267.68842,1.833383e-10,38.788332,1.1000298e-15
22.55795,876.12909,6.0005591e-10,57.590027,3.6003355e-15
22.69045,382.32767,2.6185408e-10,43.682065,1.5711245e-15
22.81325,178.32654,1.2213485e-10,33.876347,7.3280909e-16
22.8405,141.96477,9.7230875e-11,31.396756,5.8338525e-16
23.0207,323.44766,2.2152749e-10,41.313557,1.329165e-15
