# SPCal Export 1.2.7
# Date,Mon Jul 15 18:28:01 2024
# File,C:\Users\p1196157\Documents\Guadalupe\SP-ICP-MS\Raw data\2024-05-28_Cu_AF_paint\4-10_3.csv
# Acquisition events,499999
#
# Options and inputs,Cu,
# Density,6,g/cm3
# Dwelltime,0.1,ms
# Efficiency,0.0041521992,
# Mass fraction,0.8881,
# Molar mass,143.09,g/mol
# Response,2.412,counts/(μg/L)
# Time,49.9999,s
# Uptake,0.212,ml/min
#
# Limit method,Poisson (alpha=0.001)
#
# Detection results,Cu,
# Particle number,1651
# Number error,40.632499
# Number concentration,2.2506872e+09,#/L
# Mass concentration,0.23516828,μg/L
#
# Background,8.7797155,counts
#,12.416087,nm
# Background error,4.0933371,counts
# Ionic background,3.6400147,μg/L
#
# Mean,Cu,
#,152.55975,counts
#,1.0448732e-10,μg
#,30.236886,nm
#,6.2692392e-16,m³
# Median,Cu,
#,107.30342,counts
#,7.3491513e-11,μg
#,28.599763,nm
#,4.4094908e-16,m³
# Limits of detection,Cu,
#,19.700362,counts
#,1.3492668e-11,μg
#,16.254838,nm
#,8.0956007e-17,m³
#
# Raw detection data
Time,Cu,,Cu,,Cu,,Cu,
s,counts,μg,nm,m³
0.01825,168.30356,1.1527017e-10,33.229388,6.9162099e-16
0.0247,106.60304,7.3011828e-11,28.537403,4.3807097e-16
0.122,187.00751,1.280804e-10,34.417363,7.6848237e-16
0.1703,109.20238,7.4792103e-11,28.767489,4.4875262e-16
0.25425,294.70471,2.0184161e-10,40.051637,1.2110497e-15
0.2863,130.00381,8.9038886e-11,30.489007,5.3423331e-16
0.30535,61.501904,4.212231e-11,23.756772,2.5273386e-16
0.32985,201.10509,1.3773575e-10,35.26135,8.264145e-16
0.3548,102.60306,7.027226e-11,28.175914,4.2163356e-16
0.40405,126.90275,8.6914982e-11,30.244629,5.2148989e-16
0.4442,60.202263,4.1232193e-11,23.588239,2.4739316e-16
0.4756,75.202286,5.1505625e-11,25.40397,3.0903375e-16
0.5013,103.00379,7.0546721e-11,28.212549,4.2328033e-16
0.52835,114.10487,7.814979e-11,29.191695,4.6889874e-16
0.6148,61.602989,4.2191543e-11,23.769781,2.5314926e-16
0.7112,62.602997,4.2876442e-11,23.89771,2.5725865e-16
0.7813,155.2025,1.0629732e-10,32.343783,6.3778394e-16
0.7983,131.40453,8.9998225e-11,30.598116,5.3998935e-16
0.85385,150.90285,1.0335252e-10,32.042303,6.201151e-16
0.86515,119.30344,8.1710261e-11,29.628448,4.9026157e-16
0.97635,64.902626,4.4451446e-11,24.186814,2.6670867e-16
1.0256,193.40466,1.3246177e-10,34.805421,7.9477063e-16
1.04075,61.501904,4.212231e-11,23.756772,2.5273386e-16
1.0504,84.603012,5.794413e-11,26.42124,3.4766478e-16
1.1929,143.20601,9.8080994e-11,31.487994,5.8848597e-16
1.2345,168.20258,1.15201e-10,33.222741,6.9120602e-16
1.2876,168.60327,1.1547544e-10,33.249102,6.9285263e-16
1.29885,302.90338,2.0745683e-10,40.419657,1.244741e-15
1.3,218.40474,1.4958418e-10,36.244763,8.9750511e-16
1.38175,116.90273,8.0066028e-11,29.428365,4.8039617e-16
1.38675,215.30373,1.4746032e-10,36.072405,8.8476191e-16
1.5778,104.6031,7.1642081e-11,28.357815,4.2985248e-16
1.60615,391.70517,2.6827668e-10,44.03632,1.6096601e-15
1.64975,72.501923,4.9656161e-11,25.096188,2.9793697e-16
1.65805,55.704079,3.8151412e-11,22.98548,2.2890847e-16
1.74345,123.10489,8.431385e-11,29.939854,5.058831e-16
1.7698,128.60309,8.8079536e-11,30.37911,5.2847722e-16
1.85505,58.902622,4.0342076e-11,23.417263,2.4205246e-16
1.881,69.602997,4.7670703e-11,24.757145,2.8602422e-16
1.96875,220.90646,1.512976e-10,36.382627,9.0778561e-16
1.9943,130.40454,8.9313341e-11,30.520302,5.3588004e-16
2.05135,70.902641,4.8560822e-11,24.910286,2.9136493e-16
2.0613,62.202259,4.2601979e-11,23.846609,2.5561188e-16
2.11615,69.902641,4.7875928e-11,24.792621,2.8725557e-16
2.24875,84.704117,5.8013376e-11,26.43176,3.4808025e-16
2.2551,89.202316,6.1094167e-11,26.891599,3.66565e-16
2.2588,84.003738,5.7533691e-11,26.358708,3.4520214e-16
2.26645,67.501915,4.6231684e-11,24.505484,2.773901e-16
2.36245,86.501953,5.9244704e-11,26.617457,3.5546822e-16
