# SPCal Export 1.2.7
# Date,Mon Jul 15 18:28:01 2024
# File,C:\Users\p1196157\Documents\Guadalupe\SP-ICP-MS\Raw data\2024-05-28_Cu_AF_paint\4-11.csv
# Acquisition events,499999
#
# Options and inputs,Cu,
# Density,6,g/cm3
# Dwelltime,0.1,ms
# Efficiency,0.0041521992,
# Mass fraction,0.8881,
# Molar mass,143.09,g/mol
# Response,2.412,counts/(μg/L)
# Time,49.9999,s
# Uptake,0.212,ml/min
#
# Limit method,Poisson (alpha=0.001)
#
# Detection results,Cu,
# Particle number,499
# Number error,22.338308
# Number concentration,6.802501e+08,#/L
# Mass concentration,0.059455045,μg/L
#
# Background,7.2336903,counts
#,11.639774,nm
# Background error,3.2060316,counts
# Ionic background,2.9990424,μg/L
#
# Mean,Cu,
#,127.61346,counts
#,8.7401743e-11,μg
#,29.049558,nm
#,5.2441046e-16,m³
# Median,Cu,
#,99.376915,counts
#,6.8062693e-11,μg
#,27.877453,nm
#,4.0837616e-16,m³
# Limits of detection,Cu,
#,17.637679,counts
#,1.2079947e-11,μg
#,15.666491,nm
#,7.2479685e-17,m³
#
# Raw detection data
Time,Cu,,Cu,,Cu,,Cu,
s,counts,μg,nm,m³
0.0375,103.10155,7.0613673e-11,28.221471,4.2368204e-16
0.1064,82.376877,5.6419462e-11,26.187439,3.3851677e-16
0.1495,94.3769,6.4638211e-11,27.401846,3.8782926e-16
0.1518,121.10161,8.2941814e-11,29.776562,4.9765088e-16
0.16105,91.289925,6.2523959e-11,27.099765,3.7514375e-16
0.20285,48.46381,3.3192592e-11,21.943055,1.9915555e-16
0.322,181.65244,1.2441274e-10,34.085656,7.4647642e-16
0.3264,70.826157,4.8508438e-11,24.901326,2.9105063e-16
0.33315,111.84067,7.6599048e-11,28.997318,4.5959429e-16
0.39985,17.637701,1.2079963e-11,15.666497,7.2479777e-17
0.41775,74.739197,5.1188458e-11,25.351718,3.0713075e-16
0.4188,116.37694,7.9705914e-11,29.384179,4.7823548e-16
0.44245,65.188469,4.4647218e-11,24.22227,2.6788331e-16
0.4525,81.101524,5.554598e-11,26.051591,3.3327588e-16
0.54195,85.014557,5.8225994e-11,26.464012,3.4935597e-16
0.71285,134.56534,9.2163047e-11,30.841511,5.5297828e-16
0.77995,227.29016,1.5566976e-10,36.729763,9.3401856e-16
1.04315,102.46389,7.0176945e-11,28.163169,4.2106167e-16
1.19585,65.739182,4.5024398e-11,24.290289,2.7014639e-16
1.30745,97.014572,6.6444738e-11,27.654782,3.9866843e-16
1.32425,138.01465,9.4525461e-11,31.102811,5.6715276e-16
1.4312,155.65237,1.0660544e-10,32.375004,6.3963264e-16
1.4478,85.652245,5.8662743e-11,26.530015,3.5197646e-16
1.5435,114.92763,7.8713289e-11,29.261689,4.7227974e-16
1.57685,120.28996,8.2385923e-11,29.70989,4.9431554e-16
1.69525,155.56537,1.0654585e-10,32.368971,6.392751e-16
1.7178,89.202957,6.1094606e-11,26.891663,3.6656764e-16
1.83115,77.463844,5.3054554e-11,25.656117,3.1832732e-16
1.8975,84.376892,5.7789261e-11,26.39768,3.4673557e-16
1.9326,73.376877,5.0255413e-11,25.196738,3.0153248e-16
2.0804,89.10154,6.1025146e-11,26.881468,3.6615088e-16
2.2166,57.101498,3.9108496e-11,23.176103,2.3465098e-16
