,2.28,2.29,2.30
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,4,0,0
35,0,0,0
36,0,0,0
37,12,0,0
38,0,0,0
39,0,0,4
40,4,4,0
41,4,4,0
42,28,4,4
43,28,0,12
44,32,4,12
45,56,16,4
46,96,0,12
47,92,16,12
48,84,40,28
49,148,20,20
50,88,36,28
51,256,40,36
52,220,64,32
53,244,64,32
54,288,48,24
55,276,44,40
56,336,68,20
57,316,44,56
58,316,32,52
59,316,44,32
60,380,48,48
61,356,28,48
62,272,32,24
63,284,28,32
64,364,40,36
65,320,40,32
66,332,16,40
67,320,20,48
68,264,28,48
69,176,16,32
70,276,32,16
71,192,32,52
72,160,16,12
73,168,16,16
74,132,8,12
75,136,12,12
76,76,0,16
77,100,28,12
78,80,16,20
79,104,4,4
80,68,0,8
81,56,4,24
82,36,0,12
83,56,8,4
84,36,4,0
85,56,4,0
86,44,4,4
87,28,0,4
88,48,4,0
89,24,4,0
90,24,0,12
91,16,0,4
92,8,0,4
93,12,0,4
94,16,4,0
95,4,0,0
96,4,0,0
97,8,0,4
98,8,0,0
99,12,8,0
100,4,0,0
101,8,0,0
102,4,0,0
103,4,0,0
104,8,0,0
105,0,0,0
106,0,0,4
107,0,0,0
108,0,0,4
109,4,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,4,0,0
115,0,0,0
116,4,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,4,0,0
122,8,0,0
123,4,0,4
124,0,0,0
125,0,0,0
126,0,0,0
127,4,0,0
128,0,0,0
129,0,0,0
130,4,0,0
131,0,0,4
132,0,0,0
133,0,0,0
134,0,0,4
135,0,0,0
136,4,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0
145,0,0,4
146,4,0,4
147,0,0,4
148,0,0,0
149,0,0,0
150,0,4,0
