# SPCal Export 1.2.7
# Date,Mon Jul 15 18:28:02 2024
# File,C:\Users\p1196157\Documents\Guadalupe\SP-ICP-MS\Raw data\2024-05-28_Cu_AF_paint\6-10_2.csv
# Acquisition events,499999
#
# Options and inputs,Cu,
# Density,6,g/cm3
# Dwelltime,0.1,ms
# Efficiency,0.0041521992,
# Mass fraction,0.8881,
# Molar mass,143.09,g/mol
# Response,2.412,counts/(μg/L)
# Time,49.9999,s
# Uptake,0.212,ml/min
#
# Limit method,Poisson (alpha=0.001)
#
# Detection results,Cu,
# Particle number,176
# Number error,13.266499
# Number concentration,2.3992789e+08,#/L
# Mass concentration,0.024974285,μg/L
#
# Background,7.6509032,counts
#,11.859385,nm
# Background error,3.0778377,counts
# Ionic background,3.1720163,μg/L
#
# Mean,Cu,
#,151.98079,counts
#,1.040908e-10,μg
#,30.450938,nm
#,6.2454477e-16,m³
# Median,Cu,
#,108.80648,counts
#,7.452095e-11,μg
#,28.732535,nm
#,4.471257e-16,m³
# Limits of detection,Cu,
#,18.295403,counts
#,1.2530419e-11,μg
#,15.858858,nm
#,7.5182513e-17,m³
#
# Raw detection data
Time,Cu,,Cu,,Cu,,Cu,
s,counts,μg,nm,m³
0.01955,64.658699,4.4284381e-11,24.156475,2.6570629e-16
0.05365,101.06796,6.9220882e-11,28.03469,4.1532529e-16
0.2288,116.95419,8.0101273e-11,29.432683,4.8060764e-16
0.26215,212.84058,1.4577332e-10,35.934317,8.7463992e-16
0.72385,105.84037,7.2489478e-11,28.469185,4.3493687e-16
0.8791,104.95416,7.1882519e-11,28.389504,4.3129511e-16
1.22735,120.02199,8.2202388e-11,29.687812,4.9321433e-16
1.2966,123.1358,8.4335023e-11,29.94236,5.0601014e-16
1.3654,189.95435,1.3009867e-10,34.597203,7.8059201e-16
1.59725,83.65873,5.7297396e-11,26.322573,3.4378438e-16
1.73785,137.24962,9.4001496e-11,31.045236,5.6400898e-16
2.2287,163.95433,1.122914e-10,32.940654,6.7374842e-16
2.6624,52.363289,3.5863324e-11,22.516466,2.1517994e-16
2.8865,68.772507,4.7101905e-11,24.658285,2.8261143e-16
3.09145,85.658737,5.866719e-11,26.530685,3.5200314e-16
4.15535,66.658707,4.5654175e-11,24.403018,2.7392505e-16
5.0195,123.13579,8.4335012e-11,29.942359,5.0601007e-16
5.433,266.54535,1.8255542e-10,38.733043,1.0953325e-15
5.5665,68.772507,4.7101905e-11,24.658285,2.8261143e-16
5.66635,1430.0525,9.7943495e-10,67.807111,5.8766097e-15
5.81915,83.658737,5.7297401e-11,26.322574,3.4378441e-16
5.8265,129.3634,8.8600271e-11,30.438861,5.3160163e-16
5.87185,171.06815,1.1716362e-10,33.410345,7.029817e-16
5.9887,71.363312,4.8876333e-11,24.964119,2.93258e-16
6.2454,59.772499,4.093785e-11,23.531975,2.456271e-16
7.23665,85.658722,5.866718e-11,26.530684,3.5200308e-16
7.57565,125.24959,8.5782742e-11,30.112722,5.1469645e-16
8.29485,75.249512,5.153797e-11,25.409287,3.0922782e-16
8.5529,144.95425,9.9278358e-11,31.61561,5.9567015e-16
8.5696,78.54493,5.3794983e-11,25.774918,3.227699e-16
9.12345,97.06797,6.648131e-11,27.659855,3.9888786e-16
9.61685,75.067917,5.1413596e-11,25.388831,3.0848158e-16
10.4878,318.36417,2.1804584e-10,41.095977,1.308275e-15
10.9078,98.363342,6.7368503e-11,27.782352,4.0421102e-16
11.26925,366.84113,2.5124743e-10,43.084123,1.5074846e-15
