# SPCal Export 1.2.7
# Date,Mon Jul 15 18:42:37 2024
# File,C:\Users\p1196157\Documents\Guadalupe\SP-ICP-MS\Raw data\2024-06-03 diluted AF paints\6-11_3x.csv
# Acquisition events,499999
#
# Options and inputs,Cu,
# Density,6,g/cm3
# Dwelltime,0.1,ms
# Efficiency,0.014005023,
# Mass fraction,0.8881,
# Molar mass,143.09,g/mol
# Response,2.19,counts/(μg/L)
# Time,49.9999,s
# Uptake,0.192,ml/min
#
# Limit method,Poisson (alpha=0.001)
#
# Detection results,Cu,
# Particle number,95
# Number error,9.7467943
# Number concentration,42395589,#/L
# Mass concentration,0.0085509087,μg/L
#
# Background,1.9990025,counts
#,11.360491,nm
# Background error,1.5844209,counts
# Ionic background,0.91278651,μg/L
#
# Mean,Cu,
#,87.531382,counts
#,2.0169336e-10,μg
#,38.103167,nm
#,1.2101602e-15,m³
# Median,Cu,
#,62.890423,counts
#,1.4491466e-10,μg
#,35.863622,nm
#,8.6948797e-16,m³
# Limits of detection,Cu,
#,12.98434,counts
#,2.9919043e-11,μg
#,21.196587,nm
#,1.7951426e-16,m³
#
# Raw detection data
Time,Cu,,Cu,,Cu,,Cu,
s,counts,μg,nm,m³
0.22665,75.890427,1.748698e-10,38.181675,1.0492188e-15
0.6227,54.906059,1.2651677e-10,34.276732,7.5910061e-16
0.93335,101.73384,2.3441924e-10,42.099906,1.4065154e-15
1.56865,27.921713,6.4338343e-11,27.359406,3.8603006e-16
1.64555,212.89076,4.9055153e-10,53.849076,2.9433092e-15
1.773,62.874752,1.4487855e-10,35.860643,8.6927132e-16
2.02295,72.890434,1.6795709e-10,37.671782,1.0077426e-15
2.953,38.906055,8.964891e-11,30.558478,5.3789346e-16
3.34455,71.859108,1.6558067e-10,37.493264,9.9348402e-16
4.468,35.874737,8.2664023e-11,29.743282,4.9598414e-16
6.51105,467.82901,1.0779906e-09,70.009186,6.4679434e-15
6.57065,91.89045,2.117377e-10,40.695786,1.2704262e-15
6.67275,107.82783,2.4846125e-10,42.924271,1.4907675e-15
6.6997,39.906059,9.195316e-11,30.818081,5.5171896e-16
7.36305,79.827782,1.8394241e-10,38.830889,1.1036545e-15
7.41225,117.82784,2.7150369e-10,44.212183,1.6290222e-15
7.5294,46.843422,1.0793851e-10,32.509392,6.4763107e-16
7.7425,51.874744,1.1953189e-10,33.633957,7.1719134e-16
8.34465,40.8904,9.4221317e-11,31.069417,5.653279e-16
9.1806,49.843422,1.1485123e-10,33.189084,6.891074e-16
9.21065,54.859081,1.2640852e-10,34.266953,7.5845112e-16
9.44245,134.7652,3.1053143e-10,46.23653,1.8631886e-15
9.60195,46.8904,1.0804676e-10,32.520256,6.4828056e-16
9.6659,191.84367,4.4205397e-10,52.012589,2.6523238e-15
9.81665,105.92182,2.4406936e-10,42.669851,1.4644161e-15
10.32535,561.79828,1.2945184e-09,74.41368,7.7671102e-15
10.8238,80.843452,1.8628276e-10,38.994881,1.1176966e-15
11.1004,93.874794,2.1631011e-10,40.98664,1.2978606e-15
11.2265,44.843418,1.0333002e-10,32.039979,6.1998013e-16
13.0003,101.87482,2.347441e-10,42.119345,1.4084646e-15
13.59195,230.73412,5.316669e-10,55.313344,3.1900014e-15
13.782,149.74959,3.4505907e-10,47.890333,2.0703544e-15
13.97225,51.890404,1.1956797e-10,33.637341,7.1740783e-16
14.85105,83.890442,1.9330376e-10,39.478757,1.1598225e-15
16.26125,106.85917,2.4622923e-10,42.79535,1.4773754e-15
16.39235,46.890404,1.0804677e-10,32.520257,6.4828062e-16
16.53885,90.827797,2.0928909e-10,40.538304,1.2557346e-15
16.9058,38.906059,8.9648919e-11,30.558479,5.3789351e-16
17.35675,62.890423,1.4491466e-10,35.863622,8.6948797e-16
17.3977,57.843437,1.3328519e-10,34.877393,7.9971116e-16
18.1751,177.87502,4.0986682e-10,50.718254,2.4592009e-15
18.19825,55.859089,1.2871278e-10,34.473914,7.7227666e-16
18.2909,152.84354,3.5218827e-10,48.217905,2.1131296e-15
18.3007,129.84351,2.9919067e-10,45.666675,1.795144e-15
18.6566,51.906071,1.1960407e-10,33.640726,7.1762444e-16
20.2542,199.78098,4.6034342e-10,52.720237,2.7620605e-15
21.0014,55.874752,1.2874887e-10,34.477136,7.7249321e-16
21.5701,71.874779,1.6561678e-10,37.49599,9.9370068e-16
