# SPCal Export 1.2.7
# Date,Mon Jul 15 18:28:03 2024
# File,C:\Users\p1196157\Documents\Guadalupe\SP-ICP-MS\Raw data\2024-05-28_Cu_AF_paint\6-12_1.csv
# Acquisition events,499999
#
# Options and inputs,Cu,
# Density,6,g/cm3
# Dwelltime,0.1,ms
# Efficiency,0.0041521992,
# Mass fraction,0.8881,
# Molar mass,143.09,g/mol
# Response,2.412,counts/(μg/L)
# Time,49.9999,s
# Uptake,0.212,ml/min
#
# Limit method,Gaussian (alpha=2.867e-07)
#
# Detection results,Cu,
# Particle number,136
# Number error,11.661904
# Number concentration,1.8539883e+08,#/L
# Mass concentration,0.030204544,μg/L
#
# Background,15.89178,counts
#,15.131504,nm
# Background error,4.6373615,counts
# Ionic background,6.5886318,μg/L
#
# Mean,Cu,
#,237.8711,counts
#,1.6291659e-10,μg
#,34.565709,nm
#,9.7749952e-16,m³
# Median,Cu,
#,149.58521,counts
#,1.0245007e-10,μg
#,31.948617,nm
#,6.1470042e-16,m³
# Limits of detection,Cu,
#,26.183587,counts
#,1.7932992e-11,μg
#,17.871773,nm
#,1.0759795e-16,m³
#
# Raw detection data
Time,Cu,,Cu,,Cu,,Cu,
s,counts,μg,nm,m³
0.0841,1137.6998,7.7920425e-10,62.830013,4.6752255e-15
0.0895,85.260124,5.8394182e-11,26.489468,3.5036509e-16
1.07195,144.56351,9.9010737e-11,31.587177,5.9406442e-16
1.1115,62.260086,4.2641585e-11,23.853997,2.5584951e-16
1.2237,242.52055,1.6610097e-10,37.532495,9.9660582e-16
1.5543,173.43364,1.1878373e-10,33.563638,7.1270238e-16
2.0952,103.43346,7.0841001e-11,28.251723,4.2504601e-16
2.36595,87.390106,5.9852995e-11,26.708244,3.5911797e-16
2.90325,97.390129,6.6701955e-11,27.690421,4.0021173e-16
3.43605,759.94653,5.2048313e-10,54.922748,3.1228988e-15
3.63055,368.08417,2.5209879e-10,43.132731,1.5125927e-15
3.67105,150.56355,1.0312014e-10,32.01827,6.1872081e-16
3.75965,87.390114,5.9853e-11,26.708245,3.59118e-16
4.3787,201.43373,1.3796084e-10,35.280547,8.2776501e-16
4.86425,469.47858,3.2154325e-10,46.776728,1.9292595e-15
5.2815,159.78021,1.0943257e-10,32.658702,6.5659544e-16
6.3797,179.34702,1.2283377e-10,33.940844,7.3700261e-16
6.9186,168.34702,1.1529993e-10,33.232248,6.9179958e-16
7.10765,83.303444,5.7054063e-11,26.285257,3.4232438e-16
7.1664,279.34747,1.9132352e-10,39.343485,1.1479411e-15
7.17365,141.65021,9.7015435e-11,31.373549,5.8209261e-16
8.7696,327.43439,2.2425798e-10,41.482604,1.3455479e-15
9.53345,112.30351,7.6916048e-11,29.037264,4.6149629e-16
10.4283,93.346802,6.3932702e-11,27.301786,3.8359621e-16
10.43945,133.65015,9.1536238e-11,30.771434,5.4921743e-16
10.85205,113.30352,7.7600947e-11,29.123197,4.6560568e-16
11.3447,727.69598,4.9839491e-10,54.134555,2.9903695e-15
11.6468,95.346802,6.5302491e-11,27.495395,3.9181495e-16
12.97375,238.6505,1.6345039e-10,37.33178,9.8070234e-16
13.1147,105.34682,7.2151446e-11,28.424864,4.3290867e-16
13.3677,505.60901,3.4628878e-10,47.947156,2.0777327e-15
13.691,110.34683,7.5575928e-11,28.867635,4.5345557e-16
14.29245,614.7395,4.2103165e-10,51.174659,2.5261899e-15
15.2093,101.43346,6.9471212e-11,28.068444,4.1682727e-16
16.67165,468.73816,3.2103614e-10,46.752125,1.9262169e-15
16.68465,148.39027,1.0163167e-10,31.863469,6.0979001e-16
16.7011,733.21564,5.0217529e-10,54.271083,3.0130517e-15
17.14455,128.47687,8.7993088e-11,30.369168,5.2795853e-16
17.41615,101.21684,6.9322849e-11,28.048449,4.159371e-16
18.88565,1523.5408,1.0434646e-09,69.253641,6.2607873e-15
19.2391,127.26022,8.7159815e-11,30.273001,5.2295889e-16
19.3632,120.78011,8.2721624e-11,29.750189,4.9632974e-16
19.52375,112.39017,7.6975402e-11,29.044731,4.6185241e-16
19.6046,88.346771,6.0508209e-11,26.80535,3.6304926e-16
19.76205,218.4771,1.4963374e-10,36.248766,8.9780245e-16
19.835,152.34692,1.0434156e-10,32.144189,6.2604934e-16
20.9092,144.60684,9.9040417e-11,31.590332,5.942425e-16
21.32475,165.3903,1.1327489e-10,33.036543,6.7964937e-16
21.58355,106.3035,7.2806676e-11,28.510649,4.3684006e-16
22.81895,138.82349,9.5079429e-11,31.163452,5.7047658e-16
23.24025,229.65039,1.5728627e-10,36.856462,9.4371761e-16
