# SPCal Export 1.2.7
# Date,Mon Jul 15 18:42:37 2024
# File,C:\Users\p1196157\Documents\Guadalupe\SP-ICP-MS\Raw data\2024-06-03 diluted AF paints\6-12_3x_2.csv
# Acquisition events,499999
#
# Options and inputs,Cu,
# Density,6,g/cm3
# Dwelltime,0.1,ms
# Efficiency,0.014005023,
# Mass fraction,0.8881,
# Molar mass,143.09,g/mol
# Response,2.19,counts/(μg/L)
# Time,49.9999,s
# Uptake,0.192,ml/min
#
# Limit method,Poisson (alpha=0.001)
#
# Detection results,Cu,
# Particle number,138
# Number error,11.74734
# Number concentration,61585171,#/L
# Mass concentration,0.013325604,μg/L
#
# Background,1.6097877,counts
#,10.569364,nm
# Background error,1.3882103,counts
# Ionic background,0.73506288,μg/L
#
# Mean,Cu,
#,93.90375,counts
#,2.1637683e-10,μg
#,39.023809,nm
#,1.298261e-15,m³
# Median,Cu,
#,66.142292,counts
#,1.5240775e-10,μg
#,36.471071,nm
#,9.1444651e-16,m³
# Limits of detection,Cu,
#,12.364225,counts
#,2.8490148e-11,μg
#,20.853627,nm
#,1.7094089e-16,m³
#
# Raw detection data
Time,Cu,,Cu,,Cu,,Cu,
s,counts,μg,nm,m³
0.91755,42.549595,9.8044502e-11,31.484088,5.8826701e-16
1.99605,174.27832,4.0157917e-10,50.374077,2.409475e-15
2.09095,43.549587,1.0034872e-10,31.728825,6.0209235e-16
2.91175,207.00681,4.7699347e-10,53.348333,2.8619608e-15
3.0188,49.370712,1.13762e-10,33.08383,6.8257198e-16
3.1137,44.642265,1.0286652e-10,31.992,6.1719911e-16
3.43795,192.00674,4.4242973e-10,52.027322,2.6545784e-15
3.69455,126.27814,2.909752e-10,45.244803,1.7458512e-15
3.91555,30.549589,7.0393602e-11,28.192122,4.2236161e-16
3.9468,257.91434,5.9429667e-10,57.405188,3.56578e-15
4.0103,52.642269,1.2130045e-10,33.799026,7.2780271e-16
4.2833,190.6425,4.3928618e-10,51.903808,2.6357171e-15
5.1097,206.09937,4.7490251e-10,53.270266,2.8494151e-15
5.2161,213.09943,4.9103234e-10,53.866663,2.946194e-15
5.2246,153.914,3.5465488e-10,48.330211,2.1279293e-15
5.6562,33.456913,7.7092775e-11,29.059487,4.6255665e-16
6.00365,35.549587,8.19148e-11,29.65315,4.914888e-16
6.0642,112.64235,2.5955507e-10,43.55385,1.5573304e-15
6.29105,66.734962,1.5377341e-10,36.580007,9.2264044e-16
6.51195,55.191837,1.2717527e-10,34.336097,7.6305162e-16
6.958,47.185371,1.0872645e-10,32.588305,6.5235868e-16
6.96815,110.00655,2.5348156e-10,43.211449,1.5208894e-15
7.4259,50.913818,1.1731768e-10,33.424984,7.0390611e-16
7.4424,85.827652,1.9776756e-10,39.780331,1.1866053e-15
7.9869,42.913815,9.8883751e-11,31.573667,5.9330251e-16
