# SPCal Export 1.2.7
# Date,Mon Jul 15 18:28:03 2024
# File,C:\Users\p1196157\Documents\Guadalupe\SP-ICP-MS\Raw data\2024-05-28_Cu_AF_paint\6-12.csv
# Acquisition events,499999
#
# Options and inputs,Cu,
# Density,6,g/cm3
# Dwelltime,0.1,ms
# Efficiency,0.0041521992,
# Mass fraction,0.8881,
# Molar mass,143.09,g/mol
# Response,2.412,counts/(μg/L)
# Time,49.9999,s
# Uptake,0.212,ml/min
#
# Limit method,Gaussian (alpha=2.867e-07)
#
# Detection results,Cu,
# Particle number,82
# Number error,9.0553851
# Number concentration,1.1178459e+08,#/L
# Mass concentration,0.024583867,μg/L
#
# Background,20.671783,counts
#,16.517738,nm
# Background error,5.7553859,counts
# Ionic background,8.5703911,μg/L
#
# Mean,Cu,
#,321.10321,counts
#,2.1992179e-10,μg
#,37.406731,nm
#,1.3195308e-15,m³
# Median,Cu,
#,207.25524,counts
#,1.4194796e-10,μg
#,35.617157,nm
#,8.5168773e-16,m³
# Limits of detection,Cu,
#,32.042194,counts
#,2.194552e-11,μg
#,19.116072,nm
#,1.3167312e-16,m³
#
# Raw detection data
Time,Cu,,Cu,,Cu,,Cu,
s,counts,μg,nm,m³
0.3515,273.3064,1.8718602e-10,39.057806,1.1231161e-15
1.07525,191.13249,1.3090557e-10,34.668583,7.8543345e-16
2.71615,187.13245,1.2816597e-10,34.425026,7.6899579e-16
3.1441,175.20419,1.1999637e-10,33.677467,7.1997823e-16
3.50785,229.58176,1.5723926e-10,36.85279,9.4343557e-16
3.8999,61.102051,4.1848453e-11,23.705176,2.5109072e-16
3.9379,148.30597,1.0157393e-10,31.857434,6.0944357e-16
4.3121,1018.3088,6.9743403e-10,60.550503,4.1846042e-15
4.9174,243.95898,1.6708614e-10,37.606552,1.0025169e-15
5.42925,366.92972,2.5130811e-10,43.087591,1.5078487e-15
5.76815,153.03053,1.0480976e-10,32.192197,6.2885854e-16
5.874,113.75494,7.791012e-11,29.161823,4.6746072e-16
6.172,220.0609,1.5071848e-10,36.336147,9.0431087e-16
6.5647,130.75497,8.9553351e-11,30.547616,5.373201e-16
7.5352,341.51025,2.3389846e-10,42.068707,1.4033908e-15
8.15395,293.23459,2.0083473e-10,39.984928,1.2050084e-15
9.0994,75.652985,5.1814306e-11,25.454619,3.1088584e-16
9.4589,191.75517,1.3133205e-10,34.70619,7.8799227e-16
9.47405,64.377502,4.4091791e-11,24.121406,2.6455075e-16
9.52675,168.03061,1.1508322e-10,33.211415,6.9049935e-16
10.73595,175.03062,1.198775e-10,33.666342,7.1926497e-16
11.64715,307.68378,2.107309e-10,40.631181,1.2643854e-15
11.95315,277.48007,1.9004455e-10,39.255621,1.1402673e-15
12.7355,191.85703,1.314018e-10,34.712334,7.8841082e-16
13.5408,599.85986,4.1084067e-10,50.758391,2.465044e-15
13.72115,731.88263,5.0126232e-10,54.238174,3.0075739e-15
13.8953,137.75502,9.4347643e-11,31.083296,5.6608586e-16
14.2116,421.75647,2.8885865e-10,45.134832,1.7331519e-15
15.30325,129.47954,8.8679811e-11,30.447967,5.3207887e-16
15.63205,321.78574,2.2038925e-10,41.242677,1.3223355e-15
16.1377,236.20448,1.6177513e-10,37.203799,9.7065078e-16
16.6667,185.75517,1.2722268e-10,34.340363,7.6333607e-16
16.9105,259.81558,1.7794624e-10,38.404282,1.0676774e-15
17.1426,470.51129,3.2225055e-10,46.811001,1.9335033e-15
17.4333,139.755,9.5717421e-11,31.233,5.7430453e-16
17.5604,353.75598,2.4228549e-10,42.565641,1.453713e-15
17.66795,294.68384,2.0182731e-10,40.050692,1.2109639e-15
17.8634,460.8587,3.1563955e-10,46.488676,1.8938373e-15
18.64235,198.03065,1.3563009e-10,35.080738,8.1378053e-16
19.0002,117.10223,8.020266e-11,29.445095,4.8121596e-16
19.54775,5339.0537,3.656688e-09,105.19118,2.1940128e-14
19.8432,87.754883,6.0102828e-11,26.745354,3.6061697e-16
19.9943,95.653046,6.5512236e-11,27.524801,3.9307342e-16
20.447,215.40802,1.4753175e-10,36.078229,8.8519049e-16
20.59045,1064.1422,7.2882505e-10,61.445649,4.3729503e-15
20.7331,131.85684,9.0308014e-11,30.633184,5.4184808e-16
20.76285,389.33676,2.6665457e-10,43.947386,1.5999274e-15
21.2343,273.3064,1.8718602e-10,39.057806,1.1231161e-15
21.3904,223.50995,1.5308071e-10,36.524998,9.1848428e-16
21.46645,226.13257,1.5487693e-10,36.667302,9.2926159e-16
23.3275,43.101982,2.9520306e-11,21.102002,1.7712184e-16
23.33805,347.68393,2.3812678e-10,42.320695,1.4287607e-15
24.3133,316.75565,2.1694417e-10,41.026648,1.301665e-15
24.76805,241.03088,1.650807e-10,37.45549,9.9048422e-16
25.88335,148.58145,1.017626e-10,31.877147,6.1057563e-16
26.5448,363.6123,2.4903603e-10,42.957346,1.4942162e-15
27.3648,245.6118,1.6821815e-10,37.691289,1.0093089e-15
28.7875,253.75546,1.737957e-10,38.10334,1.0427742e-15
29.1238,183.30609,1.2554532e-10,34.188776,7.532719e-16
29.5061,177.5098,1.2157547e-10,33.82455,7.294528e-16
29.86235,90.377563,6.1899088e-11,27.009184,3.7139453e-16
30.1585,186.20425,1.2753025e-10,34.368015,7.6518151e-16
30.8282,192.75519,1.3201695e-10,34.766417,7.921017e-16
31.2458,99.653046,6.8251814e-11,27.903249,4.0951088e-16
31.39805,206.58165,1.4148662e-10,35.578571,8.489197e-16
31.84225,121.37767,8.3130887e-11,29.799171,4.9878532e-16
32.16685,211.13251,1.4460347e-10,35.837933,8.6762084e-16
32.7809,146.30597,1.0020414e-10,31.71358,6.0122484e-16
33.09935,109.92854,7.5289444e-11,28.831113,4.5173667e-16
35.7373,666.07233,4.5618921e-10,52.561173,2.7371353e-15
35.88535,286.48019,1.9620868e-10,39.675534,1.1772521e-15
38.79695,319.58209,2.1887999e-10,41.148315,1.3132799e-15
39.1017,156.20419,1.0698338e-10,32.413218,6.4190027e-16
40.24265,84.928497,5.8167053e-11,26.455079,3.4900232e-16
40.45155,401.03143,2.7466419e-10,44.383075,1.6479851e-15
41.174,139.65317,9.5647673e-11,31.225412,5.7388604e-16
41.75325,90.030365,6.1661293e-11,26.974553,3.6996776e-16
42.45405,207.92883,1.4240929e-10,35.655743,8.5445577e-16
43.20685,150.92871,1.0337023e-10,32.044134,6.2022138e-16
45.0774,240.30624,1.645844e-10,37.417916,9.8750641e-16
47.35415,116.37762,7.9706384e-11,29.384237,4.782383e-16
48.13985,1081.3503,7.406108e-10,61.77509,4.4436648e-15
#
# End of export
