# SPCal Export 1.2.7
# Date,Mon Jul 15 18:28:00 2024
# File,C:\Users\p1196157\Documents\Guadalupe\SP-ICP-MS\Raw data\2024-05-28_Cu_AF_paint\2-12_2.csv
# Acquisition events,499999
#
# Options and inputs,Cu,
# Density,6,g/cm3
# Dwelltime,0.1,ms
# Efficiency,0.0041521992,
# Mass fraction,0.8881,
# Molar mass,143.09,g/mol
# Response,2.412,counts/(μg/L)
# Time,49.9999,s
# Uptake,0.212,ml/min
#
# Limit method,Poisson (alpha=0.001)
#
# Detection results,Cu,
# Particle number,1764
# Number error,42
# Number concentration,2.4047318e+09,#/L
# Mass concentration,0.30717924,μg/L
#
# Background,7.2392945,counts
#,11.642779,nm
# Background error,3.2686145,counts
# Ionic background,3.0013659,μg/L
#
# Mean,Cu,
#,186.50977,counts
#,1.277395e-10,μg
#,31.291552,nm
#,7.6643699e-16,m³
# Median,Cu,
#,108.63233,counts
#,7.4401674e-11,μg
#,28.717343,nm
#,4.4641004e-16,m³
# Limits of detection,Cu,
#,18.079021,counts
#,1.238222e-11,μg
#,15.796088,nm
#,7.4293322e-17,m³
#
# Raw detection data
Time,Cu,,Cu,,Cu,,Cu,
s,counts,μg,nm,m³
0.0067,330.63312,2.2644877e-10,41.617249,1.3586926e-15
0.01785,35.237114,2.4133702e-11,19.731406,1.4480221e-16
0.05085,204.71155,1.4020579e-10,35.470885,8.4123476e-16
0.0631,102.63232,7.02923e-11,28.178592,4.217538e-16
0.07975,101.86936,6.9769756e-11,28.108593,4.1861854e-16
0.1988,76.790314,5.2593256e-11,25.581543,3.1555954e-16
0.20405,41.395164,2.8351317e-11,20.819699,1.701079e-16
0.226,83.632278,5.727928e-11,26.319798,3.4367568e-16
0.2476,218.42278,1.4959654e-10,36.245761,8.9757922e-16
0.2591,80.632286,5.5224602e-11,26.001251,3.3134761e-16
0.2686,37.316132,2.555761e-11,20.112071,1.5334566e-16
0.3003,69.474213,4.75825e-11,24.741867,2.85495e-16
0.3493,78.474228,5.374656e-11,25.767182,3.2247936e-16
0.3918,51.316154,3.5146147e-11,22.365363,2.1087688e-16
0.45145,111.55331,7.6402236e-11,28.972462,4.5841341e-16
0.5122,112.31628,7.6924795e-11,29.038365,4.6154877e-16
0.56765,502.87091,3.4441347e-10,47.860447,2.0664808e-15
0.59785,2930.4478,2.0070473e-09,86.126324,1.2042284e-14
0.69875,139.1855,9.5327371e-11,31.190518,5.7196423e-16
0.7055,221.58081,1.5175946e-10,36.419611,9.1055675e-16
0.72185,250.86981,1.7181933e-10,37.958355,1.030916e-15
0.76195,90.711319,6.2127675e-11,27.04239,3.7276605e-16
0.76575,58.553226,4.0102777e-11,23.370869,2.4061666e-16
0.82425,126.1855,8.6423744e-11,30.187541,5.1854246e-16
0.8561,45.47419,3.1145018e-11,21.48224,1.8687011e-16
0.859,57.632252,3.9472007e-11,23.247689,2.3683204e-16
0.89295,166.71149,1.1417976e-10,33.124278,6.8507859e-16
0.92905,73.553246,5.0376206e-11,25.21691,3.0225724e-16
0.93275,221.71169,1.5184909e-10,36.426779,9.1109456e-16
0.94725,67.027367,4.5906668e-11,24.447923,2.7544001e-16
1.12765,107.55331,7.3662663e-11,28.621948,4.4197598e-16
1.14715,111.8694,7.6618726e-11,28.999801,4.5971236e-16
1.1605,218.58072,1.4970471e-10,36.254495,8.9822827e-16
1.27195,251.71172,1.7239595e-10,38.00077,1.0343757e-15
1.279,147.26456,1.0086067e-10,31.782691,6.0516403e-16
1.3265,57.632248,3.9472004e-11,23.247688,2.3683203e-16
1.33325,167.86949,1.1497288e-10,33.200797,6.8983725e-16
1.3571,77.632271,5.3169908e-11,25.674698,3.1901945e-16
1.36585,82.553268,5.6540272e-11,26.206117,3.3924163e-16
1.37235,93.711319,6.4182358e-11,27.337278,3.8509415e-16
1.43135,151.18555,1.0354614e-10,32.0623,6.2127681e-16
1.49615,102.55331,7.0238191e-11,28.17136,4.2142915e-16
1.498,103.94841,7.1193685e-11,28.298529,4.2716211e-16
1.5514,130.47435,8.9361152e-11,30.525747,5.3616691e-16
1.56975,93.395248,6.3965883e-11,27.306509,3.837953e-16
