# SPCal Export 1.2.7
# Date,Mon Jul 29 13:45:24 2024
# File,C:\Users\p1196157\Documents\Guadalupe\SP-ICP-MS\Raw data\2024-07-14_t2_samples_some\2-28_4x_1.csv
# Acquisition events,499999
#
# Options and inputs,Cu,
# Density,6,g/cm3
# Dwelltime,0.1,ms
# Efficiency,0.03401655,
# Mass fraction,0.8881,
# Molar mass,143.09,g/mol
# Response,1.992,counts/(μg/L)
# Time,49.9999,s
# Uptake,0.193,ml/min
#
# Limit method,Poisson (alpha=0.001)
#
# Detection results,Cu,
# Particle number,273
# Number error,16.522712
# Number concentration,49899614,#/L
# Mass concentration,0.18671417,μg/L
#
# Background,8.7048855,counts
#,25.782168,nm
# Background error,3.6694865,counts
# Ionic background,4.3699224,μg/L
#
# Mean,Cu,
#,604.97156,counts
#,3.7417958e-09,μg
#,70.551557,nm
#,2.2450775e-14,m³
# Median,Cu,
#,124.6673,counts
#,7.7107685e-10,μg
#,62.610802,nm
#,4.6264611e-15,m³
# Limits of detection,Cu,
#,18.963012,counts
#,1.1728769e-10,μg
#,33.422135,nm
#,7.0372615e-16,m³
#
# Raw detection data
Time,Cu,,Cu,,Cu,,Cu,
s,counts,μg,nm,m³
0.22715,127.7413,7.9008981e-10,63.121241,4.7405389e-15
1.6023,109.77826,6.7898701e-10,60.011875,4.073922e-15
1.6031,168.77846,1.0439078e-09,69.263445,6.2634467e-15
1.7242,48.852119,3.0215413e-10,45.816955,1.8129248e-15
1.8905,516.48401,3.1944935e-09,100.55817,1.9166961e-14
1.9612,61.778152,3.8210264e-10,49.546166,2.2926158e-15
2.027,194.63045,1.2038043e-09,72.633228,7.222826e-15
2.8081,93.704239,5.7956795e-10,56.926982,3.4774077e-15
3.09215,58.81514,3.6377618e-10,48.74104,2.1826571e-15
3.29555,54.741154,3.3857826e-10,47.588615,2.0314696e-15
3.554,260.70471,1.6124788e-09,80.065984,9.6748726e-15
3.5621,138.77834,8.5835472e-10,64.889183,5.1501283e-15
4.0947,201.77853,1.2480158e-09,73.511746,7.4880948e-15
4.18105,54.815136,3.3903585e-10,47.610044,2.0342151e-15
4.42835,70.74118,4.3753966e-10,51.83493,2.625238e-15
4.63485,56.741161,3.5094846e-10,48.161258,2.1056908e-15
4.90905,10502.395,6.4958121e-08,274.46977,3.8974872e-13
5.31755,84.741203,5.2413088e-10,55.050757,3.1447853e-15
5.6297,96.704231,5.9812313e-10,57.528128,3.5887388e-15
5.82415,62.741169,3.8805897e-10,49.802287,2.3283538e-15
6.63885,298.66797,1.8472844e-09,83.77761,1.1083707e-14
6.69335,124.7413,7.7153458e-10,62.623188,4.6292075e-15
6.73055,128.74129,7.962748e-10,63.285522,4.7776488e-15
6.8912,83.778198,5.1817462e-10,54.841428,3.1090477e-15
6.97835,106.66728,6.5974537e-10,59.439547,3.9584722e-15
7.1465,230.77867,1.4273839e-09,76.877097,8.5643033e-15
7.15075,69.815155,4.3181212e-10,51.607757,2.5908727e-15
7.25215,479.44641,2.9654131e-09,98.094602,1.7792478e-14
7.42755,52.815128,3.2666564e-10,47.023815,1.9599939e-15
7.7461,210.63054,1.3027661e-09,74.571383,7.8165968e-15
7.86205,32.815109,2.0296398e-10,40.125738,1.2177839e-15
8.09235,76.81517,4.7510776e-10,53.277939,2.8506465e-15
8.2178,213.70454,1.3217791e-09,74.932405,7.9306746e-15
8.60555,141.66737,8.7622364e-10,65.336374,5.2573418e-15
8.6733,86.778206,5.367299e-10,55.488371,3.2203794e-15
9.378,61.704178,3.816451e-10,49.526382,2.2898706e-15
9.6979,152.6304,9.4403081e-10,66.980045,5.6641849e-15
9.70775,282.74188,1.7487804e-09,82.261217,1.0492682e-14
9.74455,658.52173,4.0730077e-09,109.04066,2.4438046e-14
9.92795,89.667229,5.5459873e-10,56.097434,3.3275924e-15
9.9786,320.63092,1.983127e-09,85.7828,1.1898762e-14
10.18385,396.66858,2.4534258e-09,92.088984,1.4720555e-14
11.2102,40.77813,2.5221588e-10,43.139408,1.5132953e-15
11.463,53.778145,3.3262198e-10,47.307902,1.9957319e-15
11.78025,72.815186,4.5036754e-10,52.336628,2.7022053e-15
12.15285,422.74261,2.6146957e-09,94.064069,1.5688174e-14
12.9193,85.778198,5.3054478e-10,55.274402,3.1832687e-15
12.9294,126.7783,7.8413355e-10,62.962223,4.7048013e-15
13.10055,199.74153,1.2354168e-09,73.263536,7.4125007e-15
13.2215,100.70423,6.2286344e-10,58.31062,3.7371807e-15
13.397,125.7043,7.774908e-10,62.783925,4.6649448e-15
13.414,53.778145,3.3262198e-10,47.307902,1.9957319e-15
13.62885,35.815113,2.2151924e-10,41.313044,1.3291154e-15
13.8614,147.70435,9.1356278e-10,66.25157,5.4813767e-15
14.241,91.778214,5.6765533e-10,56.534248,3.405932e-15
14.26605,182.66748,1.1298125e-09,71.113518,6.7788748e-15
14.3763,83.778198,5.1817462e-10,54.841428,3.1090477e-15
14.43055,180.59344,1.1169844e-09,70.843348,6.7019064e-15
14.4473,87.778214,5.4291502e-10,55.700701,3.2574901e-15
14.75085,162.74139,1.0065681e-09,68.427566,6.0394085e-15
15.13995,88.667236,5.484137e-10,55.888117,3.2904822e-15
15.5558,150.63036,9.3166038e-10,66.686192,5.5899623e-15
15.9632,125.7043,7.774908e-10,62.783925,4.6649448e-15
16.0168,202.70454,1.2537432e-09,73.624029,7.5224595e-15
16.1795,124.55632,7.7039045e-10,62.592218,4.6223427e-15
16.3413,286.70493,1.7732921e-09,82.643773,1.0639753e-14
16.46965,80.741203,4.9939057e-10,54.17058,2.9963434e-15
16.84945,50.815132,3.1429551e-10,46.422597,1.8857731e-15
17.25775,117.66729,7.2778127e-10,61.416303,4.3666876e-15
17.70035,297.74197,1.8415571e-09,83.690938,1.1049343e-14
18.18365,30336.697,1.8763481e-07,390.88996,1.1258089e-12
18.57125,76.741188,4.7465017e-10,53.260829,2.847901e-15
18.5965,99.704239,6.1667841e-10,58.116969,3.7000705e-15
18.97005,124.6673,7.7107685e-10,62.610802,4.6264611e-15
19.0783,110.70424,6.8471426e-10,60.180136,4.1082856e-15
19.1491,454.55756,2.8114736e-09,96.366934,1.6868841e-14
19.5692,163.63039,1.0120666e-09,68.551938,6.0723994e-15
19.6726,220.48254,1.3637015e-09,75.716376,8.1822093e-15
19.7233,356.77927,2.2067073e-09,88.892466,1.3240244e-14
20.07135,87.741203,5.4268611e-10,55.692872,3.2561167e-15
20.0794,20770.789,1.2846893e-07,344.5213,7.708136e-13
20.4286,63.778164,3.9447287e-10,50.075169,2.3668372e-15
20.6091,271.48288,1.6791426e-09,81.154492,1.0074855e-14
20.7676,735.4104,4.5485701e-09,113.12928,2.729142e-14
20.8669,94.630264,5.8529549e-10,57.113894,3.5117729e-15
21.0308,215.70461,1.3341496e-09,75.165443,8.0048978e-15
21.07645,60.815147,3.7614638e-10,49.287373,2.2568783e-15
21.447,392.55719,2.4279965e-09,91.769718,1.4567979e-14
21.83815,64.741173,4.0042915e-10,50.325945,2.4025749e-15
22.1511,276.55676,1.7105249e-09,81.656954,1.026315e-14
22.3548,107.63029,6.6570163e-10,59.617887,3.9942098e-15
22.3727,126.70432,7.8367597e-10,62.949974,4.7020558e-15
22.46085,44.889095,2.7764252e-10,44.542922,1.6658551e-15
22.71265,94.519272,5.8460899e-10,57.091555,3.5076539e-15
22.7992,36.926079,2.2839065e-10,41.735871,1.3703439e-15
22.9674,166.40845,1.0292491e-09,68.937713,6.1754945e-15
23.03255,78.741196,4.8702037e-10,53.719556,2.9221222e-15
23.1864,150.70441,9.3211839e-10,66.697118,5.5927103e-15
23.464,85.630257,5.2962975e-10,55.242607,3.1777785e-15
23.54035,280.66779,1.7359519e-09,82.059577,1.0415711e-14
23.5689,338.33481,2.0926269e-09,87.333455,1.2555761e-14
24.4562,47.778141,2.9551149e-10,45.478713,1.7730689e-15
24.5958,213.3345,1.3194904e-09,74.88913,7.9169422e-15
24.7082,119.63029,7.3992261e-10,61.75595,4.4395356e-15
24.79655,140.74135,8.704961e-10,65.193703,5.2229766e-15
24.8109,66.778168,4.1302812e-10,50.848317,2.4781687e-15
24.8516,84.704216,5.2390211e-10,55.042746,3.1434127e-15
25.2208,284.70474,1.7609208e-09,82.451137,1.0565525e-14
25.7721,248.48274,1.5368849e-09,78.794728,9.2213096e-15
26.0927,293.40872,1.8147556e-09,83.282948,1.0888534e-14
26.4458,120.33438,7.4427743e-10,61.876868,4.4656646e-15
26.51735,59.741169,3.6950374e-10,48.995514,2.2170224e-15
26.9867,106.63028,6.5951651e-10,59.432673,3.957099e-15
27.0136,152.70438,9.4448835e-10,66.990864,5.6669301e-15
27.0475,98.630249,6.100357e-10,57.907541,3.6602142e-15
27.06975,384.29803,2.376913e-09,91.121558,1.4261478e-14
27.4988,136.7043,8.4552664e-10,64.564304,5.0731599e-15
28.4765,108.63028,6.7188666e-10,59.801955,4.03132e-15
28.63055,163.51938,1.01138e-09,68.536432,6.0682799e-15
28.74745,72.81517,4.5036745e-10,52.336624,2.7022047e-15
28.7625,20315.082,1.2565035e-07,341.98307,7.539021e-13
28.85595,68.74118,4.2516951e-10,51.341759,2.551017e-15
29.1818,84.556267,5.2298704e-10,55.01068,3.1379222e-15
29.2729,86.4823,5.348997e-10,55.425229,3.2093982e-15
29.3065,30253.807,1.8712213e-07,390.53362,1.1227328e-12
29.3493,58.704174,3.6308985e-10,48.710368,2.1785391e-15
29.38505,269.66785,1.6679164e-09,80.973232,1.0007499e-14
29.5127,192.63046,1.1914343e-09,72.383582,7.1486057e-15
29.622,154.48241,9.5548561e-10,67.249866,5.7329136e-15
30.26345,95.593277,5.912518e-10,57.306981,3.5475108e-15
30.55975,107.59329,6.6547282e-10,59.611056,3.9928369e-15
30.6083,142.63036,8.8217976e-10,65.484081,5.2930785e-15
30.65725,172.74139,1.0684189e-09,69.801361,6.4105131e-15
30.79055,101.5193,6.2790472e-10,58.467514,3.7674283e-15
30.95345,58.815144,3.637762e-10,48.741041,2.1826572e-15
31.125,362.55719,2.2424442e-09,89.36976,1.3454665e-14
31.3932,152.48239,9.4311536e-10,66.958387,5.6586921e-15
31.4672,62.778164,3.8828779e-10,49.812073,2.3297267e-15
31.6233,123.55631,7.6420533e-10,62.424259,4.585232e-15
31.73535,154.74138,9.5708737e-10,67.287424,5.7425242e-15
32.18725,281.74179,1.7425947e-09,82.164113,1.0455568e-14
32.7086,65.77816,4.06843e-10,50.59322,2.441058e-15
32.8141,107.5563,6.6524405e-10,59.604224,3.9914643e-15
33.0664,546.48438,3.380048e-09,102.46865,2.0280288e-14
33.32185,53.815136,3.3285077e-10,47.318746,1.9971046e-15
33.76035,122.59333,7.5824921e-10,62.26166,4.5494953e-15
33.9159,37.8521,2.3411816e-10,42.081875,1.404709e-15
34.21755,88.741203,5.4887119e-10,55.903653,3.2932271e-15
34.41885,174.37146,1.0785009e-09,70.020233,6.4710056e-15
34.4588,107.48232,6.6478646e-10,59.590555,3.9887188e-15
34.53785,113.59331,7.0258337e-10,60.699158,4.2155002e-15
34.62055,64.667206,3.9997166e-10,50.306772,2.39983e-15
34.94875,109.74125,6.7875809e-10,60.00513,4.0725486e-15
35.00925,107.66726,6.6593031e-10,59.624713,3.9955818e-15
35.0686,71.778168,4.4395351e-10,52.086983,2.663721e-15
35.27395,146.66737,9.0714902e-10,66.096164,5.4428941e-15
35.55275,88.667229,5.4841365e-10,55.888115,3.2904819e-15
35.7207,78.778175,4.8724909e-10,53.727965,2.9234946e-15
36.17835,133.29741,8.2445476e-10,64.023437,4.9467286e-15
36.256,234.70467,1.4516665e-09,77.310591,8.7099988e-15
36.36725,248.51967,1.5371133e-09,78.798631,9.22268e-15
36.5079,52.704166,3.2597934e-10,46.990861,1.955876e-15
36.52195,93.667236,5.7933909e-10,56.919488,3.4760345e-15
36.9116,270.6308,1.6738724e-09,81.069499,1.0043234e-14
37.0272,190.4825,1.178149e-09,72.113533,7.0688937e-15
37.1794,124.55634,7.7039055e-10,62.59222,4.6223433e-15
37.28125,60.741173,3.7568884e-10,49.267381,2.254133e-15
