# SPCal Export 1.2.7
# Date,Mon Jul 29 13:45:24 2024
# File,C:\Users\p1196157\Documents\Guadalupe\SP-ICP-MS\Raw data\2024-07-14_t2_samples_some\2-28_4x.csv
# Acquisition events,499999
#
# Options and inputs,Cu,
# Density,6,g/cm3
# Dwelltime,0.1,ms
# Efficiency,0.03401655,
# Mass fraction,0.8881,
# Molar mass,143.09,g/mol
# Response,1.992,counts/(μg/L)
# Time,49.9999,s
# Uptake,0.193,ml/min
#
# Limit method,Poisson (alpha=0.001)
#
# Detection results,Cu,
# Particle number,282
# Number error,16.792856
# Number concentration,51544656,#/L
# Mass concentration,0.23007992,μg/L
#
# Background,3.8829093,counts
#,19.699302,nm
# Background error,2.3250859,counts
# Ionic background,1.9492517,μg/L
#
# Mean,Cu,
#,721.68876,counts
#,4.4637007e-09,μg
#,68.228579,nm
#,2.6782204e-14,m³
# Median,Cu,
#,98.516853,counts
#,6.0933434e-10,μg
#,57.885213,nm
#,3.656006e-15,m³
# Limits of detection,Cu,
#,15.707853,counts
#,9.7154285e-11,μg
#,31.38851,nm
#,5.8292571e-16,m³
#
# Raw detection data
Time,Cu,,Cu,,Cu,,Cu,
s,counts,μg,nm,m³
0.13745,47.955009,2.9660543e-10,45.534763,1.7796326e-15
0.7607,232.66336,1.4390408e-09,77.085806,8.634245e-15
0.91785,186.78665,1.1552899e-09,71.644089,6.9317391e-15
1.1628,65.247169,4.0355878e-10,50.456715,2.4213527e-15
1.375,282.07916,1.7446814e-09,82.196896,1.0468088e-14
1.6357,210.49454,1.301925e-09,74.555329,7.8115497e-15
1.65505,414.20316,2.5618785e-09,93.426386,1.5371271e-14
1.69435,183.95526,1.1377775e-09,71.28024,6.8266649e-15
2.09335,45.955009,2.8423528e-10,44.892732,1.7054117e-15
2.3836,127.24728,7.8703427e-10,63.039766,4.7222056e-15
2.3881,121.24728,7.4992376e-10,62.032947,4.4995426e-15
2.4243,56.247169,3.4789308e-10,48.021086,2.0873585e-15
2.52495,219.61807,1.3583547e-09,75.61729,8.1501284e-15
2.72445,129.95515,8.0378266e-10,63.483801,4.822696e-15
2.7882,139.0787,8.6021252e-10,64.935965,5.1612751e-15
3.12275,72.955032,4.5123251e-10,52.370112,2.707395e-15
3.14615,38.955009,2.4093974e-10,42.486686,1.4456384e-15
3.18705,114.3708,7.073922e-10,60.837328,4.2443532e-15
3.24205,82.955048,5.1308337e-10,54.661224,3.0785002e-15
3.4162,74.247192,4.5922461e-10,52.677493,2.7553477e-15
3.61555,53.53931,3.3114477e-10,47.237765,1.9868686e-15
3.7833,379.49506,2.3472062e-09,90.740352,1.4083237e-14
3.83495,80.370758,4.9709934e-10,54.087608,2.982596e-15
3.96675,75.370743,4.6617386e-10,52.941879,2.7970432e-15
4.6387,381.49524,2.3595775e-09,90.899492,1.4157465e-14
5.2076,139.49437,8.6278344e-10,65.000592,5.1767006e-15
5.37945,225.78676,1.3965085e-09,76.318748,8.3790511e-15
5.5846,94.247231,5.8292639e-10,57.03673,3.4975584e-15
