# SPCal Export 1.2.4
# Date,Mon Jun 24 22:13:16 2024
# File,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Nano\RawData\Guadalupe RawData\2024-05-28_Cu_AF_paint\4-10_1.csv
# Acquisition events,499999
#
# Options and inputs,Cu,
# Density,8.92,g/cm3
# Dwelltime,0.1,ms
# Efficiency,0.0041561106,
# Mass fraction,1,
# Molar mass,63.546,g/mol
# Response,2.412,counts/(μg/L)
# Time,49.9999,s
# Uptake,0.212,ml/min
#
# Limit method,Gaussian (alpha=2.867e-07)
#
# Detection results,Cu,
# Particle number,389
# Number error,19.723083
# Number concentration,5.297961e+08,#/L
# Mass concentration,0.12306421,μg/L
#
# Background,12.579896,counts
#,11.792412,nm
# Background error,5.6714544,counts
# Ionic background,5.2155456,μg/L
#
# Mean,Cu,
#,381.52992,counts
#,2.3228599e-10,μg
#,34.959785,nm
#,2.071991e-15,m³
# Median,Cu,
#,290.08591,counts
#,1.7661234e-10,μg
#,33.564938,nm
#,1.575382e-15,m³
# Limits of detection,Cu,
#,45.131265,counts
#,2.7477165e-11,μg
#,18.05245,nm
#,2.4509631e-16,m³
#
# Peak composition,count,Cu,,error
# Raw detection data
Time,Cu,,Cu,,Cu,,Cu,,cluster idx,cluster idx,cluster idx
s,counts,μg,nm,m³,signal,mass,size
0.00325,218.84445,1.3323857e-10,30.55546,1.188488e-15,1,1,1
0.02795,524.32819,3.1922553e-10,40.886322,2.8474917e-15,1,1,1
0.23095,192.84436,1.1740899e-10,29.294041,1.0472882e-15,1,1,1
0.25175,228.08556,1.3886481e-10,30.979631,1.2386741e-15,1,1,1
0.334,192.9649,1.1748238e-10,29.300144,1.0479428e-15,1,1,1
0.33835,363.29156,2.2118197e-10,36.17946,1.9729432e-15,1,1,1
0.4257,313.44769,1.9083564e-10,34.442817,1.7022539e-15,1,1,1
0.46795,542.81036,3.3047799e-10,41.36119,2.9478637e-15,1,1,1
0.5476,271.20636,1.6511795e-10,32.82038,1.4728521e-15,1,1,1
0.5517,157.96484,9.6173373e-11,27.409248,8.5786649e-16,1,1,1
0.701,431.41241,2.6265583e-10,38.312562,2.34289e-15,1,1,1
0.8917,354.85873,2.1604783e-10,35.89733,1.9271466e-15,1,1,1
0.8982,263.68848,1.6054085e-10,32.514271,1.4320244e-15,1,1,1
0.94785,312.77356,1.9042521e-10,34.418108,1.6985929e-15,1,1,1
1.0393,260.96524,1.5888287e-10,32.401954,1.4172352e-15,1,1,1
1.0583,235.44725,1.4334681e-10,31.309408,1.2786535e-15,1,1,1
1.0817,1461.9427,8.9007125e-10,57.546701,7.9394355e-15,1,1,1
1.16555,248.08565,1.5104142e-10,31.859884,1.3472894e-15,1,1,1
1.17215,345.08609,2.1009797e-10,35.564726,1.8740739e-15,1,1,1
1.1905,277.68854,1.6906447e-10,33.079807,1.5080551e-15,1,1,1
1.2289,314.20654,1.9129765e-10,34.47059,1.706375e-15,1,1,1
1.24455,331.56824,2.0186793e-10,35.094141,1.8006619e-15,1,1,1
1.40825,337.56836,2.0552097e-10,35.304567,1.833247e-15,1,1,1
1.58135,192.32657,1.1709374e-10,29.267799,1.0444762e-15,1,1,1
1.66785,627.57037,3.8208223e-10,43.4108,3.4081735e-15,1,1,1
1.6857,383.9299,2.3374716e-10,36.851991,2.0850247e-15,1,1,1
1.7061,220.44724,1.3421438e-10,30.629873,1.1971923e-15,1,1,1
1.79065,465.05099,2.8313593e-10,39.28353,2.5255725e-15,1,1,1
1.8027,288.17068,1.754463e-10,33.490907,1.564981e-15,1,1,1
1.8328,703.6911,4.2842664e-10,45.099424,3.8215656e-15,1,1,1
2.03345,522.08728,3.178612e-10,40.827991,2.8353219e-15,1,1,1
2.04755,463.32791,2.8208687e-10,39.234952,2.5162149e-15,1,1,1
2.1066,151.96478,9.252037e-11,27.057726,8.252817e-16,1,1,1
2.1854,204.96498,1.2478836e-10,29.895342,1.1131122e-15,1,1,1
2.3466,186.96489,1.138294e-10,28.993256,1.0153583e-15,1,1,1
2.4359,1143.0083,6.9589512e-10,53.01435,6.2073845e-15,1,1,1
2.56425,1065.0376,6.484244e-10,51.780387,5.7839456e-15,1,1,1
2.9396,234.44727,1.4273799e-10,31.265019,1.2732229e-15,1,1,1
3.1787,218.2061,1.3284992e-10,30.525722,1.1850213e-15,1,1,1
3.3532,803.16321,4.8898801e-10,47.131534,4.3617731e-15,1,1,1
3.47295,954.65259,5.8121894e-10,49.925845,5.184473e-15,1,1,1
3.53155,207.80881,1.2651976e-10,30.032971,1.1285563e-15,1,1,1
3.5972,333.92978,2.033057e-10,35.177261,1.8134869e-15,1,1,1
3.6358,282.17068,1.7179333e-10,33.256837,1.5323965e-15,1,1,1
3.75285,187.08546,1.1390281e-10,28.999488,1.0160131e-15,1,1,1
3.82535,370.25592,2.2542206e-10,36.409187,2.0107648e-15,1,1,1
3.86235,206.04993,1.254489e-10,29.947998,1.1190042e-15,1,1,1
3.94455,496.32809,3.0217829e-10,40.145166,2.6954304e-15,1,1,1
4.04565,558.56995,3.4007286e-10,41.757661,3.0334499e-15,1,1,1
4.2029,309.89417,1.8867215e-10,34.312164,1.6829556e-15,1,1,1
4.3425,594.41339,3.6189534e-10,42.632406,3.2281064e-15,1,1,1
4.4742,497.68976,3.0300731e-10,40.181845,2.7028252e-15,1,1,1
4.7745,196.20605,1.1945568e-10,29.463281,1.0655447e-15,1,1,1
4.8562,240.17064,1.4622254e-10,31.517393,1.304305e-15,1,1,1
4.92175,407.77414,2.4826419e-10,37.599627,2.2145166e-15,1,1,1
4.9344,792.41461,4.8244397e-10,46.920338,4.3034002e-15,1,1,1
4.94145,198.80882,1.2104032e-10,29.592991,1.0796796e-15,1,1,1
4.99865,229.04996,1.3945196e-10,31.023233,1.2439115e-15,1,1,1
5.45675,543.08752,3.3064673e-10,41.368228,2.9493688e-15,1,1,1
5.51375,213.80885,1.3017275e-10,30.319279,1.161141e-15,1,1,1
