# SPCal Export 1.2.4
# Date,Mon Jun 24 22:13:16 2024
# File,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Nano\RawData\Guadalupe RawData\2024-05-28_Cu_AF_paint\4-10_2.csv
# Acquisition events,499999
#
# Options and inputs,Cu,
# Density,8.92,g/cm3
# Dwelltime,0.1,ms
# Efficiency,0.0041561106,
# Mass fraction,1,
# Molar mass,63.546,g/mol
# Response,2.412,counts/(μg/L)
# Time,49.9999,s
# Uptake,0.212,ml/min
#
# Limit method,Poisson (alpha=0.001)
#
# Detection results,Cu,
# Particle number,1753
# Number error,41.868843
# Number concentration,2.3874873e+09,#/L
# Mass concentration,0.21450778,μg/L
#
# Background,8.3228073,counts
#,10.275436,nm
# Background error,3.9424829,counts
# Ionic background,3.4505835,μg/L
#
# Mean,Cu,
#,147.57323,counts
#,8.984667e-11,μg
#,25.133981,nm
#,8.014323e-16,m³
# Median,Cu,
#,101.84182,counts
#,6.2004121e-11,μg
#,23.6784,nm
#,5.5307676e-16,m³
# Limits of detection,Cu,
#,19.141668,counts
#,1.1653978e-11,μg
#,13.563452,nm
#,1.0395348e-16,m³
#
# Peak composition,count,Cu,,error
# Raw detection data
Time,Cu,,Cu,,Cu,,Cu,,cluster idx,cluster idx,cluster idx
s,counts,μg,nm,m³,signal,mass,size
0.03235,83.991806,5.1136538e-11,22.205264,4.5613792e-16,1,1,1
0.03955,89.991798,5.47895e-11,22.721899,4.8872234e-16,1,1,1
0.045,449.98499,2.7396333e-10,38.854648,2.4437529e-15,1,1,1
0.06975,1803.5624,1.0980587e-09,61.719258,9.794684e-15,1,1,1
0.08815,177.69196,1.0818379e-10,28.505778,9.6499937e-16,1,1,1
0.10355,74.275124,4.5220753e-11,21.313663,4.0336912e-16,1,1,1
0.12845,87.841827,5.3480538e-11,22.539491,4.770464e-16,1,1,1
0.14995,158.99197,9.6798718e-11,27.468527,8.6344457e-16,1,1,1
0.1894,199.70047,1.2158318e-10,29.637166,1.084522e-15,1,1,1
0.22385,153.9753,9.3744426e-11,27.176529,8.3620028e-16,1,1,1
0.25245,62.991768,3.8351133e-11,20.174599,3.4209211e-16,1,1,1
0.27705,80.841805,4.921873e-11,21.924127,4.3903107e-16,1,1,1
0.2804,69.850105,4.2526679e-11,20.881707,3.7933798e-16,1,1,1
0.28805,82.275131,5.0091379e-11,22.05294,4.468151e-16,1,1,1
0.29705,149.55859,9.1055415e-11,26.914156,8.122143e-16,1,1,1
0.33025,58.708424,3.5743315e-11,19.706543,3.1883037e-16,1,1,1
0.3522,93.416809,5.6874741e-11,23.006576,5.0732269e-16,1,1,1
0.385,264.55048,1.6106566e-10,32.549663,1.4367057e-15,1,1,1
0.4022,116.13351,7.0705301e-11,24.7379,6.3069128e-16,1,1,1
0.42815,49.708405,3.0263854e-11,18.643191,2.6995358e-16,1,1,1
0.4366,486.81754,2.96388e-10,39.887093,2.643781e-15,1,1,1
0.4685,41.850067,2.547948e-11,17.603906,2.2727696e-16,1,1,1
0.49605,136.55856,8.3140637e-11,26.110586,7.4161448e-16,1,1,1
0.56035,94.275169,5.7397335e-11,23.076826,5.1198423e-16,1,1,1
0.5654,97.850159,5.9573887e-11,23.364912,5.3139908e-16,1,1,1
0.56665,63.991768,3.8959961e-11,20.280797,3.4752285e-16,1,1,1
0.65235,370.84259,2.2577924e-10,36.428407,2.0139508e-15,1,1,1
0.66545,167.84201,1.0218687e-10,27.969017,9.1150684e-16,1,1,1
0.6742,631.98529,3.8477015e-10,43.512359,3.4321498e-15,1,1,1
0.68695,49.991753,3.0436364e-11,18.678547,2.7149237e-16,1,1,1
0.6886,75.850128,4.6179659e-11,21.463263,4.1192256e-16,1,1,1
0.6928,55.850086,3.400308e-11,19.38139,3.0330747e-16,1,1,1
0.7129,135.26688,8.2354222e-11,26.028,7.3459966e-16,1,1,1
0.726,72.700134,4.4261856e-11,21.161935,3.9481575e-16,1,1,1
0.7282,54.85009,3.3394254e-11,19.265018,2.9787675e-16,1,1,1
0.77295,97.991821,5.9660136e-11,23.376182,5.3216841e-16,1,1,1
0.776,141.41692,8.6098536e-11,26.416631,7.6799894e-16,1,1,1
0.7906,402.26779,2.4491178e-10,37.429618,2.184613e-15,1,1,1
0.8294,393.70099,2.3969607e-10,37.162006,2.1380889e-15,1,1,1
0.87515,82.275124,5.0091375e-11,22.05294,4.4681506e-16,1,1,1
