# SPCal Export 1.2.7
# Date,Mon Jul 15 18:28:01 2024
# File,C:\Users\p1196157\Documents\Guadalupe\SP-ICP-MS\Raw data\2024-05-28_Cu_AF_paint\4-11_1.csv
# Acquisition events,499999
#
# Options and inputs,Cu,
# Density,6,g/cm3
# Dwelltime,0.1,ms
# Efficiency,0.0041521992,
# Mass fraction,0.8881,
# Molar mass,143.09,g/mol
# Response,2.412,counts/(μg/L)
# Time,49.9999,s
# Uptake,0.212,ml/min
#
# Limit method,Poisson (alpha=0.001)
#
# Detection results,Cu,
# Particle number,423
# Number error,20.566964
# Number concentration,5.7664488e+08,#/L
# Mass concentration,0.05166242,μg/L
#
# Background,4.631968,counts
#,10.032591,nm
# Background error,2.3890948,counts
# Ionic background,1.9203848,μg/L
#
# Mean,Cu,
#,130.81052,counts
#,8.9591396e-11,μg
#,28.442101,nm
#,5.3754838e-16,m³
# Median,Cu,
#,89.102821,counts
#,6.1026024e-11,μg
#,26.881597,nm
#,3.6615614e-16,m³
# Limits of detection,Cu,
#,16.256422,counts
#,1.1133933e-11,μg
#,15.246362,nm
#,6.6803595e-17,m³
#
# Raw detection data
Time,Cu,,Cu,,Cu,,Cu,
s,counts,μg,nm,m³
0.0235,78.077126,5.3474587e-11,25.723646,3.2084752e-16
0.2509,152.05161,1.0413929e-10,32.123406,6.2483576e-16
0.31165,61.79501,4.2323056e-11,23.794453,2.5393834e-16
0.35615,43.794991,2.9994944e-11,21.214496,1.7996966e-16
0.3998,70.051453,4.7977848e-11,24.810202,2.8786709e-16
0.4526,243.05188,1.6646487e-10,37.559884,9.9878924e-16
0.52005,196.30814,1.3445034e-10,34.978728,8.0670207e-16
0.5552,74.538605,5.1051073e-11,25.329017,3.0630644e-16
0.6828,58.538582,4.0092747e-11,23.36892,2.4055648e-16
0.7848,83.538612,5.7215128e-11,26.309969,3.4329077e-16
0.8115,122.12854,8.3645154e-11,29.860493,5.0187092e-16
0.83125,73.820709,5.0559391e-11,25.247438,3.0335634e-16
0.97485,186.82092,1.2795261e-10,34.405913,7.6771563e-16
0.98895,185.84651,1.2728524e-10,34.345991,7.6371142e-16
1.37885,38.307831,2.6236819e-11,20.288679,1.5742091e-16
1.5266,60.051434,4.1128891e-11,23.568523,2.4677335e-16
1.6565,118.07717,8.0870394e-11,29.526586,4.8522237e-16
1.7036,152.61574,1.0452567e-10,32.163084,6.2715399e-16
1.91125,54.282158,3.7177546e-11,22.788214,2.2306528e-16
1.94305,170.30803,1.1664302e-10,33.360787,6.998581e-16
2.0104,66.051437,4.523826e-11,24.328687,2.7142956e-16
2.14315,92.307884,6.3221154e-11,27.200122,3.7932692e-16
2.23105,52.794998,3.6158999e-11,22.578175,2.1695399e-16
2.3543,288.07776,1.9730285e-10,39.749148,1.1838171e-15
2.45695,103.79506,7.1088655e-11,28.284607,4.2653193e-16
2.528,89.564301,6.1342088e-11,26.927925,3.6805253e-16
2.6545,202.10301,1.3841922e-10,35.319578,8.3051534e-16
2.7089,64.538589,4.4202119e-11,24.141509,2.6521271e-16
2.7471,52.051418,3.5649725e-11,22.471675,2.1389835e-16
2.7682,320.10333,2.1923698e-10,41.170674,1.3154219e-15
2.8383,105.07715,7.1966751e-11,28.400589,4.3180051e-16
2.89465,273.38519,1.8723999e-10,39.06156,1.1234399e-15
3.1749,357.56519,2.448944e-10,42.717877,1.4693664e-15
