# SPCal Export 1.2.4
# Date,Mon Jun 24 23:01:48 2024
# File,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Nano\RawData\Guadalupe RawData\2024-06-03 diluted AF paints\6-10_3x_5.csv
# Acquisition events,499999
#
# Options and inputs,Cu,
# Density,8.96,g/cm3
# Dwelltime,0.1,ms
# Efficiency,0.014013426,
# Mass fraction,1,
# Molar mass,63.546,g/mol
# Response,2.19,counts/(μg/L)
# Time,49.9999,s
# Uptake,0.192,ml/min
#
# Limit method,Poisson (alpha=0.001)
#
# Detection results,Cu,
# Particle number,121
# Number error,11
# Number concentration,53966212,#/L
# Mass concentration,0.0085885375,μg/L
#
# Background,1.0067309,counts
#,7.602428,nm
# Background error,1.0987884,counts
# Ionic background,0.45969448,μg/L
#
# Mean,Cu,
#,77.72256,counts
#,1.5914657e-10,μg
#,31.048077,nm
#,1.4259533e-15,m³
# Median,Cu,
#,59.744263,counts
#,1.2233378e-10,μg
#,29.65377,nm
#,1.0961107e-15,m³
# Limits of detection,Cu,
#,11.974424,counts
#,2.4519116e-11,μg
#,17.353992,nm
#,2.1969128e-16,m³
#
# Raw detection data
Time,Cu,,Cu,,Cu,,Cu,
s,counts,μg,nm,m³
0.58125,58.76984,1.2033853e-10,29.491669,1.0782332e-15
1.24125,93.667564,1.9179594e-10,34.449077,1.7184916e-15
2.607,55.795418,1.1424803e-10,28.985493,1.0236623e-15
2.8011,54.795418,1.1220041e-10,28.811283,1.0053156e-15
2.95025,33.820976,6.9252638e-11,24.530697,6.2050364e-16
3.11665,37.872139,7.7547896e-11,25.473452,6.9482914e-16
3.76915,73.769852,1.5105291e-10,31.81321,1.3534341e-15
3.8713,72.795433,1.4905767e-10,31.672516,1.3355567e-15
4.0172,78.795441,1.6134342e-10,32.519826,1.4456371e-15
4.0959,89.795448,1.838673e-10,33.967686,1.647451e-15
4.1806,31.846558,6.5209771e-11,24.04374,5.8427955e-16
4.6283,30.846556,6.3162144e-11,23.789396,5.6593281e-16
5.067,38.795403,7.9438392e-11,25.678793,7.1176799e-16
5.08735,41.616364,8.5214659e-11,26.286689,7.6352335e-16
5.58935,56.718678,1.1613852e-10,29.144496,1.0406011e-15
5.83185,46.769833,9.5767025e-11,27.3298,8.5807255e-16
6.08,26.846554,5.4971644e-11,22.71315,4.9254593e-16
6.0845,49.846569,1.0206702e-10,27.916413,9.1452054e-16
6.79365,61.820999,1.2658615e-10,29.993457,1.1342119e-15
7.96305,54.769836,1.1214802e-10,28.806799,1.0048463e-15
8.00685,87.769867,1.7971967e-10,33.710329,1.6102883e-15
8.4615,55.846577,1.1435278e-10,28.994349,1.0246009e-15
8.68215,102.82107,2.1053887e-10,35.536547,1.8864283e-15
9.02045,113.82108,2.3306275e-10,36.761121,2.0882422e-15
9.1233,67.744278,1.387148e-10,30.922319,1.2428846e-15
9.2821,86.846611,1.7782919e-10,33.591712,1.5933496e-15
9.89715,61.820995,1.2658615e-10,29.993456,1.1342119e-15
10.9276,35.846554,7.3400259e-11,25.010958,6.5766632e-16
11.4499,42.846565,8.773365e-11,26.543194,7.860935e-16
11.55685,64.769852,1.3262429e-10,30.462964,1.1883137e-15
12.15275,59.872166,1.2259568e-10,29.674917,1.0984573e-15
12.69885,106.71872,2.185198e-10,35.980019,1.9579374e-15
13.8965,31.846558,6.5209771e-11,24.04374,5.8427955e-16
14.0222,112.79552,2.3096279e-10,36.650378,2.0694266e-15
14.2834,60.795414,1.2448614e-10,29.826671,1.1153958e-15
14.41295,38.820984,7.9490773e-11,25.684436,7.1223733e-16
15.12885,78.821022,1.6139581e-10,32.523345,1.4461064e-15
15.3897,41.846561,8.5686018e-11,26.335068,7.6774672e-16
15.8522,449.69424,9.2080467e-10,58.114828,8.2504098e-15
16.02055,43.820984,8.9728892e-11,26.742904,8.0397088e-16
16.16135,56.820995,1.1634803e-10,29.162011,1.0424783e-15
16.96035,40.82098,8.3586013e-11,26.118145,7.4893068e-16
17.53605,73.769852,1.5105291e-10,31.81321,1.3534341e-15
17.59795,61.769848,1.2648141e-10,29.985182,1.1332735e-15
18.29975,26.872129,5.5024014e-11,22.72036,4.9301516e-16
18.46325,37.769825,7.7338395e-11,25.450492,6.9295202e-16
18.5383,139.69324,2.8603921e-10,39.3586,2.5629113e-15
18.90985,42.872139,8.7786015e-11,26.548474,7.8656269e-16
19.6873,55.744255,1.1414327e-10,28.976631,1.0227237e-15
19.7269,123.74435,2.5338189e-10,37.799813,2.2703018e-15
19.7702,59.744263,1.2233378e-10,29.65377,1.0961107e-15
19.8443,130.7955,2.6781999e-10,38.504556,2.3996671e-15
20.49565,48.820995,9.9967035e-11,27.723628,8.9570463e-16
20.9181,39.846561,8.159077e-11,25.908651,7.310533e-16
21.0423,108.84663,2.2287697e-10,36.217587,1.9969776e-15
21.2691,129.74435,2.6566764e-10,38.40113,2.380382e-15
21.51795,40.872139,8.3690767e-11,26.129051,7.4986927e-16
22.0023,77.693123,1.5908629e-10,32.367467,1.4254132e-15
22.1819,47.795406,9.7867015e-11,27.528121,8.7688845e-16
22.57655,142.76996,2.9233917e-10,39.64546,2.619359e-15
22.9587,73.795433,1.5110529e-10,31.816887,1.3539034e-15
23.07255,49.820995,1.0201466e-10,27.911638,9.1405134e-16
23.19245,38.872139,7.9595519e-11,25.695712,7.1317585e-16
23.6454,434.69427,8.9009037e-10,57.46135,7.9752097e-15
23.978,39.846561,8.159077e-11,25.908651,7.310533e-16
24.30785,63.76984,1.3057665e-10,30.305372,1.1699668e-15
26.09665,48.820988,9.996702e-11,27.723626,8.9570449e-16
26.2159,21.948858,4.4943006e-11,21.238239,4.0268933e-16
26.28875,48.872147,1.0007177e-10,27.733307,8.9664309e-16
26.44755,57.872158,1.1850041e-10,29.340741,1.0617637e-15
26.4931,31.846556,6.5209767e-11,24.043739,5.8427952e-16
26.53425,109.66758,2.2455795e-10,36.308413,2.0120393e-15
27.3071,64.74427,1.3257191e-10,30.458953,1.1878443e-15
27.349,143.74437,2.943344e-10,39.73545,2.6372362e-15
27.62495,40.820984,8.3586021e-11,26.118146,7.4893075e-16
29.93945,185.77002,3.8038713e-10,43.281907,3.4082686e-15
29.98225,57.820995,1.1839565e-10,29.332092,1.060825e-15
30.0574,47.744259,9.7762284e-11,27.518298,8.7595006e-16
30.2059,104.79546,2.1458169e-10,35.762566,1.922652e-15
30.233,32.846554,6.7257387e-11,24.292812,6.0262619e-16
30.66955,41.820984,8.5633645e-11,26.329701,7.6727746e-16
30.80835,71.821014,1.4706242e-10,31.530561,1.3176793e-15
30.85975,87.82103,1.7982444e-10,33.716878,1.6112269e-15
31.4317,153.79558,3.149155e-10,40.64082,2.8216428e-15
31.6026,56.795418,1.1629565e-10,29.157634,1.042009e-15
32.4944,80.846603,1.6554343e-10,32.799592,1.4832692e-15
32.54735,42.820984,8.7681269e-11,26.537911,7.8562417e-16
32.55545,67.718697,1.3866242e-10,30.918426,1.2424153e-15
32.73705,157.77002,3.2305366e-10,40.987932,2.8945608e-15
32.83535,111.71873,2.2875795e-10,36.53338,2.0496712e-15
33.07315,77.769867,1.5924344e-10,32.378121,1.4268212e-15
34.4105,30.897711,6.326689e-11,23.802539,5.6687133e-16
34.8294,78.795441,1.6134342e-10,32.519826,1.4456371e-15
35.00155,21.923281,4.4890633e-11,21.229986,4.0222007e-16
35.4578,123.74437,2.5338192e-10,37.799814,2.270302e-15
37.0785,82.641975,1.6921968e-10,33.040612,1.5162083e-15
37.26835,104.82105,2.1463409e-10,35.765477,1.9231214e-15
38.7872,50.846569,1.0411465e-10,28.10186,9.3286725e-16
38.8127,35.795399,7.3295513e-11,24.999055,6.5672779e-16
39.41955,146.76996,3.0052967e-10,40.012305,2.6927458e-15
39.6561,57.795418,1.1834328e-10,29.327766,1.0603558e-15
39.86105,45.872143,9.3928894e-11,27.153815,8.4160289e-16
40.3954,37.846558,7.7495515e-11,25.467715,6.9435981e-16
40.7317,50.795414,1.040099e-10,28.092433,9.3192872e-16
40.74595,52.769836,1.0805278e-10,28.451801,9.6815288e-16
41.41595,82.667564,1.6927208e-10,33.044022,1.5166778e-15
41.4286,114.79549,2.3505799e-10,36.865727,2.1061196e-15
41.5993,207.74451,4.2538261e-10,44.925305,3.8114282e-15
41.67975,215.82132,4.4192088e-10,45.500129,3.9596111e-15
42.37685,36.769825,7.5290771e-11,25.223869,6.7460531e-16
43.0881,64.846581,1.3278141e-10,30.474988,1.1897214e-15
44.28365,111.7699,2.2886271e-10,36.538956,2.0506099e-15
44.5763,56.795418,1.1629565e-10,29.157634,1.042009e-15
45.61785,171.77002,3.5172039e-10,42.16612,3.1514147e-15
46.08935,89.769882,1.8381495e-10,33.964462,1.646982e-15
47.4534,77.744286,1.5919105e-10,32.37457,1.4263518e-15
48.3976,85.795471,1.7567685e-10,33.455637,1.5740646e-15
49.23085,83.82103,1.7163394e-10,33.197001,1.5378401e-15
49.30585,40.769829,8.3481274e-11,26.107231,7.4799222e-16
49.5215,33.846554,6.9305011e-11,24.53688,6.209729e-16
49.5658,37.846561,7.7495522e-11,25.467716,6.9435988e-16
#
# End of export
