# SPCal Export 1.2.4
# Date,Mon Jun 24 23:12:16 2024
# File,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Nano\RawData\Guadalupe RawData\2024-06-03 diluted AF paints\6-12_3x.csv
# Acquisition events,499999
#
# Options and inputs,Cu,
# Density,8.96,g/cm3
# Dwelltime,0.1,ms
# Efficiency,0.014013426,
# Mass fraction,1,
# Molar mass,63.546,g/mol
# Response,2.19,counts/(μg/L)
# Time,49.9999,s
# Uptake,0.192,ml/min
#
# Limit method,Poisson (alpha=0.001)
#
# Detection results,Cu,
# Particle number,114
# Number error,10.677078
# Number concentration,50844200,#/L
# Mass concentration,0.010686156,μg/L
#
# Background,1.7924356,counts
#,9.2143006,nm
# Background error,1.4856927,counts
# Ionic background,0.81846377,μg/L
#
# Mean,Cu,
#,102.64313,counts
#,2.1017452e-10,μg
#,33.168431,nm
#,1.8831637e-15,m³
# Median,Cu,
#,67.472881,counts
#,1.3815908e-10,μg
#,30.88097,nm
#,1.2379054e-15,m³
# Limits of detection,Cu,
#,13.184105,counts
#,2.6996088e-11,μg
#,17.919727,nm
#,2.4188495e-16,m³
#
# Raw detection data
Time,Cu,,Cu,,Cu,,Cu,
s,counts,μg,nm,m³
0.35505,77.0252,1.5771864e-10,32.274446,1.413159e-15
0.462,59.472866,1.2177806e-10,29.6088,1.0911314e-15
0.49845,113.39343,2.321871e-10,36.715024,2.0803964e-15
0.807,75.418541,1.544288e-10,32.048464,1.3836821e-15
1.51355,54.025177,1.1062324e-10,28.675649,9.9118425e-16
2.49645,51.656967,1.0577404e-10,28.250371,9.4773539e-16
2.6382,76.050339,1.5572249e-10,32.137708,1.3952735e-15
3.0096,79.577499,1.6294479e-10,32.62706,1.4599853e-15
3.0942,74.841087,1.532464e-10,31.96646,1.3730877e-15
3.35745,73.920586,1.5136156e-10,31.834863,1.3561995e-15
3.36035,90.0252,1.8433775e-10,33.996631,1.6516662e-15
3.50335,50.656963,1.0372641e-10,28.066886,9.2938861e-16
3.58725,208.02545,4.2595788e-10,44.945547,3.8165826e-15
3.75505,28.656956,5.8678666e-11,23.21264,5.2576085e-16
4.2844,40.577484,8.3087425e-11,26.06611,7.4446333e-16
5.1375,61.84108,1.2662727e-10,29.996704,1.1345803e-15
6.28135,94.0252,1.9252824e-10,34.492865,1.7250531e-15
6.5864,31.841061,6.5198516e-11,24.042356,5.841787e-16
6.5903,102.47292,2.09826e-10,35.496393,1.880041e-15
6.95815,104.65703,2.1429823e-10,35.746812,1.9201121e-15
7.03425,64.761597,1.3260739e-10,30.461669,1.1881622e-15
7.3641,33.104645,6.7785861e-11,24.356273,6.0736131e-16
7.8176,55.10466,1.1283362e-10,28.865381,1.0109892e-15
8.65215,48.656967,9.9631167e-11,27.692544,8.9269526e-16
8.88875,30.761581,6.2988148e-11,23.767531,5.6437381e-16
9.7505,85.577515,1.7523056e-10,33.427283,1.5700658e-15
10.0035,213.84135,4.3786666e-10,45.360561,3.9232853e-15
10.1523,57.841087,1.1843679e-10,29.335489,1.0611936e-15
10.85935,46.656963,9.5535912e-11,27.307797,8.5600177e-16
10.9579,50.841068,1.0410338e-10,28.100847,9.3276633e-16
11.68185,97.761635,2.0017906e-10,34.943843,1.7936043e-15
11.7049,118.20935,2.4204829e-10,37.227608,2.1687527e-15
12.09305,245.49835,5.0268828e-10,47.496766,4.504087e-15
12.11245,44.288754,9.0686709e-11,26.837723,8.1255291e-16
12.3896,34.472855,7.058744e-11,24.6873,6.3246346e-16
12.5949,99.577545,2.0389736e-10,35.158876,1.8269203e-15
13.94405,99.12986,2.0298067e-10,35.106108,1.8187068e-15
14.59445,87.657005,1.7948858e-10,33.695874,1.6082176e-15
15.0985,77.841095,1.5938928e-10,32.388002,1.428128e-15
15.70695,65.025185,1.3314712e-10,30.502941,1.1929982e-15
16.1,55.472874,1.1358758e-10,28.929532,1.0177447e-15
16.37615,116.02526,2.3757609e-10,36.996903,2.1286818e-15
16.41875,58.393379,1.1956768e-10,29.428563,1.0713264e-15
17.2688,147.47301,3.0196925e-10,40.076092,2.7056445e-15
17.6453,49.472858,1.0130181e-10,27.846472,9.0766418e-16
17.6931,365.4191,7.4824087e-10,54.230665,6.7042382e-15
17.72895,44.920547,9.1980385e-11,26.964738,8.2414425e-16
17.8793,85.313919,1.7469082e-10,33.392926,1.5652297e-15
18.46,44.104645,9.0309723e-11,26.800483,8.0917512e-16
18.4826,354.8418,7.2658253e-10,53.702286,6.5101795e-15
19.80935,95.288818,1.9511566e-10,34.646696,1.7482363e-15
19.9224,123.31396,2.5250062e-10,37.755939,2.2624055e-15
20.19735,99.39344,2.0352038e-10,35.137195,1.8235426e-15
20.23895,44.288754,9.0686709e-11,26.837723,8.1255291e-16
20.56365,52.656971,1.0782167e-10,28.431502,9.6608217e-16
20.9189,62.682121,1.2834941e-10,30.132078,1.1500107e-15
21.69445,45.656963,9.3488288e-11,27.111291,8.3765506e-16
21.94525,157.39352,3.2228274e-10,40.955302,2.8876533e-15
21.9894,60.841072,1.2457963e-10,29.834136,1.1162335e-15
22.31005,45.288754,9.2734332e-11,27.038212,8.3089962e-16
22.5424,93.841125,1.9215133e-10,34.470342,1.7216759e-15
22.8432,227.94594,4.6674754e-10,46.336704,4.182058e-15
23.2266,156.84123,3.2115185e-10,40.907342,2.8775206e-15
23.7108,119.10476,2.4388175e-10,37.321368,2.1851805e-15
24.0739,43.104652,8.8262115e-11,26.596382,7.9082855e-16
24.18675,58.656971,1.2010741e-10,29.472777,1.0761624e-15
24.3104,89.577507,1.8342104e-10,33.940183,1.6434525e-15
25.4986,44.104652,9.0309739e-11,26.800485,8.0917526e-16
25.51555,125.02528,2.5600474e-10,37.929792,2.2938025e-15
25.65235,51.393387,1.0523433e-10,28.20224,9.4289956e-16
27.3334,63.472874,1.2996857e-10,30.258257,1.1645184e-15
28.3043,80.841103,1.6553217e-10,32.798848,1.4831683e-15
29.5806,174.57765,3.5746937e-10,42.394619,3.2029255e-15
29.641,55.47287,1.1358757e-10,28.929531,1.0177446e-15
30.03505,47.656967,9.7583543e-11,27.501517,8.7434855e-16
30.8523,38.104649,7.8023988e-11,25.525475,6.9909493e-16
31.39385,490.65869,1.0046844e-09,59.82844,9.0019726e-15
32.0769,104.84112,2.1467517e-10,35.767759,1.9234896e-15
32.5224,1100.7483,2.2539185e-09,78.320814,2.0195109e-14
32.7136,109.57754,2.2437358e-10,36.298474,2.0103873e-15
32.8041,67.472885,1.3815909e-10,30.880971,1.2379054e-15
33.29005,20.920536,4.2837389e-11,20.901243,3.83823e-16
34.785,50.841072,1.0410339e-10,28.100847,9.327664e-16
36.08675,32.28875,6.6115214e-11,24.154512,5.9239232e-16
36.4477,131.57758,2.6942138e-10,38.581148,2.4140156e-15
38.20655,59.393387,1.2161532e-10,29.595604,1.0896732e-15
38.25595,74.656982,1.5286942e-10,31.940227,1.36971e-15
39.3773,21.104641,4.3214366e-11,20.962376,3.8720072e-16
39.5217,67.472878,1.3815907e-10,30.88097,1.2379053e-15
39.53705,70.65699,1.4467894e-10,31.35929,1.2963233e-15
40.635,334.84177,6.8562999e-10,52.673769,6.1432447e-15
41.4283,86.209312,1.7652425e-10,33.509343,1.5816572e-15
41.4804,49.736458,1.0184156e-10,27.895842,9.1250036e-16
41.6025,44.841076,9.1817657e-11,26.948826,8.2268621e-16
41.9516,40.472855,8.2873183e-11,26.043687,7.4254372e-16
42.20705,79.288788,1.6235361e-10,32.587555,1.4546884e-15
42.2613,63.209282,1.2942883e-10,30.216313,1.1596824e-15
42.60365,130.02527,2.6624284e-10,38.428825,2.3855359e-15
42.6881,56.10466,1.1488124e-10,29.038945,1.0293359e-15
43.28075,36.28875,7.430571e-11,25.113381,6.6577916e-16
43.33445,52.656975,1.0782168e-10,28.431503,9.6608224e-16
43.4919,57.84108,1.1843678e-10,29.335488,1.0611935e-15
45.0748,345.57806,7.0761389e-10,53.23083,6.3402205e-15
45.3161,45.104652,9.2357363e-11,27.001525,8.2752197e-16
45.79345,104.76163,2.1451242e-10,35.758718,1.9220313e-15
46.64115,228.1301,4.6712463e-10,46.349179,4.1854367e-15
47.1331,107.20936,2.1952444e-10,36.035074,1.966939e-15
47.9033,160.94582,3.2955649e-10,41.261126,2.9528262e-15
48.0304,147.57759,3.021834e-10,40.085563,2.7075632e-15
48.6287,37.472855,7.6730311e-11,25.383613,6.8750359e-16
48.66535,45.288754,9.2734332e-11,27.038212,8.3089962e-16
49.3554,165.84129,3.3958059e-10,41.675301,3.0426421e-15
49.3854,58.84108,1.204844e-10,29.503581,1.0795402e-15
49.8813,38.104649,7.8023988e-11,25.525475,6.9909493e-16
#
# End of export
