# SPCal Export 1.2.4
# Date,Mon Jun 24 23:12:15 2024
# File,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Nano\RawData\Guadalupe RawData\2024-06-03 diluted AF paints\6-11_3x_1.csv
# Acquisition events,499999
#
# Options and inputs,Cu,
# Density,8.96,g/cm3
# Dwelltime,0.1,ms
# Efficiency,0.014013426,
# Mass fraction,1,
# Molar mass,63.546,g/mol
# Response,2.19,counts/(μg/L)
# Time,49.9999,s
# Uptake,0.192,ml/min
#
# Limit method,Poisson (alpha=0.001)
#
# Detection results,Cu,
# Particle number,94
# Number error,9.6953597
# Number concentration,41924165,#/L
# Mass concentration,0.0073197069,μg/L
#
# Background,1.5750016,counts
#,8.8255446,nm
# Background error,1.3619368,counts
# Ionic background,0.71917881,μg/L
#
# Mean,Cu,
#,85.266627,counts
#,1.7459398e-10,μg
#,31.629019,nm
#,1.5643621e-15,m³
# Median,Cu,
#,62.293907,counts
#,1.2755449e-10,μg
#,30.069742,nm
#,1.1428882e-15,m³
# Limits of detection,Cu,
#,12.408941,counts
#,2.5408843e-11,μg
#,17.561412,nm
#,2.2766324e-16,m³
#
# Raw detection data
Time,Cu,,Cu,,Cu,,Cu,
s,counts,μg,nm,m³
1.29615,43.680485,8.9441203e-11,26.714292,8.0139318e-16
1.884,172.27179,3.5274783e-10,42.207138,3.1606205e-15
1.99225,33.862602,6.9337872e-11,24.540757,6.2126734e-16
1.9937,59.271557,1.2136585e-10,29.575355,1.0874381e-15
2.3137,77.089455,1.5785021e-10,32.283418,1.4143379e-15
2.60195,208.49861,4.2692673e-10,44.979598,3.8252635e-15
3.58505,59.498375,1.2183029e-10,29.613033,1.0915994e-15
3.66735,56.86261,1.1643324e-10,29.169128,1.0432418e-15
4.30595,76.134163,1.5589413e-10,32.149511,1.3968114e-15
5.6149,79.271576,1.6231837e-10,32.585197,1.4543726e-15
5.85555,38.862602,7.9575992e-11,25.693611,7.1300089e-16
6.5874,717.54602,1.4692644e-09,67.909589,1.3164609e-14
7.08345,201.31644,4.1222034e-10,44.457079,3.6934942e-15
7.58725,36.862602,7.5480744e-11,25.245066,6.7630747e-16
7.6113,59.089432,1.2099293e-10,29.545031,1.0840967e-15
8.10755,35.862598,7.3433112e-11,25.014689,6.5796069e-16
8.28525,63.862625,1.3076664e-10,30.320063,1.1716691e-15
8.60345,54.86261,1.1233799e-10,28.823055,1.0065484e-15
8.6306,142.08955,2.9094596e-10,39.58238,2.6068758e-15
8.95585,47.044724,9.6329899e-11,27.383239,8.6311589e-16
9.0738,98.271614,2.012233e-10,35.0045,1.8029608e-15
9.282,79.907341,1.6362018e-10,32.672077,1.4660368e-15
9.8302,33.453659,6.8500511e-11,24.441568,6.1376458e-16
10.00635,70.680511,1.447271e-10,31.36277,1.2967548e-15
10.68295,78.680519,1.6110811e-10,32.504008,1.4435287e-15
11.28195,145.31633,2.9755319e-10,39.879771,2.6660765e-15
11.77115,62.316254,1.2760025e-10,30.073338,1.1432982e-15
12.36565,24.862595,5.0909242e-11,22.139272,4.5614681e-16
12.6404,54.089432,1.1075481e-10,28.687013,9.9236311e-16
13.2589,49.089432,1.0051669e-10,27.774347,9.0062956e-16
13.88695,52.862614,1.0824275e-10,28.468466,9.6985503e-16
14.0081,80.907349,1.6566782e-10,32.807805,1.4843836e-15
14.0593,112.90737,2.3119183e-10,36.662489,2.0714788e-15
14.56385,89.498413,1.8325909e-10,33.93019,1.6420014e-15
15.3403,47.725182,9.7723221e-11,27.514632,8.7560006e-16
15.382,154.90744,3.1719217e-10,40.738523,2.8420419e-15
16.13175,166.68069,3.4129937e-10,41.745495,3.0580423e-15
16.9352,52.089436,1.0665957e-10,28.328988,9.5566976e-16
17.0857,45.089428,9.2326189e-11,26.998487,8.2724265e-16
