,"Ref. Paint",CC1,CC2,CC3,UV1,UV2,UV3,UVFT1,UVFT2,UVFT3,HC1,HC2,HC3,FT1,FT2,FT3
"Ref. Paint",,0.86591980,0.57880101,0.98341912,0.90928510,0.93781967,0.90489724,0.88614105,0.93813986,0.91221461,0.85495728,0.91092847,0.90315162,0.97227779,0.93554896,0.93405384
CC1,0.86591980,,0.35218313,0.91593105,0.69736265,0.77062955,0.84707033,0.83680093,0.90768806,0.93161615,0.95624913,0.90477706,0.97007216,0.87907586,0.96889535,0.96718376
CC2,0.57880101,0.35218313,,0.55579366,0.78511420,0.63667069,0.70892499,0.70792939,0.54173826,0.55728578,0.48225402,0.65283915,0.52720348,0.52117300,0.39652258,0.42369886
CC3,0.98341912,0.91593105,0.55579366,,0.89223237,0.93029082,0.92203108,0.90598020,0.95288493,0.94437855,0.90748394,0.93413568,0.94408841,0.97295374,0.96628770,0.95721025
UV1,0.90928510,0.69736265,0.78511420,0.89223237,,0.95917113,0.92767935,0.91560087,0.88216652,0.86479399,0.73661066,0.85518492,0.80787351,0.90292544,0.79627645,0.78364260
UV2,0.93781967,0.77062955,0.63667069,0.93029082,0.95917113,,0.93147296,0.90725491,0.93613261,0.90747889,0.75967886,0.87385726,0.84894907,0.95539352,0.87209219,0.85780754
UV3,0.90489724,0.84707033,0.70892499,0.92203108,0.92767935,0.93147296,,0.98083957,0.95168298,0.96361917,0.86853725,0.95163139,0.93458737,0.91251321,0.88082301,0.89251588
UVFT1,0.88614105,0.83680093,0.70792939,0.90598020,0.91560087,0.90725491,0.98083957,,0.91715089,0.95954825,0.87043164,0.93679473,0.91725918,0.88361175,0.85720570,0.85791199
UVFT2,0.93813986,0.90768806,0.54173826,0.95288493,0.88216652,0.93613261,0.95168298,0.91715089,,0.96696488,0.88750505,0.94682037,0.95570276,0.95742653,0.95416185,0.96167980
UVFT3,0.91221461,0.93161615,0.55728578,0.94437855,0.86479399,0.90747889,0.96361917,0.95954825,0.96696488,,0.92548949,0.94793398,0.97140683,0.93240145,0.94761484,0.94233817
HC1,0.85495728,0.95624913,0.48225402,0.90748394,0.73661066,0.75967886,0.86853725,0.87043164,0.88750505,0.92548949,,0.92168522,0.97131335,0.84506715,0.91802744,0.92027732
HC2,0.91092847,0.90477706,0.65283915,0.93413568,0.85518492,0.87385726,0.95163139,0.93679473,0.94682037,0.94793398,0.92168522,,0.96396485,0.88603810,0.90667141,0.93620660
HC3,0.90315162,0.97007216,0.52720348,0.94408841,0.80787351,0.84894907,0.93458737,0.91725918,0.95570276,0.97140683,0.97131335,0.96396485,,0.90743163,0.95638184,0.96693268
FT1,0.97227779,0.87907586,0.52117300,0.97295374,0.90292544,0.95539352,0.91251321,0.88361175,0.95742653,0.93240145,0.84506715,0.88603810,0.90743163,,0.95530290,0.93535954
FT2,0.93554896,0.96889535,0.39652258,0.96628770,0.79627645,0.87209219,0.88082301,0.85720570,0.95416185,0.94761484,0.91802744,0.90667141,0.95638184,0.95530290,,0.98383647
FT3,0.93405384,0.96718376,0.42369886,0.95721025,0.78364260,0.85780754,0.89251588,0.85791199,0.96167980,0.94233817,0.92027732,0.93620660,0.96693268,0.93535954,0.98383647,
