,cCC1-1,cCC1-2,cCC1-3,cUV1-1,cUV1-2,cUV1-3,cUVFT1-1,cUVFT1-2,cUVFT1-3,cHC1-1,cHC1-2,cHC1-3,cFT1-1,cFT1-2,cFT1-3
pCC1-1,0.76150404,0.71279623,0.74130800,0.06073544,-0.08238200,0.27861340,0.19708573,0.74545611,0.68481509,0.77617037,0.79946784,0.82003886,0.85728492,0.84140515,0.77874514
pCC1-2,0.52302809,0.48110495,0.37160094,0.67094770,0.69045353,0.79728748,0.77795539,0.61236540,0.63227258,0.52993921,0.47706138,0.36812007,0.39591303,0.37966083,0.41222004
pCC1-3,0.84468983,0.80620217,0.79422076,0.23727489,0.08470738,0.44481637,0.38553332,0.82315897,0.75580282,0.85102729,0.83432642,0.79032171,0.83270247,0.84802781,0.84397856
pUV1-1,0.85467208,0.83198272,0.76097360,0.46772853,0.34734626,0.66776512,0.62416128,0.86050858,0.81886552,0.86429558,0.79533914,0.71823544,0.75077294,0.76743696,0.80373497
pUV1-2,0.86798993,0.85577615,0.80182600,0.33647717,0.16960313,0.52204997,0.47174593,0.86015292,0.78427999,0.88363577,0.81416540,0.75508259,0.80389288,0.81812433,0.84044741
pUV1-3,0.84832548,0.79998861,0.76274565,0.41009281,0.29121516,0.61909985,0.54385235,0.87606308,0.83635208,0.87055878,0.82105731,0.79103053,0.83839636,0.81177113,0.78818409
pUVFT1-1,0.82638402,0.80790049,0.75801686,0.46617750,0.34612543,0.68275221,0.61467006,0.89686596,0.87844125,0.84768228,0.82233974,0.77578474,0.81053153,0.79830772,0.78411119
pUVFT1-2,0.87500549,0.81255147,0.79760008,0.25192348,0.08067466,0.43251174,0.34888617,0.84509213,0.76643602,0.89398735,0.84361617,0.83811196,0.89522302,0.87186211,0.83929810
pUVFT1-3,0.84808275,0.83059694,0.80807094,0.27625654,0.13390498,0.51601718,0.44043851,0.87875042,0.83922192,0.87218227,0.84741575,0.84711801,0.88243023,0.86719090,0.84081646
pHC1-1,0.73200950,0.68966521,0.68484327,0.25599421,0.13720513,0.46584223,0.39724749,0.78301844,0.72972585,0.75396902,0.78641046,0.76728536,0.81281353,0.78985204,0.74436348
pHC1-2,0.79260292,0.71641042,0.70368100,0.38334084,0.23252396,0.53485518,0.44924548,0.82755518,0.76634963,0.80586697,0.79676930,0.74931947,0.81967742,0.79041782,0.73566496
pHC1-3,0.80061391,0.74523938,0.74084895,0.23730596,0.10591982,0.44687436,0.36142003,0.82180519,0.75836781,0.82286957,0.82324518,0.81578671,0.86799473,0.83739530,0.78654332
pFT1-1,0.89051460,0.86032282,0.85416173,0.15707774,-0.00419800,0.39433444,0.33635141,0.82426368,0.75475151,0.89792147,0.85080066,0.84457959,0.86088758,0.88621753,0.88557274
pFT1-2,0.84366943,0.80364873,0.82206894,0.07615912,-0.08559570,0.29598122,0.22442011,0.79022184,0.71706245,0.85360668,0.84760100,0.84937903,0.88850570,0.89204300,0.86224244
pFT1-3,0.82653950,0.74879902,0.77554904,0.10273419,-0.06357520,0.28950560,0.20436671,0.76431572,0.68630427,0.83256156,0.81446445,0.82701522,0.87525095,0.86080885,0.81104095
